Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:23:10,,
Header Version:,1,,
System Temp hundredths:,3513,,
Detector Temp hundredths:,3616,,
Humidity hundredths:,3809,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.500005,64701.000000,20460.000000
905.903443,0.425963,80807.000000,30303.000000
909.784033,0.387713,90252.000000,36961.000000
913.660493,0.362612,98832.000000,42883.000000
917.532823,0.350867,108214.000000,48241.000000
921.401023,0.358323,120081.000000,52620.000000
925.265092,0.364009,134618.000000,58223.000000
929.125031,0.370966,152080.000000,64730.000000
932.980840,0.373928,171754.000000,72607.000000
936.832518,0.369405,192235.000000,82116.000000
941.961664,0.354987,218303.000000,96399.000000
945.803705,0.342036,236285.000000,107498.000000
949.641615,0.329280,252581.000000,118337.000000
953.475395,0.319509,268843.000000,128822.000000
957.305045,0.310994,284409.000000,138979.000000
961.130565,0.304317,300415.000000,149075.000000
964.951954,0.300928,315812.000000,157943.000000
968.769213,0.299052,331706.000000,166610.000000
972.582341,0.296643,347597.000000,175563.000000
976.391340,0.294687,362603.000000,183969.000000
981.463579,0.293820,381663.000000,194026.000000
985.262940,0.293471,394207.000000,200564.000000
989.058170,0.291483,405268.000000,207138.000000
992.849270,0.290304,414919.000000,212647.000000
996.636240,0.288816,422744.000000,217401.000000
1000.419080,0.287057,429985.000000,222022.000000
1004.197789,0.286725,435731.000000,225161.000000
1007.972367,0.283581,439787.000000,228908.000000
1011.742816,0.283521,442999.000000,230612.000000
1016.763656,0.281083,446147.000000,233558.000000
1020.524467,0.280394,447570.000000,234675.000000
1024.281147,0.279975,448137.000000,235199.000000
1028.033698,0.278325,447447.000000,235731.000000
1031.782118,0.278890,447066.000000,235224.000000
1035.526408,0.277439,446139.000000,235522.000000
1039.266567,0.277693,445335.000000,234960.000000
1043.002596,0.275804,443993.000000,235273.000000
1046.734495,0.275793,441985.000000,234215.000000
1050.462263,0.275489,439703.000000,233169.000000
1055.426196,0.275662,438747.000000,232569.000000
1059.144327,0.275514,437920.000000,232210.000000
1062.858328,0.276657,436828.000000,231022.000000
1066.568198,0.278393,436218.000000,229779.000000
1070.273938,0.278320,437019.000000,230240.000000
1073.975548,0.278945,437923.000000,230384.000000
1077.673027,0.280044,438436.000000,230071.000000
1081.366376,0.280906,439593.000000,230221.000000
1085.055595,0.280835,441201.000000,231101.000000
1089.968128,0.281289,442941.000000,231770.000000
1093.647709,0.281679,445537.000000,232919.000000
1097.323160,0.282568,448116.000000,233788.000000
1100.994481,0.283832,449422.000000,233788.000000
1104.661671,0.282626,451109.000000,235318.000000
1108.324731,0.283092,453992.000000,236568.000000
1111.983661,0.283067,457203.000000,238255.000000
1115.638460,0.282687,459746.000000,239790.000000
1119.289129,0.282993,461686.000000,240632.000000
1124.150263,0.282455,463762.000000,242014.000000
1127.791294,0.282809,465594.000000,242772.000000
1131.428195,0.284409,467340.000000,242786.000000
1135.060966,0.284703,468769.000000,243364.000000
1138.689607,0.285989,470277.000000,243425.000000
1142.314117,0.287216,471885.000000,243568.000000
1145.934497,0.290275,474025.000000,242955.000000
1149.550746,0.293467,475849.000000,242104.000000
1153.162866,0.296830,477793.000000,241218.000000
1156.770855,0.302289,479500.000000,239056.000000
1161.575081,0.307523,482364.000000,237603.000000
1165.173433,0.312033,485131.000000,236497.000000
1168.767654,0.318043,488511.000000,234872.000000
1172.357745,0.322315,491250.000000,233877.000000
1175.943705,0.327481,494537.000000,232658.000000
1179.525536,0.332772,498615.000000,231736.000000
1183.103235,0.338662,504468.000000,231298.000000
1186.676805,0.345095,510422.000000,230587.000000
1190.246244,0.352348,516637.000000,229529.000000
1194.999071,0.362114,526142.000000,228554.000000
1198.558873,0.367698,533671.000000,228863.000000
1202.114544,0.373740,540939.000000,228775.000000
1205.666086,0.377914,548916.000000,229928.000000
1209.213496,0.383463,558110.000000,230811.000000
1212.756777,0.385765,566953.000000,233229.000000
1216.295927,0.385755,575650.000000,236812.000000
1219.830947,0.384287,584869.000000,241419.000000
1223.361836,0.380263,595021.000000,247896.000000
1226.888595,0.372596,604954.000000,256523.000000
1231.584516,0.361868,617050.000000,268196.000000
1235.101637,0.353624,626559.000000,277548.000000
1238.614629,0.347337,636932.000000,286257.000000
1242.123490,0.340945,647247.000000,295206.000000
1245.628220,0.335813,655372.000000,302465.000000
1249.128821,0.332110,664642.000000,309370.000000
1252.625291,0.328730,674555.000000,316437.000000
1256.117630,0.326792,684692.000000,322629.000000
1259.605840,0.324439,692978.000000,328307.000000
1264.250361,0.322868,706063.000000,335719.000000
1267.728933,0.322061,716021.000000,341087.000000
1271.203374,0.321087,725552.000000,346403.000000
1274.673686,0.319175,734127.000000,352043.000000
1278.139867,0.318071,742906.000000,357160.000000
1281.601917,0.316867,750480.000000,361803.000000
1285.059838,0.315914,757621.000000,366048.000000
1288.513627,0.314193,764167.000000,370677.000000
1291.963287,0.313186,771928.000000,375311.000000
1296.556408,0.312568,779372.000000,379469.000000
1299.996431,0.311284,783046.000000,382387.000000
1303.432322,0.309713,787236.000000,385826.000000
1306.864084,0.308858,792393.000000,389119.000000
1310.291715,0.308315,796376.000000,391564.000000
1313.715216,0.307898,798307.000000,392891.000000
1317.134587,0.308035,801175.000000,394178.000000
1320.549827,0.307594,804861.000000,396394.000000
1323.960937,0.307473,807833.000000,397968.000000
1327.367917,0.307809,809608.000000,398534.000000
1331.904131,0.309205,811327.000000,398099.000000
1335.301473,0.310410,812775.000000,397704.000000
1338.694685,0.311636,813544.000000,396958.000000
1342.083767,0.313850,812602.000000,394483.000000
1345.468718,0.316174,811826.000000,392003.000000
1348.849539,0.319286,811585.000000,389088.000000
1352.226229,0.322418,810158.000000,385613.000000
1355.598789,0.326736,807876.000000,380723.000000
1358.967219,0.331581,805252.000000,375276.000000
1363.452034,0.338202,804229.000000,369129.000000
1366.810826,0.343833,803029.000000,363830.000000
1370.165488,0.348999,801212.000000,358714.000000
1373.516020,0.354532,799981.000000,353629.000000
1376.862422,0.359386,798624.000000,349105.000000
1380.204693,0.364063,795747.000000,344122.000000
1383.542834,0.368841,792504.000000,338969.000000
1386.876844,0.373582,790222.000000,334324.000000
1390.206724,0.380246,788607.000000,328560.000000
1393.532474,0.385768,785518.000000,323138.000000
1397.960382,0.392535,779920.000000,315875.000000
1401.276494,0.398329,776342.000000,310259.000000
1404.588477,0.405674,773563.000000,303964.000000
1407.896328,0.414332,769684.000000,296470.000000
1411.200050,0.425491,765635.000000,287429.000000
1414.499641,0.439514,762767.000000,277254.000000
1417.795101,0.455172,760810.000000,266750.000000
1421.086432,0.472434,758503.000000,255578.000000
1424.373632,0.491038,755935.000000,244032.000000
1428.750140,0.516599,753840.000000,229446.000000
1432.027703,0.534419,752941.000000,219959.000000
1435.301135,0.551950,751451.000000,210839.000000
1438.570437,0.567868,750582.000000,203016.000000
1441.835609,0.580444,749740.000000,197000.000000
1445.096650,0.591175,748245.000000,191809.000000
1448.353561,0.599722,747231.000000,187816.000000
1451.606342,0.605059,746115.000000,185245.000000
1454.854992,0.609526,743794.000000,182779.000000
1459.180101,0.613524,741747.000000,180606.000000
1462.419114,0.616687,739561.000000,178767.000000
1465.653997,0.616252,736862.000000,178293.000000
1468.884749,0.617397,734038.000000,177142.000000
1472.111371,0.616849,730885.000000,176604.000000
1475.333862,0.616813,727271.000000,175745.000000
1478.552224,0.616289,723938.000000,175151.000000
1481.766455,0.615326,721040.000000,174837.000000
1484.976555,0.613134,717684.000000,174904.000000
1488.182525,0.611526,713601.000000,174554.000000
1492.450728,0.608951,708541.000000,174347.000000
1495.647060,0.606802,704632.000000,174245.000000
1498.839263,0.603600,700712.000000,174558.000000
1502.027335,0.602904,695967.000000,173654.000000
1505.211277,0.598172,691038.000000,174313.000000
1508.391088,0.596377,686052.000000,173772.000000
1511.566770,0.594764,680877.000000,173103.000000
