Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:25:0,,
Header Version:,1,,
System Temp hundredths:,3535,,
Detector Temp hundredths:,3600,,
Humidity hundredths:,3757,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.427509,64701.000000,24177.000000
905.903443,0.349821,80807.000000,36110.000000
909.784033,0.299713,90252.000000,45263.000000
913.660493,0.271532,98832.000000,52889.000000
917.532823,0.263697,108214.000000,58964.000000
921.401023,0.268973,120081.000000,64640.000000
925.265092,0.276026,134618.000000,71298.000000
929.125031,0.286108,152080.000000,78698.000000
932.980840,0.288032,171754.000000,88486.000000
936.832518,0.285464,192235.000000,99625.000000
941.961664,0.271580,218303.000000,116810.000000
945.803705,0.261180,236285.000000,129496.000000
949.641615,0.247782,252581.000000,142764.000000
953.475395,0.238137,268843.000000,155368.000000
957.305045,0.231805,284409.000000,166778.000000
961.130565,0.227663,300415.000000,177852.000000
964.951954,0.225474,315812.000000,187912.000000
968.769213,0.223330,331706.000000,198346.000000
972.582341,0.221699,347597.000000,208630.000000
976.391340,0.221497,362603.000000,217738.000000
981.463579,0.221647,381663.000000,229104.000000
985.262940,0.220414,394207.000000,237307.000000
989.058170,0.219558,405268.000000,244447.000000
992.849270,0.219529,414919.000000,250285.000000
996.636240,0.217724,422744.000000,256067.000000
1000.419080,0.216783,429985.000000,261018.000000
1004.197789,0.215303,435731.000000,265409.000000
1007.972367,0.213957,439787.000000,268711.000000
1011.742816,0.211232,442999.000000,272377.000000
1016.763656,0.210692,446147.000000,274654.000000
1020.524467,0.209777,447570.000000,276111.000000
1024.281147,0.208652,448137.000000,277178.000000
1028.033698,0.207994,447447.000000,277171.000000
1031.782118,0.207823,447066.000000,277044.000000
1035.526408,0.206257,446139.000000,277468.000000
1039.266567,0.205670,445335.000000,277343.000000
1043.002596,0.204903,443993.000000,276996.000000
1046.734495,0.204008,441985.000000,276312.000000
1050.462263,0.203813,439703.000000,275009.000000
1055.426196,0.203658,438747.000000,274509.000000
1059.144327,0.203704,437920.000000,273962.000000
1062.858328,0.203963,436828.000000,273116.000000
1066.568198,0.204994,436218.000000,272088.000000
1070.273938,0.205863,437019.000000,272043.000000
1073.975548,0.206379,437923.000000,272282.000000
1077.673027,0.206110,438436.000000,272770.000000
1081.366376,0.207125,439593.000000,272851.000000
1085.055595,0.207129,441201.000000,273847.000000
1089.968128,0.207356,442941.000000,274783.000000
1093.647709,0.207416,445537.000000,276355.000000
1097.323160,0.207775,448116.000000,277725.000000
1100.994481,0.208002,449422.000000,278389.000000
1104.661671,0.207727,451109.000000,279611.000000
1108.324731,0.207022,453992.000000,281855.000000
1111.983661,0.206817,457203.000000,283983.000000
1115.638460,0.206062,459746.000000,286059.000000
1119.289129,0.205996,461686.000000,287310.000000
1124.150263,0.205426,463762.000000,288981.000000
1127.791294,0.205065,465594.000000,290364.000000
1131.428195,0.205774,467340.000000,290977.000000
1135.060966,0.206197,468769.000000,291583.000000
