Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:43:16,,
Header Version:,1,,
System Temp hundredths:,3547,,
Detector Temp hundredths:,3625,,
Humidity hundredths:,3718,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.990512,64701.000000,6613.000000
905.903443,0.894991,80807.000000,10291.000000
909.784033,0.848417,90252.000000,12795.000000
913.660493,0.817534,98832.000000,15044.000000
917.532823,0.798503,108214.000000,17210.000000
921.401023,0.812937,120081.000000,18473.000000
925.265092,0.812022,134618.000000,20753.000000
929.125031,0.823604,152080.000000,22828.000000
932.980840,0.827414,171754.000000,25556.000000
936.832518,0.823611,192235.000000,28855.000000
941.961664,0.810272,218303.000000,33790.000000
945.803705,0.806045,236285.000000,36931.000000
949.641615,0.792188,252581.000000,40758.000000
953.475395,0.782801,268843.000000,44330.000000
957.305045,0.773943,284409.000000,47863.000000
961.130565,0.774387,300415.000000,50505.000000
964.951954,0.776597,315812.000000,52824.000000
968.769213,0.771829,331706.000000,56095.000000
972.582341,0.776049,347597.000000,58214.000000
976.391340,0.780326,362603.000000,60132.000000
981.463579,0.783257,381663.000000,62867.000000
985.262940,0.783192,394207.000000,64943.000000
989.058170,0.784222,405268.000000,66607.000000
992.849270,0.784523,414919.000000,68146.000000
996.636240,0.782571,422744.000000,69744.000000
1000.419080,0.780492,429985.000000,71279.000000
1004.197789,0.779186,435731.000000,72449.000000
1007.972367,0.776365,439787.000000,73600.000000
1011.742816,0.774281,442999.000000,74494.000000
1016.763656,0.771612,446147.000000,75486.000000
1020.524467,0.765913,447570.000000,76727.000000
1024.281147,0.764340,448137.000000,77103.000000
1028.033698,0.762017,447447.000000,77397.000000
1031.782118,0.763272,447066.000000,77108.000000
1035.526408,0.757019,446139.000000,78064.000000
1039.266567,0.757852,445335.000000,77774.000000
1043.002596,0.755527,443993.000000,77956.000000
1046.734495,0.751735,441985.000000,78284.000000
1050.462263,0.751026,439703.000000,78007.000000
1055.426196,0.748103,438747.000000,78363.000000
1059.144327,0.749178,437920.000000,78022.000000
1062.858328,0.750404,436828.000000,77608.000000
1066.568198,0.750284,436218.000000,77521.000000
1070.273938,0.749588,437019.000000,77788.000000
1073.975548,0.747520,437923.000000,78321.000000
1077.673027,0.748483,438436.000000,78239.000000
1081.366376,0.749467,439593.000000,78268.000000
1085.055595,0.749678,441201.000000,78516.000000
1089.968128,0.750829,442941.000000,78617.000000
1093.647709,0.751796,445537.000000,78902.000000
1097.323160,0.748692,448116.000000,79928.000000
1100.994481,0.750031,449422.000000,79914.000000
1104.661671,0.749934,451109.000000,80232.000000
1108.324731,0.751074,453992.000000,80533.000000
1111.983661,0.752864,457203.000000,80769.000000
1115.638460,0.751408,459746.000000,81491.000000
1119.289129,0.753344,461686.000000,81471.000000
1124.150263,0.755537,463762.000000,81425.000000
