Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:43:41,,
Header Version:,1,,
System Temp hundredths:,3545,,
Detector Temp hundredths:,3608,,
Humidity hundredths:,3703,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.855801,64701.000000,9018.000000
905.903443,0.768389,80807.000000,13774.000000
909.784033,0.744737,90252.000000,16245.000000
913.660493,0.708666,98832.000000,19330.000000
917.532823,0.704926,108214.000000,21348.000000
921.401023,0.699951,120081.000000,23962.000000
925.265092,0.717989,134618.000000,25770.000000
929.125031,0.734992,152080.000000,27995.000000
932.980840,0.737756,171754.000000,31416.000000
936.832518,0.730265,192235.000000,35774.000000
941.961664,0.727921,218303.000000,40845.000000
945.803705,0.712694,236285.000000,45787.000000
949.641615,0.701412,252581.000000,50233.000000
953.475395,0.692879,268843.000000,54528.000000
957.305045,0.687694,284409.000000,58378.000000
961.130565,0.684896,300415.000000,62062.000000
964.951954,0.686075,315812.000000,65066.000000
968.769213,0.685399,331706.000000,68447.000000
972.582341,0.688279,347597.000000,71252.000000
976.391340,0.690076,362603.000000,74021.000000
981.463579,0.695009,381663.000000,77032.000000
985.262940,0.694048,394207.000000,79740.000000
989.058170,0.693717,405268.000000,82040.000000
992.849270,0.691724,414919.000000,84380.000000
996.636240,0.692965,422744.000000,85726.000000
1000.419080,0.691917,429985.000000,87405.000000
1004.197789,0.690444,435731.000000,88874.000000
1007.972367,0.688537,439787.000000,90096.000000
1011.742816,0.687614,442999.000000,90947.000000
1016.763656,0.686588,446147.000000,91810.000000
1020.524467,0.684030,447570.000000,92647.000000
1024.281147,0.681902,448137.000000,93220.000000
1028.033698,0.681633,447447.000000,93134.000000
1031.782118,0.679741,447066.000000,93461.000000
1035.526408,0.677203,446139.000000,93814.000000
1039.266567,0.676641,445335.000000,93766.000000
1043.002596,0.674558,443993.000000,93933.000000
1046.734495,0.675410,441985.000000,93325.000000
1050.462263,0.675116,439703.000000,92906.000000
1055.426196,0.674549,438747.000000,92825.000000
1059.144327,0.671243,437920.000000,93358.000000
1062.858328,0.673292,436828.000000,92687.000000
1066.568198,0.672315,436218.000000,92766.000000
1070.273938,0.673449,437019.000000,92694.000000
1073.975548,0.673293,437923.000000,92919.000000
1077.673027,0.673208,438436.000000,93046.000000
1081.366376,0.673667,439593.000000,93193.000000
1085.055595,0.672452,441201.000000,93796.000000
1089.968128,0.673764,442941.000000,93882.000000
1093.647709,0.673167,445537.000000,94562.000000
1097.323160,0.674967,448116.000000,94716.000000
1100.994481,0.673056,449422.000000,95411.000000
1104.661671,0.673066,451109.000000,95767.000000
1108.324731,0.674849,453992.000000,95984.000000
1111.983661,0.673830,457203.000000,96890.000000
1115.638460,0.674579,459746.000000,97261.000000
1119.289129,0.673560,461686.000000,97901.000000
1124.150263,0.675082,463762.000000,97997.000000
1127.791294,0.676755,465594.000000,98006.000000
1131.428195,0.677570,467340.000000,98189.000000
1135.060966,0.680083,468769.000000,97921.000000
1138.689607,0.684098,470277.000000,97332.000000
1142.314117,0.687593,471885.000000,96882.000000
1145.934497,0.691819,474025.000000,96379.000000
1149.550746,0.700354,475849.000000,94867.000000
1153.162866,0.709312,477793.000000,93310.000000
1156.770855,0.713573,479500.000000,92729.000000
1161.575081,0.727154,482364.000000,90411.000000
1165.173433,0.733803,485131.000000,89548.000000
1168.767654,0.745301,488511.000000,87816.000000
1172.357745,0.753118,491250.000000,86733.000000
1175.943705,0.759362,494537.000000,86067.000000
1179.525536,0.767020,498615.000000,85260.000000
1183.103235,0.771849,504468.000000,85307.000000
1186.676805,0.780400,510422.000000,84631.000000
1190.246244,0.788617,516637.000000,84056.000000
1194.999071,0.798782,526142.000000,83622.000000
1198.558873,0.809233,533671.000000,82802.000000
1202.114544,0.813453,540939.000000,83118.000000
1205.666086,0.819393,548916.000000,83198.000000
1209.213496,0.823989,558110.000000,83701.000000
1212.756777,0.828968,566953.000000,84058.000000
1216.295927,0.828970,575650.000000,85347.000000
1219.830947,0.827021,584869.000000,87104.000000
1223.361836,0.823584,595021.000000,89320.000000
1226.888595,0.816973,604954.000000,92204.000000
1231.584516,0.806514,617050.000000,96340.000000
1235.101637,0.799226,626559.000000,99480.000000
1238.614629,0.790573,636932.000000,103162.000000
1242.123490,0.784198,647247.000000,106383.000000
1245.628220,0.777824,655372.000000,109311.000000
1249.128821,0.774029,664642.000000,111830.000000
1252.625291,0.771755,674555.000000,114094.000000
1256.117630,0.768261,684692.000000,116744.000000
1259.605840,0.766349,692978.000000,118678.000000
1264.250361,0.763410,706063.000000,121740.000000
1267.728933,0.763751,716021.000000,123360.000000
1271.203374,0.763394,725552.000000,125105.000000
1274.673686,0.760574,734127.000000,127408.000000
1278.139867,0.757652,742906.000000,129802.000000
1281.601917,0.757876,750480.000000,131058.000000
1285.059838,0.756208,757621.000000,132814.000000
1288.513627,0.755980,764167.000000,134032.000000
1291.963287,0.754859,771928.000000,135743.000000
1296.556408,0.754410,779372.000000,137194.000000
1299.996431,0.753260,783046.000000,138206.000000
1303.432322,0.753206,787236.000000,138963.000000
1306.864084,0.753862,792393.000000,139662.000000
1310.291715,0.755651,796376.000000,139787.000000
1313.715216,0.756380,798307.000000,139891.000000
1317.134587,0.757240,801175.000000,140116.000000
1320.549827,0.759978,804861.000000,139876.000000
1323.960937,0.763031,807833.000000,139409.000000
1327.367917,0.766671,809608.000000,138549.000000
1331.904131,0.771105,811327.000000,137433.000000
1335.301473,0.777576,812775.000000,135642.000000
1338.694685,0.781197,813544.000000,134643.000000
1342.083767,0.787606,812602.000000,132517.000000
1345.468718,0.791615,811826.000000,131174.000000
1348.849539,0.798361,811585.000000,129114.000000
1352.226229,0.805697,810158.000000,126728.000000
1355.598789,0.811868,807876.000000,124588.000000
1358.967219,0.819832,805252.000000,121927.000000
1363.452034,0.830107,804229.000000,118925.000000
1366.810826,0.838048,803029.000000,116596.000000
1370.165488,0.846690,801212.000000,114040.000000
1373.516020,0.853637,799981.000000,112058.000000
1376.862422,0.861357,798624.000000,109897.000000
1380.204693,0.869767,795747.000000,107401.000000
1383.542834,0.878619,792504.000000,104805.000000
1386.876844,0.889618,790222.000000,101890.000000
1390.206724,0.903178,788607.000000,98556.000000
1393.532474,0.918737,785518.000000,94715.000000
1397.960382,0.943217,779920.000000,88886.000000
1401.276494,0.963690,776342.000000,84404.000000
1404.588477,0.983294,773563.000000,80390.000000
1407.896328,1.008757,769684.000000,75432.000000
1411.200050,1.033958,765635.000000,70805.000000
1414.499641,1.063691,762767.000000,65872.000000
1417.795101,1.089803,760810.000000,61869.000000
1421.086432,1.117264,758503.000000,57902.000000
1424.373632,1.146050,755935.000000,54005.000000
1428.750140,1.181071,753840.000000,49683.000000
1432.027703,1.203113,752941.000000,47168.000000
1435.301135,1.224506,751451.000000,44812.000000
1438.570437,1.243660,750582.000000,42829.000000
1441.835609,1.257554,749740.000000,41434.000000
1445.096650,1.266546,748245.000000,40504.000000
1448.353561,1.280080,747231.000000,39208.000000
1451.606342,1.285375,746115.000000,38675.000000
1454.854992,1.291989,743794.000000,37972.000000
1459.180101,1.296769,741747.000000,37453.000000
1462.419114,1.298034,739561.000000,37234.000000
1465.653997,1.305820,736862.000000,36439.000000
1468.884749,1.299328,734038.000000,36846.000000
1472.111371,1.302020,730885.000000,36461.000000
1475.333862,1.305889,727271.000000,35959.000000
1478.552224,1.299161,723938.000000,36353.000000
1481.766455,1.292808,721040.000000,36741.000000
1484.976555,1.293426,717684.000000,36518.000000
1488.182525,1.288624,713601.000000,36714.000000
1492.450728,1.284966,708541.000000,36762.000000
1495.647060,1.274059,704632.000000,37489.000000
1498.839263,1.267462,700712.000000,37851.000000
1502.027335,1.261937,695967.000000,38076.000000
1505.211277,1.263161,691038.000000,37700.000000
1508.391088,1.248826,686052.000000,38684.000000
1511.566770,1.244943,680877.000000,38737.000000
1514.738321,1.241643,675427.000000,38720.000000
1517.905741,1.235844,670152.000000,38934.000000
1522.122544,1.228778,662097.000000,39097.000000
1525.280327,1.221796,656403.000000,39389.000000
1528.433979,1.221778,650810.000000,39055.000000
1531.583502,1.210652,644842.000000,39701.000000
1534.728894,1.209411,638224.000000,39406.000000
1537.870156,1.203286,631155.000000,39523.000000
1541.007287,1.199680,625001.000000,39464.000000
1544.140289,1.198747,618097.000000,39112.000000
1547.269159,1.198783,610689.000000,38640.000000
1550.393900,1.195998,602954.000000,38396.000000
1554.553796,1.188652,592300.000000,38361.000000
1557.668899,1.194935,584592.000000,37318.000000
1560.779871,1.188095,576368.000000,37377.000000
1563.886714,1.185450,568025.000000,37061.000000
1566.989426,1.181613,559352.000000,36819.000000
1570.088008,1.178287,550305.000000,36502.000000
1573.182459,1.179782,541598.000000,35801.000000
1576.272780,1.172440,532727.000000,35815.000000
1579.358971,1.172858,523890.000000,35187.000000
1583.467467,1.172345,510646.000000,34338.000000
1586.544020,1.165906,501212.000000,34207.000000
1589.616443,1.162932,492392.000000,33836.000000
1592.684736,1.163734,482586.000000,33101.000000
1595.748898,1.158626,472996.000000,32827.000000
1598.808930,1.151185,462978.000000,32687.000000
1601.864832,1.148243,453381.000000,32227.000000
1604.916603,1.145245,443779.000000,31763.000000
1607.964244,1.142540,433789.000000,31242.000000
1612.021341,1.128901,420216.000000,31230.000000
1615.059344,1.125445,409971.000000,30712.000000
1618.093218,1.122694,400631.000000,30203.000000
1621.122961,1.123174,390490.000000,29406.000000
1624.148573,1.117325,380379.000000,29033.000000
1627.170055,1.107123,370204.000000,28928.000000
1630.187407,1.103216,360433.000000,28419.000000
1633.200629,1.098065,350418.000000,27959.000000
1636.209720,1.088243,340597.000000,27797.000000
1639.214681,1.090226,330782.000000,26873.000000
1643.214871,1.081901,317788.000000,26317.000000
1646.210195,1.079344,307687.000000,25631.000000
1649.201388,1.078909,297078.000000,24772.000000
1652.188451,1.075176,287199.000000,24155.000000
1655.171383,1.070389,276866.000000,23544.000000
1658.150185,1.058629,265166.000000,23168.000000
1661.124857,1.055632,252362.000000,22202.000000
1664.095399,1.047608,238503.000000,21374.000000
1667.061810,1.033662,222332.000000,20575.000000
1671.010600,1.008141,197141.000000,19348.000000
1673.967374,0.989163,175847.000000,18029.000000
1676.920017,0.969298,154167.000000,16546.000000
1679.868531,0.934972,132946.000000,15442.000000
1682.812913,0.925238,113053.000000,13429.000000
1685.753166,0.904809,95698.000000,11915.000000
1688.689288,0.901740,80645.000000,10112.000000
1691.621280,0.911778,68011.000000,8333.000000
1694.549141,0.898076,57785.000000,7307.000000
1697.472873,0.929560,49231.000000,5790.000000
1701.364756,0.949119,40194.000000,4519.000000
