Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:42:40,,
Header Version:,1,,
System Temp hundredths:,3531,,
Detector Temp hundredths:,3627,,
Humidity hundredths:,3761,,
Lamp PD:,3766,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.688531,64701.000000,13255.000000
905.903443,0.610477,80807.000000,19814.000000
909.784033,0.561917,90252.000000,24748.000000
913.660493,0.537955,98832.000000,28638.000000
917.532823,0.530180,108214.000000,31923.000000
921.401023,0.528830,120081.000000,35534.000000
925.265092,0.543022,134618.000000,38555.000000
929.125031,0.546146,152080.000000,43244.000000
932.980840,0.551302,171754.000000,48262.000000
936.832518,0.554360,192235.000000,53638.000000
941.961664,0.538872,218303.000000,63123.000000
945.803705,0.528133,236285.000000,70033.000000
949.641615,0.512220,252581.000000,77657.000000
953.475395,0.504347,268843.000000,84169.000000
957.305045,0.499802,284409.000000,89979.000000
961.130565,0.496987,300415.000000,95661.000000
964.951954,0.494544,315812.000000,101131.000000
968.769213,0.497583,331706.000000,105480.000000
972.582341,0.497918,347597.000000,110448.000000
976.391340,0.498949,362603.000000,114943.000000
981.463579,0.500855,381663.000000,120455.000000
985.262940,0.499760,394207.000000,124728.000000
989.058170,0.499969,405268.000000,128166.000000
992.849270,0.500596,414919.000000,131029.000000
996.636240,0.498131,422744.000000,134260.000000
1000.419080,0.496216,429985.000000,137163.000000
1004.197789,0.495024,435731.000000,139378.000000
1007.972367,0.492572,439787.000000,141472.000000
1011.742816,0.489999,442999.000000,143352.000000
1016.763656,0.487553,446147.000000,145186.000000
1020.524467,0.485893,447570.000000,146207.000000
1024.281147,0.484448,448137.000000,146880.000000
1028.033698,0.482527,447447.000000,147304.000000
1031.782118,0.481268,447066.000000,147606.000000
1035.526408,0.479575,446139.000000,147875.000000
1039.266567,0.478513,445335.000000,147970.000000
1043.002596,0.478034,443993.000000,147687.000000
1046.734495,0.476409,441985.000000,147570.000000
1050.462263,0.476783,439703.000000,146682.000000
1055.426196,0.473678,438747.000000,147413.000000
1059.144327,0.474829,437920.000000,146746.000000
1062.858328,0.475126,436828.000000,146280.000000
1066.568198,0.475172,436218.000000,146060.000000
1070.273938,0.475265,437019.000000,146297.000000
1073.975548,0.474846,437923.000000,146741.000000
1077.673027,0.476066,438436.000000,146501.000000
1081.366376,0.476224,439593.000000,146834.000000
1085.055595,0.477136,441201.000000,147062.000000
1089.968128,0.476965,442941.000000,147700.000000
1093.647709,0.477207,445537.000000,148483.000000
1097.323160,0.477677,448116.000000,149181.000000
1100.994481,0.478257,449422.000000,149416.000000
1104.661671,0.477479,451109.000000,150246.000000
1108.324731,0.477792,453992.000000,151097.000000
1111.983661,0.477823,457203.000000,152155.000000
1115.638460,0.479060,459746.000000,152566.000000
1119.289129,0.478705,461686.000000,153335.000000
1124.150263,0.477873,463762.000000,154320.000000
1127.791294,0.480659,465594.000000,153939.000000
1131.428195,0.480704,467340.000000,154500.000000
1135.060966,0.482413,468769.000000,154364.000000
1138.689607,0.485847,470277.000000,153641.000000
1142.314117,0.489713,471885.000000,152800.000000
1145.934497,0.496034,474025.000000,151275.000000
1149.550746,0.500577,475849.000000,150277.000000
1153.162866,0.510033,477793.000000,147641.000000
1156.770855,0.516239,479500.000000,146066.000000
1161.575081,0.526124,482364.000000,143632.000000
1165.173433,0.535066,485131.000000,141512.000000
1168.767654,0.541572,488511.000000,140379.000000
1172.357745,0.548998,491250.000000,138773.000000
1175.943705,0.556098,494537.000000,137436.000000
1179.525536,0.562388,498615.000000,136577.000000
1183.103235,0.567828,504468.000000,136460.000000
1186.676805,0.574751,510422.000000,135887.000000
1190.246244,0.582479,516637.000000,135116.000000
1194.999071,0.589840,526142.000000,135289.000000
1198.558873,0.596818,533671.000000,135038.000000
1202.114544,0.602310,540939.000000,135157.000000
