Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:12:52,,
Header Version:,1,,
System Temp hundredths:,3477,,
Detector Temp hundredths:,3540,,
Humidity hundredths:,3920,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.821684,64701.000000,9755.000000
905.903443,0.734963,80807.000000,14876.000000
909.784033,0.689060,90252.000000,18467.000000
913.660493,0.657478,98832.000000,21748.000000
917.532823,0.647321,108214.000000,24376.000000
921.401023,0.650579,120081.000000,26847.000000
925.265092,0.658457,134618.000000,29556.000000
929.125031,0.664256,152080.000000,32947.000000
932.980840,0.671996,171754.000000,36552.000000
936.832518,0.673982,192235.000000,40724.000000
941.961664,0.664557,218303.000000,47261.000000
945.803705,0.647663,236285.000000,53183.000000
949.641615,0.635126,252581.000000,58516.000000
953.475395,0.628898,268843.000000,63183.000000
957.305045,0.623393,284409.000000,67694.000000
961.130565,0.620021,300415.000000,72061.000000
964.951954,0.618787,315812.000000,75970.000000
968.769213,0.620791,331706.000000,79426.000000
972.582341,0.619853,347597.000000,83411.000000
976.391340,0.620257,362603.000000,86931.000000
981.463579,0.620691,381663.000000,91409.000000
985.262940,0.621535,394207.000000,94230.000000
989.058170,0.620554,405268.000000,97093.000000
992.849270,0.620944,414919.000000,99316.000000
996.636240,0.619526,422744.000000,101520.000000
1000.419080,0.618752,429985.000000,103443.000000
1004.197789,0.617860,435731.000000,105041.000000
1007.972367,0.615575,439787.000000,106578.000000
1011.742816,0.614046,442999.000000,107735.000000
1016.763656,0.613952,446147.000000,108524.000000
1020.524467,0.610734,447570.000000,109680.000000
1024.281147,0.609016,448137.000000,110254.000000
1028.033698,0.609238,447447.000000,110028.000000
1031.782118,0.608494,447066.000000,110123.000000
1035.526408,0.606627,446139.000000,110368.000000
1039.266567,0.604586,445335.000000,110688.000000
1043.002596,0.604446,443993.000000,110390.000000
1046.734495,0.604615,441985.000000,109848.000000
1050.462263,0.603948,439703.000000,109449.000000
1055.426196,0.602190,438747.000000,109654.000000
1059.144327,0.603172,437920.000000,109200.000000
1062.858328,0.604625,436828.000000,108564.000000
1066.568198,0.603922,436218.000000,108588.000000
1070.273938,0.604963,437019.000000,108527.000000
1073.975548,0.604585,437923.000000,108846.000000
1077.673027,0.603994,438436.000000,109122.000000
1081.366376,0.605441,439593.000000,109046.000000
1085.055595,0.607110,441201.000000,109025.000000
1089.968128,0.604795,442941.000000,110040.000000
1093.647709,0.604391,445537.000000,110788.000000
1097.323160,0.604903,448116.000000,111298.000000
1100.994481,0.602801,449422.000000,112164.000000
1104.661671,0.603341,451109.000000,112445.000000
1108.324731,0.603064,453992.000000,113236.000000
1111.983661,0.602778,457203.000000,114112.000000
1115.638460,0.602720,459746.000000,114762.000000
1119.289129,0.601021,461686.000000,115698.000000
1124.150263,0.600473,463762.000000,116365.000000
1127.791294,0.600676,465594.000000,116770.000000
1131.428195,0.599939,467340.000000,117407.000000
1135.060966,0.599615,468769.000000,117854.000000
1138.689607,0.598357,470277.000000,118576.000000
1142.314117,0.598446,471885.000000,118957.000000
1145.934497,0.599725,474025.000000,119145.000000
1149.550746,0.602532,475849.000000,118833.000000
1153.162866,0.604401,477793.000000,118806.000000
1156.770855,0.604782,479500.000000,119126.000000
1161.575081,0.609078,482364.000000,118658.000000
1165.173433,0.612265,485131.000000,118466.000000
1168.767654,0.614900,488511.000000,118570.000000
1172.357745,0.617361,491250.000000,118561.000000
1175.943705,0.621181,494537.000000,118309.000000
1179.525536,0.626218,498615.000000,117909.000000
1183.103235,0.629654,504468.000000,118353.000000
1186.676805,0.634376,510422.000000,118455.000000
1190.246244,0.639555,516637.000000,118476.000000
1194.999071,0.644422,526142.000000,119311.000000
1198.558873,0.649848,533671.000000,119516.000000
1202.114544,0.652374,540939.000000,120441.000000
1205.666086,0.656114,548916.000000,121169.000000
1209.213496,0.659638,558110.000000,122203.000000
1212.756777,0.660420,566953.000000,123916.000000
1216.295927,0.662384,575650.000000,125249.000000
1219.830947,0.661712,584869.000000,127452.000000
1223.361836,0.661308,595021.000000,129785.000000
1226.888595,0.659710,604954.000000,132438.000000
1231.584516,0.655353,617050.000000,136448.000000
1235.101637,0.652372,626559.000000,139505.000000
1238.614629,0.650059,636932.000000,142572.000000
1242.123490,0.648745,647247.000000,145320.000000
1245.628220,0.645663,655372.000000,148192.000000
1249.128821,0.645213,664642.000000,150444.000000
1252.625291,0.643215,674555.000000,153392.000000
1256.117630,0.642599,684692.000000,155918.000000
1259.605840,0.641873,692978.000000,158069.000000
1264.250361,0.641387,706063.000000,161234.000000
1267.728933,0.641169,716021.000000,163590.000000
1271.203374,0.639716,725552.000000,166323.000000
1274.673686,0.640840,734127.000000,167854.000000
1278.139867,0.639337,742906.000000,170450.000000
1281.601917,0.638454,750480.000000,172538.000000
1285.059838,0.637958,757621.000000,174379.000000
1288.513627,0.636301,764167.000000,176558.000000
1291.963287,0.635000,771928.000000,178886.000000
1296.556408,0.633347,779372.000000,181300.000000
1299.996431,0.632848,783046.000000,182364.000000
1303.432322,0.631894,787236.000000,183743.000000
1306.864084,0.631628,792393.000000,185060.000000
1310.291715,0.629885,796376.000000,186738.000000
1313.715216,0.630702,798307.000000,186839.000000
1317.134587,0.628764,801175.000000,188349.000000
1320.549827,0.629140,804861.000000,189052.000000
1323.960937,0.629099,807833.000000,189768.000000
1327.367917,0.630375,809608.000000,189627.000000
1331.904131,0.629540,811327.000000,190395.000000
1335.301473,0.631102,812775.000000,190050.000000
1338.694685,0.633052,813544.000000,189378.000000
1342.083767,0.633945,812602.000000,188770.000000
1345.468718,0.636825,811826.000000,187343.000000
1348.849539,0.638699,811585.000000,186481.000000
1352.226229,0.641767,810158.000000,184843.000000
1355.598789,0.645846,807876.000000,182599.000000
1358.967219,0.650126,805252.000000,180221.000000
1363.452034,0.655981,804229.000000,177582.000000
1366.810826,0.659910,803029.000000,175720.000000
1370.165488,0.664809,801212.000000,173356.000000
1373.516020,0.668995,799981.000000,171429.000000
1376.862422,0.672397,798624.000000,169803.000000
1380.204693,0.674848,795747.000000,168239.000000
1383.542834,0.676350,792504.000000,166975.000000
1386.876844,0.679589,790222.000000,165257.000000
1390.206724,0.683099,788607.000000,163592.000000
1393.532474,0.686274,785518.000000,161764.000000
1397.960382,0.691961,779920.000000,158522.000000
1401.276494,0.696981,776342.000000,155981.000000
1404.588477,0.702764,773563.000000,153367.000000
1407.896328,0.711520,769684.000000,149552.000000
1411.200050,0.721484,765635.000000,145391.000000
1414.499641,0.731844,762767.000000,141432.000000
1417.795101,0.745930,760810.000000,136567.000000
1421.086432,0.763835,758503.000000,130654.000000
1424.373632,0.780748,755935.000000,125238.000000
1428.750140,0.808189,753840.000000,117244.000000
1432.027703,0.828572,752941.000000,111735.000000
1435.301135,0.847936,751451.000000,106651.000000
1438.570437,0.867988,750582.000000,101721.000000
1441.835609,0.884093,749740.000000,97908.000000
1445.096650,0.897763,748245.000000,94685.000000
1448.353561,0.910891,747231.000000,91741.000000
1451.606342,0.919650,746115.000000,89775.000000
1454.854992,0.928765,743794.000000,87637.000000
1459.180101,0.937599,741747.000000,85636.000000
1462.419114,0.942272,739561.000000,84470.000000
1465.653997,0.945466,736862.000000,83545.000000
1468.884749,0.949359,734038.000000,82482.000000
1472.111371,0.948412,730885.000000,82307.000000
1475.333862,0.949139,727271.000000,81763.000000
1478.552224,0.950745,723938.000000,81088.000000
1481.766455,0.949362,721040.000000,81021.000000
1484.976555,0.948275,717684.000000,80846.000000
1488.182525,0.946646,713601.000000,80688.000000
1492.450728,0.946781,708541.000000,80091.000000
1495.647060,0.943014,704632.000000,80343.000000
1498.839263,0.943640,700712.000000,79781.000000
1502.027335,0.941730,695967.000000,79590.000000
1505.211277,0.937864,691038.000000,79733.000000
1508.391088,0.933457,686052.000000,79965.000000
1511.566770,0.932063,680877.000000,79617.000000
1514.738321,0.928131,675427.000000,79698.000000
1517.905741,0.924258,670152.000000,79784.000000
1522.122544,0.921824,662097.000000,79268.000000
1525.280327,0.919967,656403.000000,78923.000000
1528.433979,0.916207,650810.000000,78931.000000
1531.583502,0.915043,644842.000000,78417.000000
1534.728894,0.911161,638224.000000,78309.000000
1537.870156,0.910823,631155.000000,77502.000000
1541.007287,0.908877,625001.000000,77091.000000
1544.140289,0.907668,618097.000000,76452.000000
1547.269159,0.909256,610689.000000,75260.000000
1550.393900,0.905675,602954.000000,74922.000000
1554.553796,0.906142,592300.000000,73519.000000
1557.668899,0.906623,584592.000000,72482.000000
1560.779871,0.906115,576368.000000,71546.000000
1563.886714,0.905311,568025.000000,70641.000000
1566.989426,0.904764,559352.000000,69650.000000
1570.088008,0.907061,550305.000000,68162.000000
1573.182459,0.905365,541598.000000,67346.000000
1576.272780,0.906257,532727.000000,66107.000000
1579.358971,0.903782,523890.000000,65382.000000
1583.467467,0.904663,510646.000000,63600.000000
1586.544020,0.898604,501212.000000,63302.000000
1589.616443,0.898220,492392.000000,62243.000000
1592.684736,0.896916,482586.000000,61187.000000
1595.748898,0.893540,472996.000000,60439.000000
1598.808930,0.891328,462978.000000,59461.000000
1601.864832,0.890251,453381.000000,58373.000000
1604.916603,0.880575,443779.000000,58424.000000
1607.964244,0.879883,433789.000000,57200.000000
1612.021341,0.873636,420216.000000,56213.000000
1615.059344,0.871420,409971.000000,55123.000000
1618.093218,0.867537,400631.000000,54351.000000
1621.122961,0.866335,390490.000000,53122.000000
1624.148573,0.858472,380379.000000,52692.000000
1627.170055,0.857132,370204.000000,51441.000000
1630.187407,0.850986,360433.000000,50797.000000
1633.200629,0.848816,350418.000000,49633.000000
1636.209720,0.848834,340597.000000,48240.000000
1639.214681,0.840087,330782.000000,47803.000000
1643.214871,0.834320,317788.000000,46539.000000
1646.210195,0.835157,307687.000000,44973.000000
1649.201388,0.829951,297078.000000,43946.000000
1652.188451,0.828488,287199.000000,42628.000000
1655.171383,0.821873,276866.000000,41725.000000
1658.150185,0.812379,265166.000000,40845.000000
1661.124857,0.807709,252362.000000,39293.000000
1664.095399,0.800094,238503.000000,37792.000000
1667.061810,0.794042,222332.000000,35724.000000
1671.010600,0.771330,197141.000000,33377.000000
1673.967374,0.749840,175847.000000,31282.000000
1676.920017,0.722936,154167.000000,29178.000000
1679.868531,0.704166,132946.000000,26273.000000
1682.812913,0.679635,113053.000000,23640.000000
1685.753166,0.667036,95698.000000,20600.000000
1688.689288,0.662969,80645.000000,17523.000000
1691.621280,0.652310,68011.000000,15145.000000
1694.549141,0.673148,57785.000000,12265.000000
1697.472873,0.692630,49231.000000,9991.000000
1701.364756,0.693217,40194.000000,8146.000000
