Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:15:22,,
Header Version:,1,,
System Temp hundredths:,3534,,
Detector Temp hundredths:,3551,,
Humidity hundredths:,3777,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.769321,64701.000000,11005.000000
905.903443,0.686217,80807.000000,16643.000000
909.784033,0.632618,90252.000000,21030.000000
913.660493,0.611603,98832.000000,24171.000000
917.532823,0.600594,108214.000000,27145.000000
921.401023,0.596372,120081.000000,30416.000000
925.265092,0.604149,134618.000000,33493.000000
929.125031,0.607925,152080.000000,37510.000000
932.980840,0.607531,171754.000000,42401.000000
936.832518,0.599454,192235.000000,48348.000000
941.961664,0.588382,218303.000000,56322.000000
945.803705,0.573965,236285.000000,63019.000000
949.641615,0.561993,252581.000000,69248.000000
953.475395,0.550191,268843.000000,75737.000000
957.305045,0.543015,284409.000000,81457.000000
961.130565,0.539147,300415.000000,86811.000000
964.951954,0.534712,315812.000000,92197.000000
968.769213,0.532819,331706.000000,97260.000000
972.582341,0.530077,347597.000000,102565.000000
976.391340,0.529241,362603.000000,107199.000000
981.463579,0.528206,381663.000000,113103.000000
985.262940,0.526537,394207.000000,117270.000000
989.058170,0.523993,405268.000000,121269.000000
992.849270,0.523513,414919.000000,124294.000000
996.636240,0.521365,422744.000000,127266.000000
1000.419080,0.519995,429985.000000,129855.000000
1004.197789,0.519639,435731.000000,131698.000000
1007.972367,0.517755,439787.000000,133502.000000
1011.742816,0.515641,442999.000000,135133.000000
1016.763656,0.514034,446147.000000,136598.000000
1020.524467,0.512748,447570.000000,137440.000000
1024.281147,0.512360,448137.000000,137737.000000
1028.033698,0.510891,447447.000000,137991.000000
