Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:19:39,,
Header Version:,1,,
System Temp hundredths:,3526,,
Detector Temp hundredths:,3579,,
Humidity hundredths:,3804,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.950214,64701.000000,7256.000000
905.903443,0.870980,80807.000000,10876.000000
909.784033,0.809670,90252.000000,13989.000000
913.660493,0.794184,98832.000000,15875.000000
917.532823,0.781576,108214.000000,17894.000000
921.401023,0.783995,120081.000000,19746.000000
925.265092,0.799278,134618.000000,21371.000000
929.125031,0.802984,152080.000000,23938.000000
932.980840,0.812826,171754.000000,26429.000000
936.832518,0.803495,192235.000000,30223.000000
941.961664,0.794136,218303.000000,35069.000000
945.803705,0.782617,236285.000000,38978.000000
949.641615,0.766274,252581.000000,43264.000000
953.475395,0.761113,268843.000000,46600.000000
957.305045,0.748430,284409.000000,50759.000000
961.130565,0.750254,300415.000000,53391.000000
964.951954,0.748227,315812.000000,56390.000000
968.769213,0.749739,331706.000000,59022.000000
972.582341,0.751460,347597.000000,61605.000000
976.391340,0.749434,362603.000000,64565.000000
981.463579,0.755443,381663.000000,67025.000000
985.262940,0.751316,394207.000000,69889.000000
989.058170,0.752344,405268.000000,71680.000000
992.849270,0.755105,414919.000000,72922.000000
996.636240,0.751868,422744.000000,74853.000000
1000.419080,0.751117,429985.000000,76267.000000
1004.197789,0.749139,435731.000000,77639.000000
1007.972367,0.747654,439787.000000,78630.000000
1011.742816,0.746774,442999.000000,79365.000000
1016.763656,0.745282,446147.000000,80204.000000
1020.524467,0.744774,447570.000000,80554.000000
1024.281147,0.744500,448137.000000,80707.000000
1028.033698,0.743529,447447.000000,80763.000000
1031.782118,0.743412,447066.000000,80716.000000
1035.526408,0.741098,446139.000000,80979.000000
1039.266567,0.741743,445335.000000,80713.000000
1043.002596,0.741472,443993.000000,80520.000000
1046.734495,0.739444,441985.000000,80531.000000
1050.462263,0.738644,439703.000000,80263.000000
1055.426196,0.741525,438747.000000,79559.000000
1059.144327,0.738799,437920.000000,79909.000000
1062.858328,0.743300,436828.000000,78888.000000
1066.568198,0.741083,436218.000000,79181.000000
1070.273938,0.743969,437019.000000,78801.000000
1073.975548,0.743424,437923.000000,79063.000000
1077.673027,0.744868,438436.000000,78893.000000
1081.366376,0.743077,439593.000000,79428.000000
1085.055595,0.744942,441201.000000,79377.000000
1089.968128,0.744534,442941.000000,79765.000000
1093.647709,0.744552,445537.000000,80229.000000
1097.323160,0.743732,448116.000000,80846.000000
1100.994481,0.743735,449422.000000,81081.000000
1104.661671,0.741401,451109.000000,81824.000000
1108.324731,0.743499,453992.000000,81950.000000
1111.983661,0.742640,457203.000000,82693.000000
1115.638460,0.739844,459746.000000,83690.000000
1119.289129,0.739861,461686.000000,84040.000000
1124.150263,0.740148,463762.000000,84362.000000
1127.791294,0.738415,465594.000000,85034.000000
1131.428195,0.738862,467340.000000,85265.000000
1135.060966,0.737791,468769.000000,85737.000000
1138.689607,0.737845,470277.000000,86002.000000
1142.314117,0.740567,471885.000000,85757.000000
1145.934497,0.742314,474025.000000,85800.000000
1149.550746,0.743072,475849.000000,85980.000000
1153.162866,0.748306,477793.000000,85297.000000
1156.770855,0.750196,479500.000000,85230.000000
1161.575081,0.754462,482364.000000,84901.000000
1165.173433,0.755358,485131.000000,85212.000000
1168.767654,0.761129,488511.000000,84673.000000
1172.357745,0.763311,491250.000000,84721.000000
1175.943705,0.767183,494537.000000,84531.000000
1179.525536,0.772716,498615.000000,84149.000000
1183.103235,0.777805,504468.000000,84145.000000
1186.676805,0.783097,510422.000000,84107.000000
1190.246244,0.787049,516637.000000,84360.000000
1194.999071,0.793138,526142.000000,84716.000000
1198.558873,0.798013,533671.000000,84969.000000
1202.114544,0.800456,540939.000000,85643.000000
1205.666086,0.800506,548916.000000,86896.000000
1209.213496,0.804687,558110.000000,87505.000000
1212.756777,0.806943,566953.000000,88431.000000
1216.295927,0.806394,575650.000000,89901.000000
1219.830947,0.806236,584869.000000,91374.000000
1223.361836,0.802825,595021.000000,93693.000000
1226.888595,0.801405,604954.000000,95569.000000
1231.584516,0.797586,617050.000000,98341.000000
1235.101637,0.793351,626559.000000,100835.000000
1238.614629,0.791927,636932.000000,102841.000000
1242.123490,0.790634,647247.000000,104818.000000
1245.628220,0.786885,655372.000000,107054.000000
1249.128821,0.785488,664642.000000,108918.000000
1252.625291,0.784019,674555.000000,110917.000000
1256.117630,0.785313,684692.000000,112249.000000
1259.605840,0.785039,692978.000000,113679.000000
1264.250361,0.782853,706063.000000,116410.000000
1267.728933,0.784397,716021.000000,117633.000000
1271.203374,0.783195,725552.000000,119529.000000
1274.673686,0.781832,734127.000000,121322.000000
1278.139867,0.781403,742906.000000,122894.000000
1281.601917,0.780264,750480.000000,124473.000000
1285.059838,0.779223,757621.000000,125959.000000
1288.513627,0.778947,764167.000000,127128.000000
1291.963287,0.777368,771928.000000,128887.000000
1296.556408,0.776784,779372.000000,130305.000000
1299.996431,0.775440,783046.000000,131325.000000
1303.432322,0.774273,787236.000000,132383.000000
1306.864084,0.773554,792393.000000,133471.000000
1310.291715,0.773120,796376.000000,134276.000000
1313.715216,0.773125,798307.000000,134600.000000
1317.134587,0.772189,801175.000000,135375.000000
1320.549827,0.772112,804861.000000,136022.000000
1323.960937,0.772380,807833.000000,136440.000000
1327.367917,0.774548,809608.000000,136059.000000
1331.904131,0.774665,811327.000000,136311.000000
1335.301473,0.774202,812775.000000,136700.000000
1338.694685,0.776182,813544.000000,136207.000000
1342.083767,0.778012,812602.000000,135477.000000
1345.468718,0.780402,811826.000000,134605.000000
1348.849539,0.784159,811585.000000,133406.000000
1352.226229,0.786806,810158.000000,132362.000000
1355.598789,0.790667,807876.000000,130821.000000
1358.967219,0.794041,805252.000000,129387.000000
1363.452034,0.801207,804229.000000,127108.000000
1366.810826,0.805814,803029.000000,125579.000000
1370.165488,0.810403,801212.000000,123978.000000
1373.516020,0.814186,799981.000000,122714.000000
1376.862422,0.817548,798624.000000,121561.000000
1380.204693,0.820195,795747.000000,120387.000000
1383.542834,0.824529,792504.000000,118706.000000
1386.876844,0.827604,790222.000000,117529.000000
1390.206724,0.830516,788607.000000,116505.000000
1393.532474,0.833304,785518.000000,115306.000000
1397.960382,0.837498,779920.000000,113384.000000
1401.276494,0.846164,776342.000000,110634.000000
1404.588477,0.850719,773563.000000,109088.000000
1407.896328,0.859612,769684.000000,106341.000000
1411.200050,0.870654,765635.000000,103126.000000
1414.499641,0.885771,762767.000000,99225.000000
1417.795101,0.901632,760810.000000,95421.000000
1421.086432,0.917001,758503.000000,91824.000000
1424.373632,0.935896,755935.000000,87617.000000
1428.750140,0.964908,753840.000000,81728.000000
1432.027703,0.986373,752941.000000,77694.000000
1435.301135,1.008351,751451.000000,73714.000000
1438.570437,1.025580,750582.000000,70765.000000
1441.835609,1.042785,749740.000000,67940.000000
1445.096650,1.057451,748245.000000,65553.000000
1448.353561,1.067818,747231.000000,63920.000000
1451.606342,1.082619,746115.000000,61686.000000
1454.854992,1.090919,743794.000000,60330.000000
1459.180101,1.096382,741747.000000,59412.000000
1462.419114,1.100380,739561.000000,58694.000000
1465.653997,1.105000,736862.000000,57861.000000
1468.884749,1.110538,734038.000000,56909.000000
1472.111371,1.109042,730885.000000,56860.000000
1475.333862,1.111489,727271.000000,56261.000000
1478.552224,1.111816,723938.000000,55961.000000
1481.766455,1.109756,721040.000000,56002.000000
1484.976555,1.109868,717684.000000,55727.000000
1488.182525,1.110652,713601.000000,55310.000000
1492.450728,1.107357,708541.000000,55336.000000
1495.647060,1.105426,704632.000000,55276.000000
1498.839263,1.106553,700712.000000,54826.000000
1502.027335,1.103254,695967.000000,54870.000000
1505.211277,1.098500,691038.000000,55081.000000
1508.391088,1.097909,686052.000000,54758.000000
1511.566770,1.090359,680877.000000,55298.000000
1514.738321,1.087899,675427.000000,55167.000000
1517.905741,1.088520,670152.000000,54658.000000
1522.122544,1.084031,662097.000000,54562.000000
1525.280327,1.078652,656403.000000,54767.000000
1528.433979,1.077656,650810.000000,54425.000000
1531.583502,1.072475,644842.000000,54573.000000
1534.728894,1.073425,638224.000000,53895.000000
1537.870156,1.072562,631155.000000,53404.000000
1541.007287,1.069333,625001.000000,53278.000000
1544.140289,1.069931,618097.000000,52617.000000
1547.269159,1.066887,610689.000000,52352.000000
1550.393900,1.064565,602954.000000,51966.000000
1554.553796,1.064478,592300.000000,51058.000000
1557.668899,1.060050,584592.000000,50910.000000
1560.779871,1.064370,576368.000000,49697.000000
1563.886714,1.062605,568025.000000,49177.000000
1566.989426,1.061067,559352.000000,48598.000000
1570.088008,1.057493,550305.000000,48207.000000
1573.182459,1.058550,541598.000000,47329.000000
1576.272780,1.060361,532727.000000,46360.000000
1579.358971,1.056548,523890.000000,45993.000000
1583.467467,1.051418,510646.000000,45363.000000
1586.544020,1.055002,501212.000000,44159.000000
1589.616443,1.052436,492392.000000,43639.000000
1592.684736,1.048352,482586.000000,43174.000000
1595.748898,1.040310,472996.000000,43107.000000
1598.808930,1.040814,462978.000000,42145.000000
1601.864832,1.038007,453381.000000,41539.000000
1604.916603,1.030639,443779.000000,41355.000000
1607.964244,1.026799,433789.000000,40783.000000
1612.021341,1.018372,420216.000000,40281.000000
1615.059344,1.017544,409971.000000,39374.000000
1618.093218,1.015629,400631.000000,38647.000000
1621.122961,1.008729,390490.000000,38272.000000
1624.148573,1.000056,380379.000000,38033.000000
1627.170055,0.997210,370204.000000,37259.000000
1630.187407,0.992798,360433.000000,36646.000000
1633.200629,0.991250,350418.000000,35755.000000
1636.209720,0.984638,340597.000000,35286.000000
1639.214681,0.978112,330782.000000,34788.000000
1643.214871,0.975088,317788.000000,33655.000000
1646.210195,0.968019,307687.000000,33120.000000
1649.201388,0.970621,297078.000000,31787.000000
1652.188451,0.965898,287199.000000,31066.000000
1655.171383,0.955471,276866.000000,30676.000000
1658.150185,0.950265,265166.000000,29734.000000
1661.124857,0.942662,252362.000000,28798.000000
1664.095399,0.928695,238503.000000,28106.000000
1667.061810,0.923297,222332.000000,26528.000000
1671.010600,0.900343,197141.000000,24799.000000
1673.967374,0.885831,175847.000000,22872.000000
1676.920017,0.847666,154167.000000,21894.000000
1679.868531,0.827954,132946.000000,19757.000000
1682.812913,0.813757,113053.000000,17359.000000
