Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:18:58,,
Header Version:,1,,
System Temp hundredths:,3506,,
Detector Temp hundredths:,3597,,
Humidity hundredths:,3863,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.773166,64701.000000,10908.000000
905.903443,0.704661,80807.000000,15951.000000
909.784033,0.660088,90252.000000,19741.000000
913.660493,0.625125,98832.000000,23430.000000
917.532823,0.629296,108214.000000,25409.000000
921.401023,0.628671,120081.000000,28236.000000
925.265092,0.636748,134618.000000,31071.000000
929.125031,0.642820,152080.000000,34614.000000
932.980840,0.647061,171754.000000,38712.000000
936.832518,0.642150,192235.000000,43821.000000
941.961664,0.632086,218303.000000,50930.000000
945.803705,0.620858,236285.000000,56569.000000
949.641615,0.606618,252581.000000,62486.000000
953.475395,0.600832,268843.000000,67401.000000
957.305045,0.595888,284409.000000,72120.000000
961.130565,0.590825,300415.000000,77072.000000
964.951954,0.589028,315812.000000,81358.000000
968.769213,0.587793,331706.000000,85696.000000
972.582341,0.586578,347597.000000,90053.000000
976.391340,0.587465,362603.000000,93749.000000
981.463579,0.585751,381663.000000,99067.000000
985.262940,0.585900,394207.000000,102288.000000
989.058170,0.586524,405268.000000,105007.000000
992.849270,0.583612,414919.000000,108231.000000
996.636240,0.583380,422744.000000,110331.000000
1000.419080,0.582872,429985.000000,112352.000000
1004.197789,0.581568,435731.000000,114196.000000
1007.972367,0.578466,439787.000000,116085.000000
1011.742816,0.577245,442999.000000,117262.000000
1016.763656,0.576354,446147.000000,118338.000000
1020.524467,0.575599,447570.000000,118922.000000
1024.281147,0.574145,448137.000000,119472.000000
1028.033698,0.571730,447447.000000,119953.000000
1031.782118,0.572604,447066.000000,119610.000000
1035.526408,0.570883,446139.000000,119836.000000
1039.266567,0.569734,445335.000000,119937.000000
1043.002596,0.569696,443993.000000,119586.000000
1046.734495,0.571026,441985.000000,118681.000000
1050.462263,0.569635,439703.000000,118447.000000
1055.426196,0.569233,438747.000000,118299.000000
1059.144327,0.570279,437920.000000,117792.000000
1062.858328,0.571353,436828.000000,117208.000000
1066.568198,0.572142,436218.000000,116832.000000
1070.273938,0.573072,437019.000000,116796.000000
1073.975548,0.572281,437923.000000,117251.000000
1077.673027,0.575345,438436.000000,116563.000000
1081.366376,0.575995,439593.000000,116696.000000
1085.055595,0.575568,441201.000000,117238.000000
1089.968128,0.574917,442941.000000,117877.000000
1093.647709,0.575352,445537.000000,118449.000000
1097.323160,0.576406,448116.000000,118846.000000
1100.994481,0.575588,449422.000000,119417.000000
1104.661671,0.575419,451109.000000,119912.000000
1108.324731,0.574313,453992.000000,120986.000000
1111.983661,0.573600,457203.000000,122042.000000
1115.638460,0.573129,459746.000000,122854.000000
1119.289129,0.574724,461686.000000,122920.000000
1124.150263,0.572972,463762.000000,123972.000000
1127.791294,0.573896,465594.000000,124197.000000
1131.428195,0.572511,467340.000000,125061.000000
1135.060966,0.573292,468769.000000,125218.000000
1138.689607,0.572345,470277.000000,125895.000000
