Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:27:53,,
Header Version:,1,,
System Temp hundredths:,3515,,
Detector Temp hundredths:,3617,,
Humidity hundredths:,3785,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.478958,64701.000000,21476.000000
905.903443,0.404299,80807.000000,31853.000000
909.784033,0.357882,90252.000000,39589.000000
913.660493,0.335305,98832.000000,45666.000000
917.532823,0.326322,108214.000000,51046.000000
921.401023,0.331923,120081.000000,55918.000000
925.265092,0.338698,134618.000000,61717.000000
929.125031,0.345862,152080.000000,68582.000000
932.980840,0.350010,171754.000000,76718.000000
936.832518,0.347736,192235.000000,86317.000000
941.961664,0.331641,218303.000000,101723.000000
945.803705,0.322403,236285.000000,112469.000000
949.641615,0.308041,252581.000000,124268.000000
953.475395,0.300254,268843.000000,134662.000000
957.305045,0.290901,284409.000000,145560.000000
961.130565,0.286237,300415.000000,155412.000000
964.951954,0.283263,315812.000000,164500.000000
968.769213,0.282486,331706.000000,173088.000000
972.582341,0.282415,347597.000000,181410.000000
976.391340,0.282258,362603.000000,189310.000000
981.463579,0.281456,381663.000000,199629.000000
985.262940,0.281484,394207.000000,206177.000000
989.058170,0.281028,405268.000000,212185.000000
992.849270,0.280548,414919.000000,217478.000000
996.636240,0.279662,422744.000000,222032.000000
1000.419080,0.279253,429985.000000,226048.000000
1004.197789,0.276627,435731.000000,230458.000000
1007.972367,0.275782,439787.000000,233056.000000
1011.742816,0.274978,442999.000000,235193.000000
1016.763656,0.273032,446147.000000,237928.000000
1020.524467,0.272360,447570.000000,239057.000000
1024.281147,0.270531,448137.000000,240370.000000
1028.033698,0.269421,447447.000000,240614.000000
1031.782118,0.268986,447066.000000,240650.000000
1035.526408,0.267909,446139.000000,240747.000000
1039.266567,0.267884,445335.000000,240327.000000
1043.002596,0.265806,443993.000000,240752.000000
1046.734495,0.265640,441985.000000,239755.000000
1050.462263,0.264676,439703.000000,239047.000000
1055.426196,0.265426,438747.000000,238116.000000
1059.144327,0.264807,437920.000000,238006.000000
1062.858328,0.265542,436828.000000,237011.000000
1066.568198,0.266426,436218.000000,236199.000000
1070.273938,0.266967,437019.000000,236338.000000
1073.975548,0.266880,437923.000000,236874.000000
1077.673027,0.267006,438436.000000,237083.000000
1081.366376,0.268262,439593.000000,237022.000000
1085.055595,0.267571,441201.000000,238268.000000
1089.968128,0.267843,442941.000000,239058.000000
