Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:27:25,,
Header Version:,1,,
System Temp hundredths:,3515,,
Detector Temp hundredths:,3634,,
Humidity hundredths:,3809,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.516798,64701.000000,19684.000000
905.903443,0.446942,80807.000000,28874.000000
909.784033,0.398756,90252.000000,36033.000000
913.660493,0.368588,98832.000000,42297.000000
917.532823,0.359670,108214.000000,47273.000000
921.401023,0.363797,120081.000000,51961.000000
925.265092,0.373205,134618.000000,57003.000000
929.125031,0.377354,152080.000000,63785.000000
932.980840,0.380619,171754.000000,71497.000000
936.832518,0.377918,192235.000000,80522.000000
941.961664,0.362627,218303.000000,94718.000000
945.803705,0.348016,236285.000000,106028.000000
949.641615,0.337838,252581.000000,116028.000000
953.475395,0.327879,268843.000000,126363.000000
957.305045,0.320500,284409.000000,135970.000000
961.130565,0.315133,300415.000000,145408.000000
964.951954,0.311961,315812.000000,153981.000000
968.769213,0.310392,331706.000000,162316.000000
972.582341,0.308746,347597.000000,170738.000000
976.391340,0.307241,362603.000000,178727.000000
981.463579,0.307282,381663.000000,188104.000000
985.262940,0.307345,394207.000000,194258.000000
989.058170,0.306634,405268.000000,200036.000000
992.849270,0.306214,414919.000000,204998.000000
996.636240,0.304440,422744.000000,209719.000000
1000.419080,0.302553,429985.000000,214240.000000
1004.197789,0.300985,435731.000000,217888.000000
1007.972367,0.299371,439787.000000,220735.000000
1011.742816,0.298431,442999.000000,222829.000000
1016.763656,0.296295,446147.000000,225519.000000
1020.524467,0.294929,447570.000000,226951.000000
1024.281147,0.294134,448137.000000,227655.000000
1028.033698,0.292847,447447.000000,227979.000000
1031.782118,0.292801,447066.000000,227809.000000
1035.526408,0.291379,446139.000000,228082.000000
1039.266567,0.290033,445335.000000,228378.000000
1043.002596,0.288720,443993.000000,228379.000000
1046.734495,0.287738,441985.000000,227861.000000
1050.462263,0.287593,439703.000000,226760.000000
1055.426196,0.287843,438747.000000,226137.000000
1059.144327,0.288266,437920.000000,225491.000000
1062.858328,0.289092,436828.000000,224501.000000
1066.568198,0.288576,436218.000000,224454.000000
1070.273938,0.289110,437019.000000,224590.000000
1073.975548,0.289171,437923.000000,225023.000000
1077.673027,0.290160,438436.000000,224774.000000
1081.366376,0.290066,439593.000000,225416.000000
1085.055595,0.290169,441201.000000,226187.000000
1089.968128,0.290035,442941.000000,227149.000000
1093.647709,0.289823,445537.000000,228592.000000
1097.323160,0.290142,448116.000000,229746.000000
1100.994481,0.289722,449422.000000,230639.000000
1104.661671,0.289468,451109.000000,231640.000000
1108.324731,0.289590,453992.000000,233055.000000
1111.983661,0.289985,457203.000000,234490.000000
1115.638460,0.288601,459746.000000,236547.000000
1119.289129,0.288709,461686.000000,237486.000000
1124.150263,0.288395,463762.000000,238726.000000
1127.791294,0.288104,465594.000000,239830.000000
1131.428195,0.288317,467340.000000,240611.000000
1135.060966,0.289411,468769.000000,240740.000000
1138.689607,0.291949,470277.000000,240107.000000
1142.314117,0.294513,471885.000000,239510.000000
1145.934497,0.297351,474025.000000,239029.000000
1149.550746,0.300329,475849.000000,238309.000000
