Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:31:27,,
Header Version:,1,,
System Temp hundredths:,3535,,
Detector Temp hundredths:,3617,,
Humidity hundredths:,3747,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.600459,64701.000000,16235.000000
905.903443,0.526406,80807.000000,24046.000000
909.784033,0.481211,90252.000000,29802.000000
913.660493,0.448948,98832.000000,35152.000000
917.532823,0.441208,108214.000000,39181.000000
921.401023,0.444725,120081.000000,43127.000000
925.265092,0.453921,134618.000000,47335.000000
929.125031,0.462476,152080.000000,52432.000000
932.980840,0.465966,171754.000000,58741.000000
936.832518,0.463388,192235.000000,66137.000000
941.961664,0.449534,218303.000000,77540.000000
945.803705,0.436736,236285.000000,86437.000000
949.641615,0.425574,252581.000000,94804.000000
953.475395,0.414378,268843.000000,103543.000000
957.305045,0.407062,284409.000000,111399.000000
961.130565,0.402135,300415.000000,119011.000000
964.951954,0.399707,315812.000000,125812.000000
968.769213,0.400104,331706.000000,132023.000000
972.582341,0.399379,347597.000000,138579.000000
976.391340,0.400728,362603.000000,144113.000000
981.463579,0.400663,381663.000000,151711.000000
985.262940,0.401343,394207.000000,156452.000000
989.058170,0.401281,405268.000000,160865.000000
992.849270,0.400803,414919.000000,164877.000000
996.636240,0.400965,422744.000000,167924.000000
1000.419080,0.399795,429985.000000,171261.000000
1004.197789,0.399681,435731.000000,173595.000000
1007.972367,0.397537,439787.000000,176078.000000
1011.742816,0.395697,442999.000000,178117.000000
1016.763656,0.395370,446147.000000,179518.000000
1020.524467,0.394543,447570.000000,180434.000000
1024.281147,0.392924,448137.000000,181337.000000
1028.033698,0.391664,447447.000000,181584.000000
1031.782118,0.391722,447066.000000,181405.000000
1035.526408,0.389731,446139.000000,181861.000000
1039.266567,0.390064,445335.000000,181394.000000
1043.002596,0.389474,443993.000000,181093.000000
1046.734495,0.388582,441985.000000,180645.000000
1050.462263,0.388885,439703.000000,179587.000000
1055.426196,0.388687,438747.000000,179278.000000
1059.144327,0.388013,437920.000000,179218.000000
1062.858328,0.388935,436828.000000,178392.000000
1066.568198,0.389271,436218.000000,178005.000000
1070.273938,0.390175,437019.000000,177961.000000
1073.975548,0.390339,437923.000000,178262.000000
1077.673027,0.390081,438436.000000,178577.000000
1081.366376,0.389366,439593.000000,179343.000000
1085.055595,0.390277,441201.000000,179622.000000
1089.968128,0.390654,442941.000000,180174.000000
1093.647709,0.391500,445537.000000,180877.000000
1097.323160,0.390709,448116.000000,182256.000000
1100.994481,0.390673,449422.000000,182802.000000
1104.661671,0.390222,451109.000000,183679.000000
1108.324731,0.390055,453992.000000,184924.000000
1111.983661,0.389074,457203.000000,186653.000000
1115.638460,0.388390,459746.000000,187987.000000
1119.289129,0.390832,461686.000000,187722.000000
1124.150263,0.389422,463762.000000,189179.000000
1127.791294,0.388717,465594.000000,190235.000000
1131.428195,0.390290,467340.000000,190258.000000
1135.060966,0.391792,468769.000000,190181.000000
1138.689607,0.392108,470277.000000,190654.000000
1142.314117,0.395037,471885.000000,190020.000000
1145.934497,0.398410,474025.000000,189405.000000
1149.550746,0.402356,475849.000000,188414.000000
1153.162866,0.408624,477793.000000,186473.000000
1156.770855,0.412810,479500.000000,185344.000000
1161.575081,0.420765,482364.000000,183067.000000
1165.173433,0.427088,485131.000000,181456.000000
1168.767654,0.434075,488511.000000,179804.000000
1172.357745,0.441056,491250.000000,177929.000000
1175.943705,0.448109,494537.000000,176234.000000
1179.525536,0.452724,498615.000000,175809.000000
1183.103235,0.460548,504468.000000,174697.000000
1186.676805,0.468047,510422.000000,173733.000000
1190.246244,0.477503,516637.000000,172061.000000
1194.999071,0.487982,526142.000000,171049.000000
1198.558873,0.495763,533671.000000,170416.000000
1202.114544,0.502005,540939.000000,170272.000000
1205.666086,0.508105,548916.000000,170373.000000
1209.213496,0.513193,558110.000000,171209.000000
1212.756777,0.517577,566953.000000,172175.000000
1216.295927,0.518418,575650.000000,174478.000000
1219.830947,0.515737,584869.000000,178370.000000
1223.361836,0.511711,595021.000000,183156.000000
1226.888595,0.504079,604954.000000,189515.000000
1231.584516,0.491959,617050.000000,198775.000000
1235.101637,0.483179,626559.000000,205960.000000
1238.614629,0.475412,636932.000000,213148.000000
1242.123490,0.468758,647247.000000,219944.000000
1245.628220,0.462827,655372.000000,225767.000000
1249.128821,0.459173,664642.000000,230895.000000
1252.625291,0.454942,674555.000000,236633.000000
1256.117630,0.452494,684692.000000,241547.000000
1259.605840,0.449611,692978.000000,246098.000000
1264.250361,0.448067,706063.000000,251638.000000
1267.728933,0.446996,716021.000000,255817.000000
1271.203374,0.446148,725552.000000,259729.000000
1274.673686,0.443914,734127.000000,264154.000000
1278.139867,0.442533,742906.000000,268164.000000
1281.601917,0.441283,750480.000000,271679.000000
1285.059838,0.439439,757621.000000,275431.000000
1288.513627,0.438591,764167.000000,278354.000000
1291.963287,0.436368,771928.000000,282624.000000
1296.556408,0.434247,779372.000000,286746.000000
1299.996431,0.432691,783046.000000,289132.000000
