Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:33:18,,
Header Version:,1,,
System Temp hundredths:,3751,,
Detector Temp hundredths:,3639,,
Humidity hundredths:,3345,,
Lamp PD:,3762,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.521657,64701.000000,19465.000000
905.903443,0.457200,80807.000000,28200.000000
909.784033,0.412631,90252.000000,34900.000000
913.660493,0.386757,98832.000000,40564.000000
917.532823,0.378790,108214.000000,45237.000000
921.401023,0.377052,120081.000000,50399.000000
925.265092,0.387054,134618.000000,55214.000000
929.125031,0.391470,152080.000000,61745.000000
932.980840,0.396102,171754.000000,68993.000000
936.832518,0.389727,192235.000000,78362.000000
941.961664,0.376212,218303.000000,91801.000000
945.803705,0.359929,236285.000000,103159.000000
949.641615,0.346866,252581.000000,113641.000000
953.475395,0.336179,268843.000000,123971.000000
957.305045,0.327513,284409.000000,133792.000000
961.130565,0.322732,300415.000000,142886.000000
964.951954,0.318615,315812.000000,151640.000000
968.769213,0.316666,331706.000000,159988.000000
972.582341,0.314103,347597.000000,168645.000000
976.391340,0.314430,362603.000000,175793.000000
981.463579,0.313877,381663.000000,185269.000000
985.262940,0.314207,394207.000000,191213.000000
989.058170,0.313658,405268.000000,196827.000000
992.849270,0.313225,414919.000000,201715.000000
996.636240,0.311479,422744.000000,206347.000000
1000.419080,0.308975,429985.000000,211095.000000
1004.197789,0.308379,435731.000000,214210.000000
1007.972367,0.305869,439787.000000,217457.000000
1011.742816,0.305113,442999.000000,219427.000000
1016.763656,0.302783,446147.000000,222175.000000
1020.524467,0.301972,447570.000000,223300.000000
1024.281147,0.299529,448137.000000,224844.000000
1028.033698,0.299388,447447.000000,224571.000000
1031.782118,0.297823,447066.000000,225190.000000
1035.526408,0.296503,446139.000000,225407.000000
1039.266567,0.296097,445335.000000,225211.000000
1043.002596,0.294896,443993.000000,225154.000000
1046.734495,0.294871,441985.000000,224149.000000
1050.462263,0.294164,439703.000000,223355.000000
1055.426196,0.293991,438747.000000,222958.000000
1059.144327,0.293546,437920.000000,222766.000000
1062.858328,0.294741,436828.000000,221600.000000
1066.568198,0.293529,436218.000000,221909.000000
1070.273938,0.294367,437019.000000,221888.000000
1073.975548,0.295804,437923.000000,221612.000000
1077.673027,0.295741,438436.000000,221904.000000
1081.366376,0.296584,439593.000000,222058.000000
1085.055595,0.296429,441201.000000,222950.000000
1089.968128,0.296179,442941.000000,223958.000000
1093.647709,0.296248,445537.000000,225235.000000
1097.323160,0.296416,448116.000000,226451.000000
1100.994481,0.296334,449422.000000,227154.000000
1104.661671,0.296164,451109.000000,228096.000000
1108.324731,0.296046,453992.000000,229616.000000
1111.983661,0.295528,457203.000000,231516.000000
1115.638460,0.295658,459746.000000,232734.000000
1119.289129,0.295577,461686.000000,233760.000000
1124.150263,0.295155,463762.000000,235039.000000
1127.791294,0.296072,465594.000000,235470.000000
1131.428195,0.295791,467340.000000,236506.000000
1135.060966,0.296496,468769.000000,236844.000000
1138.689607,0.299284,470277.000000,236086.000000
1142.314117,0.301318,471885.000000,235786.000000
1145.934497,0.304523,474025.000000,235114.000000
1149.550746,0.308476,475849.000000,233880.000000
1153.162866,0.312733,477793.000000,232545.000000
1156.770855,0.318604,479500.000000,230242.000000
1161.575081,0.325829,482364.000000,227796.000000
1165.173433,0.332087,485131.000000,225825.000000
1168.767654,0.339513,488511.000000,223543.000000
1172.357745,0.345629,491250.000000,221653.000000
1175.943705,0.351648,494537.000000,220065.000000
1179.525536,0.357811,498615.000000,218753.000000
1183.103235,0.365117,504468.000000,217629.000000
1186.676805,0.373309,510422.000000,216083.000000
1190.246244,0.381527,516637.000000,214614.000000
1194.999071,0.392889,526142.000000,212919.000000
1198.558873,0.400747,533671.000000,212093.000000
1202.114544,0.407415,540939.000000,211706.000000
1205.666086,0.412797,548916.000000,212182.000000
1209.213496,0.417882,558110.000000,213225.000000
1212.756777,0.421901,566953.000000,214608.000000
1216.295927,0.423073,575650.000000,217313.000000
1219.830947,0.420997,584869.000000,221851.000000
1223.361836,0.415532,595021.000000,228560.000000
1226.888595,0.407273,604954.000000,236837.000000
1231.584516,0.395324,617050.000000,248311.000000
1235.101637,0.386391,626559.000000,257378.000000
1238.614629,0.378020,636932.000000,266731.000000
1242.123490,0.371900,647247.000000,274897.000000
1245.628220,0.364941,655372.000000,282844.000000
1249.128821,0.360579,664642.000000,289740.000000
1252.625291,0.356635,674555.000000,296744.000000
1256.117630,0.353525,684692.000000,303368.000000
1259.605840,0.351328,692978.000000,308597.000000
1264.250361,0.350022,706063.000000,315371.000000
1267.728933,0.348134,716021.000000,321212.000000
1271.203374,0.346743,725552.000000,326532.000000
1274.673686,0.344899,734127.000000,331797.000000
1278.139867,0.343833,742906.000000,336590.000000
1281.601917,0.341725,750480.000000,341676.000000
1285.059838,0.340313,757621.000000,346050.000000
1288.513627,0.339022,764167.000000,350079.000000
1291.963287,0.337582,771928.000000,354809.000000
1296.556408,0.335316,779372.000000,360105.000000
1299.996431,0.333908,783046.000000,362977.000000
1303.432322,0.332381,787236.000000,366205.000000
1306.864084,0.331470,792393.000000,369378.000000
1310.291715,0.330343,796376.000000,372199.000000
1313.715216,0.329207,798307.000000,374079.000000
1317.134587,0.329411,801175.000000,375246.000000
1320.549827,0.329755,804861.000000,376674.000000
1323.960937,0.329686,807833.000000,378125.000000
1327.367917,0.329966,809608.000000,378712.000000
1331.904131,0.331626,811327.000000,378068.000000
1335.301473,0.333583,812775.000000,377040.000000
1338.694685,0.335317,813544.000000,375893.000000
1342.083767,0.338294,812602.000000,372893.000000
1345.468718,0.341518,811826.000000,369781.000000
1348.849539,0.345624,811585.000000,366193.000000
1352.226229,0.350662,810158.000000,361333.000000
1355.598789,0.356663,807876.000000,355371.000000
1358.967219,0.362976,805252.000000,349105.000000
1363.452034,0.373041,804229.000000,340674.000000
1366.810826,0.380507,803029.000000,334368.000000
1370.165488,0.386563,801212.000000,328991.000000
1373.516020,0.393612,799981.000000,323197.000000
1376.862422,0.400111,798624.000000,317857.000000
1380.204693,0.405501,795747.000000,312805.000000
1383.542834,0.411928,792504.000000,306954.000000
1386.876844,0.418158,790222.000000,301711.000000
1390.206724,0.424839,788607.000000,296498.000000
1393.532474,0.432004,785518.000000,290504.000000
1397.960382,0.440973,779920.000000,282538.000000
1401.276494,0.447553,776342.000000,277013.000000
1404.588477,0.457346,773563.000000,269867.000000
1407.896328,0.468462,769684.000000,261728.000000
1411.200050,0.482669,765635.000000,251972.000000
1414.499641,0.500420,762767.000000,240975.000000
1417.795101,0.521405,760810.000000,229019.000000
1421.086432,0.544780,758503.000000,216360.000000
1424.373632,0.569091,755935.000000,203889.000000
1428.750140,0.604957,753840.000000,187207.000000
1432.027703,0.629682,752941.000000,176636.000000
