Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:35:20,,
Header Version:,1,,
System Temp hundredths:,3602,,
Detector Temp hundredths:,3710,,
Humidity hundredths:,3544,,
Lamp PD:,3763,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.761654,64701.000000,11201.000000
905.903443,0.687629,80807.000000,16589.000000
909.784033,0.649482,90252.000000,20229.000000
913.660493,0.614325,98832.000000,24020.000000
917.532823,0.610988,108214.000000,26503.000000
921.401023,0.610153,120081.000000,29466.000000
925.265092,0.622382,134618.000000,32116.000000
929.125031,0.628432,152080.000000,35780.000000
932.980840,0.636313,171754.000000,39682.000000
936.832518,0.627322,192235.000000,45343.000000
941.961664,0.614464,218303.000000,53039.000000
945.803705,0.599701,236285.000000,59393.000000
949.641615,0.587940,252581.000000,65232.000000
953.475395,0.575077,268843.000000,71519.000000
957.305045,0.566940,284409.000000,77091.000000
961.130565,0.561868,300415.000000,82386.000000
964.951954,0.557128,315812.000000,87559.000000
968.769213,0.555368,331706.000000,92339.000000
972.582341,0.554403,347597.000000,96978.000000
976.391340,0.554886,362603.000000,101052.000000
981.463579,0.552337,381663.000000,106990.000000
985.262940,0.554095,394207.000000,110060.000000
989.058170,0.554299,405268.000000,113095.000000
992.849270,0.553314,414919.000000,116051.000000
996.636240,0.552242,422744.000000,118532.000000
1000.419080,0.551444,429985.000000,120784.000000
1004.197789,0.550781,435731.000000,122585.000000
1007.972367,0.548310,439787.000000,124432.000000
1011.742816,0.546795,442999.000000,125779.000000
1016.763656,0.544564,446147.000000,127325.000000
1020.524467,0.543302,447570.000000,128103.000000
1024.281147,0.543401,448137.000000,128236.000000
1028.033698,0.540303,447447.000000,128955.000000
1031.782118,0.539718,447066.000000,129019.000000
1035.526408,0.539723,446139.000000,128750.000000
1039.266567,0.537636,445335.000000,129137.000000
1043.002596,0.535328,443993.000000,129434.000000
1046.734495,0.534798,441985.000000,129006.000000
1050.462263,0.535116,439703.000000,128246.000000
1055.426196,0.534458,438747.000000,128161.000000
1059.144327,0.534192,437920.000000,127998.000000
1062.858328,0.533341,436828.000000,127929.000000
1066.568198,0.533751,436218.000000,127630.000000
1070.273938,0.535130,437019.000000,127459.000000
1073.975548,0.533415,437923.000000,128228.000000
1077.673027,0.533592,438436.000000,128326.000000
1081.366376,0.533996,439593.000000,128545.000000
1085.055595,0.535210,441201.000000,128655.000000
1089.968128,0.533979,442941.000000,129529.000000
1093.647709,0.534750,445537.000000,130057.000000
1097.323160,0.533804,448116.000000,131095.000000
1100.994481,0.533422,449422.000000,131593.000000
1104.661671,0.533905,451109.000000,131940.000000
1108.324731,0.534737,453992.000000,132529.000000
1111.983661,0.532162,457203.000000,134260.000000
1115.638460,0.533137,459746.000000,134704.000000
1119.289129,0.534274,461686.000000,134919.000000
1124.150263,0.533619,463762.000000,135730.000000
1127.791294,0.535684,465594.000000,135620.000000
1131.428195,0.535960,467340.000000,136042.000000
1135.060966,0.537941,468769.000000,135837.000000
1138.689607,0.541091,470277.000000,135289.000000
1142.314117,0.543979,471885.000000,134852.000000
1145.934497,0.547237,474025.000000,134451.000000
1149.550746,0.552574,475849.000000,133320.000000
1153.162866,0.557526,477793.000000,132347.000000
1156.770855,0.564486,479500.000000,130708.000000
1161.575081,0.572943,482364.000000,128953.000000
1165.173433,0.581553,485131.000000,127147.000000
1168.767654,0.590449,488511.000000,125437.000000
1172.357745,0.597685,491250.000000,124056.000000
1175.943705,0.603373,494537.000000,123261.000000
1179.525536,0.610456,498615.000000,122267.000000
1183.103235,0.616065,504468.000000,122115.000000
1186.676805,0.628195,510422.000000,120153.000000
1190.246244,0.635157,516637.000000,119682.000000
1194.999071,0.648019,526142.000000,118327.000000
1198.558873,0.655145,533671.000000,118067.000000
1202.114544,0.661023,540939.000000,118066.000000
1205.666086,0.668604,548916.000000,117734.000000
1209.213496,0.672053,558110.000000,118759.000000
1212.756777,0.676794,566953.000000,119331.000000
1216.295927,0.678790,575650.000000,120606.000000
1219.830947,0.675110,584869.000000,123580.000000
1223.361836,0.669598,595021.000000,127331.000000
1226.888595,0.661491,604954.000000,131896.000000
1231.584516,0.649093,617050.000000,138429.000000
1235.101637,0.638051,626559.000000,144182.000000
1238.614629,0.629670,636932.000000,149425.000000
1242.123490,0.622502,647247.000000,154372.000000
1245.628220,0.615555,655372.000000,158830.000000
1249.128821,0.610174,664642.000000,163085.000000
1252.625291,0.605584,674555.000000,167276.000000
1256.117630,0.601948,684692.000000,171217.000000
1259.605840,0.599831,692978.000000,174136.000000
1264.250361,0.598243,706063.000000,178074.000000
1267.728933,0.595714,716021.000000,181640.000000
1271.203374,0.594557,725552.000000,184549.000000
1274.673686,0.591593,734127.000000,188009.000000
1278.139867,0.590294,742906.000000,190827.000000
1281.601917,0.589069,750480.000000,193317.000000
1285.059838,0.586629,757621.000000,196256.000000
1288.513627,0.584805,764167.000000,198785.000000
1291.963287,0.582966,771928.000000,201656.000000
1296.556408,0.580366,779372.000000,204823.000000
1299.996431,0.579846,783046.000000,206035.000000
1303.432322,0.577875,787236.000000,208080.000000
1306.864084,0.576248,792393.000000,210229.000000
1310.291715,0.576490,796376.000000,211168.000000
1313.715216,0.575240,798307.000000,212290.000000
1317.134587,0.575844,801175.000000,212757.000000
1320.549827,0.574648,804861.000000,214325.000000
1323.960937,0.574859,807833.000000,215012.000000
