Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:36:59,,
Header Version:,1,,
System Temp hundredths:,3536,,
Detector Temp hundredths:,3644,,
Humidity hundredths:,3693,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.926342,64701.000000,7666.000000
905.903443,0.829028,80807.000000,11979.000000
909.784033,0.797275,90252.000000,14394.000000
913.660493,0.762435,98832.000000,17079.000000
917.532823,0.749943,108214.000000,19246.000000
921.401023,0.745967,120081.000000,21553.000000
925.265092,0.761281,134618.000000,23325.000000
929.125031,0.767583,152080.000000,25971.000000
932.980840,0.778404,171754.000000,28609.000000
936.832518,0.776260,192235.000000,32179.000000
941.961664,0.761097,218303.000000,37841.000000
945.803705,0.744516,236285.000000,42552.000000
949.641615,0.729241,252581.000000,47115.000000
953.475395,0.719280,268843.000000,51312.000000
957.305045,0.710959,284409.000000,55333.000000
961.130565,0.704718,300415.000000,59293.000000
964.951954,0.702030,315812.000000,62719.000000
968.769213,0.701486,331706.000000,65958.000000
972.582341,0.700393,347597.000000,69292.000000
976.391340,0.705198,362603.000000,71488.000000
981.463579,0.707355,381663.000000,74873.000000
985.262940,0.709019,394207.000000,77038.000000
989.058170,0.708935,405268.000000,79215.000000
992.849270,0.711235,414919.000000,80673.000000
996.636240,0.713250,422744.000000,81814.000000
1000.419080,0.710386,429985.000000,83766.000000
1004.197789,0.710951,435731.000000,84775.000000
1007.972367,0.711276,439787.000000,85500.000000
1011.742816,0.708825,442999.000000,86612.000000
1016.763656,0.707004,446147.000000,87594.000000
1020.524467,0.705417,447570.000000,88195.000000
1024.281147,0.703869,448137.000000,88622.000000
1028.033698,0.702661,447447.000000,88732.000000
1031.782118,0.701470,447066.000000,88900.000000
1035.526408,0.702262,446139.000000,88554.000000
1039.266567,0.698463,445335.000000,89171.000000
1043.002596,0.697216,443993.000000,89158.000000
1046.734495,0.694707,441985.000000,89269.000000
1050.462263,0.694160,439703.000000,88920.000000
1055.426196,0.692722,438747.000000,89021.000000
1059.144327,0.691712,437920.000000,89060.000000
1062.858328,0.692676,436828.000000,88641.000000
1066.568198,0.687759,436218.000000,89525.000000
1070.273938,0.689187,437019.000000,89395.000000
1073.975548,0.688194,437923.000000,89785.000000
1077.673027,0.688374,438436.000000,89853.000000
1081.366376,0.687815,439593.000000,90206.000000
1085.055595,0.687422,441201.000000,90618.000000
1089.968128,0.687892,442941.000000,90877.000000
1093.647709,0.687406,445537.000000,91512.000000
1097.323160,0.686419,448116.000000,92251.000000
1100.994481,0.682903,449422.000000,93272.000000
1104.661671,0.683563,451109.000000,93480.000000
1108.324731,0.681446,453992.000000,94537.000000
1111.983661,0.682084,457203.000000,95066.000000
1115.638460,0.683648,459746.000000,95251.000000
1119.289129,0.682664,461686.000000,95870.000000
1124.150263,0.680393,463762.000000,96806.000000
1127.791294,0.683854,465594.000000,96417.000000
1131.428195,0.685164,467340.000000,96487.000000
1135.060966,0.685820,468769.000000,96636.000000
1138.689607,0.690907,470277.000000,95818.000000
1142.314117,0.695966,471885.000000,95032.000000
1145.934497,0.700783,474025.000000,94410.000000
1149.550746,0.709206,475849.000000,92953.000000
1153.162866,0.718441,477793.000000,91369.000000
1156.770855,0.729874,479500.000000,89313.000000
1161.575081,0.742614,482364.000000,87249.000000
1165.173433,0.754010,485131.000000,85477.000000
1168.767654,0.765097,488511.000000,83903.000000
1172.357745,0.776711,491250.000000,82147.000000
1175.943705,0.785585,494537.000000,81024.000000
1179.525536,0.798832,498615.000000,79238.000000
1183.103235,0.809061,504468.000000,78302.000000
1186.676805,0.819902,510422.000000,77273.000000
1190.246244,0.830104,516637.000000,76398.000000
1194.999071,0.848440,526142.000000,74587.000000
1198.558873,0.858635,533671.000000,73899.000000
1202.114544,0.867571,540939.000000,73380.000000
1205.666086,0.876088,548916.000000,73016.000000
1209.213496,0.882488,558110.000000,73153.000000
1212.756777,0.885279,566953.000000,73836.000000
1216.295927,0.887950,575650.000000,74509.000000
1219.830947,0.886416,584869.000000,75970.000000
1223.361836,0.878359,595021.000000,78736.000000
1226.888595,0.867538,604954.000000,82070.000000
1231.584516,0.850128,617050.000000,87135.000000
1235.101637,0.836448,626559.000000,91309.000000
1238.614629,0.823844,636932.000000,95554.000000
1242.123490,0.813920,647247.000000,99346.000000
1245.628220,0.805548,655372.000000,102551.000000
1249.128821,0.798139,664642.000000,105791.000000
1252.625291,0.793580,674555.000000,108502.000000
1256.117630,0.787742,684692.000000,111623.000000
1259.605840,0.784062,692978.000000,113935.000000
1264.250361,0.781702,706063.000000,116719.000000
1267.728933,0.778573,716021.000000,119221.000000
1271.203374,0.776060,725552.000000,121509.000000
1274.673686,0.774361,734127.000000,123427.000000
1278.139867,0.772207,742906.000000,125524.000000
