Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:48:7,,
Header Version:,1,,
System Temp hundredths:,3550,,
Detector Temp hundredths:,3609,,
Humidity hundredths:,3678,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.793043,64701.000000,10420.000000
905.903443,0.727294,80807.000000,15141.000000
909.784033,0.669562,90252.000000,19315.000000
913.660493,0.653602,98832.000000,21943.000000
917.532823,0.645916,108214.000000,24455.000000
921.401023,0.649173,120081.000000,26934.000000
925.265092,0.654275,134618.000000,29842.000000
929.125031,0.671675,152080.000000,32389.000000
932.980840,0.675407,171754.000000,36266.000000
936.832518,0.670879,192235.000000,41016.000000
941.961664,0.657565,218303.000000,48028.000000
945.803705,0.643842,236285.000000,53653.000000
949.641615,0.635416,252581.000000,58477.000000
953.475395,0.625277,268843.000000,63712.000000
957.305045,0.617860,284409.000000,68562.000000
961.130565,0.613977,300415.000000,73071.000000
964.951954,0.611350,315812.000000,77282.000000
968.769213,0.609425,331706.000000,81532.000000
972.582341,0.611126,347597.000000,85104.000000
976.391340,0.610085,362603.000000,88991.000000
981.463579,0.611338,381663.000000,93399.000000
985.262940,0.612066,394207.000000,96307.000000
989.058170,0.610942,405268.000000,99266.000000
992.849270,0.611668,414919.000000,101460.000000
996.636240,0.609629,422744.000000,103860.000000
1000.419080,0.610061,429985.000000,105534.000000
1004.197789,0.609311,435731.000000,107129.000000
1007.972367,0.606993,439787.000000,108705.000000
1011.742816,0.605377,442999.000000,109907.000000
1016.763656,0.604997,446147.000000,110785.000000
1020.524467,0.601728,447570.000000,111978.000000
1024.281147,0.601627,448137.000000,112146.000000
1028.033698,0.600606,447447.000000,112237.000000
1031.782118,0.599934,447066.000000,112315.000000
1035.526408,0.599872,446139.000000,112098.000000
1039.266567,0.598029,445335.000000,112372.000000
1043.002596,0.596919,443993.000000,112320.000000
1046.734495,0.595790,441985.000000,112103.000000
1050.462263,0.596107,439703.000000,111443.000000
1055.426196,0.596797,438747.000000,111024.000000
1059.144327,0.594673,437920.000000,111358.000000
1062.858328,0.594417,436828.000000,111146.000000
1066.568198,0.596039,436218.000000,110577.000000
1070.273938,0.595725,437019.000000,110860.000000
1073.975548,0.598157,437923.000000,110469.000000
1077.673027,0.596094,438436.000000,111125.000000
1081.366376,0.597223,439593.000000,111129.000000
1085.055595,0.595217,441201.000000,112052.000000
1089.968128,0.597489,442941.000000,111907.000000
1093.647709,0.596933,445537.000000,112707.000000
1097.323160,0.597122,448116.000000,113310.000000
1100.994481,0.597475,449422.000000,113548.000000
1104.661671,0.596433,451109.000000,114248.000000
1108.324731,0.596721,453992.000000,114902.000000
1111.983661,0.595116,457203.000000,116143.000000
1115.638460,0.593501,459746.000000,117224.000000
1119.289129,0.596811,461686.000000,116825.000000
1124.150263,0.595393,463762.000000,117734.000000
1127.791294,0.595596,465594.000000,118144.000000
1131.428195,0.594849,467340.000000,118791.000000
1135.060966,0.597039,468769.000000,118555.000000
1138.689607,0.597958,470277.000000,118685.000000
1142.314117,0.600697,471885.000000,118342.000000
1145.934497,0.603448,474025.000000,118128.000000
1149.550746,0.607040,475849.000000,117606.000000
1153.162866,0.611972,477793.000000,116753.000000
1156.770855,0.617789,479500.000000,115611.000000
1161.575081,0.624626,482364.000000,114485.000000
1165.173433,0.630167,485131.000000,113682.000000
1168.767654,0.634924,488511.000000,113227.000000
1172.357745,0.643028,491250.000000,111757.000000
1175.943705,0.649636,494537.000000,110806.000000
1179.525536,0.655631,498615.000000,110188.000000
1183.103235,0.660802,504468.000000,110162.000000
1186.676805,0.670359,510422.000000,109036.000000
1190.246244,0.676505,516637.000000,108813.000000
1194.999071,0.686992,526142.000000,108171.000000
1198.558873,0.694848,533671.000000,107752.000000
1202.114544,0.700763,540939.000000,107742.000000
1205.666086,0.706927,548916.000000,107790.000000
1209.213496,0.710506,558110.000000,108696.000000
1212.756777,0.714768,566953.000000,109340.000000
1216.295927,0.715501,575650.000000,110830.000000
1219.830947,0.714549,584869.000000,112852.000000
1223.361836,0.712056,595021.000000,115472.000000
1226.888595,0.705242,604954.000000,119256.000000
1231.584516,0.694576,617050.000000,124665.000000
1235.101637,0.687046,626559.000000,128800.000000
1238.614629,0.678794,636932.000000,133444.000000
1242.123490,0.673713,647247.000000,137201.000000
1245.628220,0.668555,655372.000000,140583.000000
1249.128821,0.665328,664642.000000,143635.000000
1252.625291,0.660308,674555.000000,147472.000000
1256.117630,0.658120,684692.000000,150444.000000
1259.605840,0.657111,692978.000000,152619.000000
1264.250361,0.655797,706063.000000,155972.000000
1267.728933,0.655253,716021.000000,158370.000000
1271.203374,0.652924,725552.000000,161341.000000
1274.673686,0.653027,734127.000000,163209.000000
1278.139867,0.651093,742906.000000,165898.000000
1281.601917,0.649802,750480.000000,168088.000000
1285.059838,0.647784,757621.000000,170478.000000
1288.513627,0.647809,764167.000000,171941.000000
1291.963287,0.646252,771928.000000,174311.000000
1296.556408,0.644766,779372.000000,176595.000000
1299.996431,0.643750,783046.000000,177843.000000
1303.432322,0.643769,787236.000000,178787.000000
1306.864084,0.640986,792393.000000,181115.000000
1310.291715,0.640648,796376.000000,182167.000000
1313.715216,0.640400,798307.000000,182713.000000
1317.134587,0.638626,801175.000000,184120.000000
1320.549827,0.639614,804861.000000,184547.000000
1323.960937,0.640683,807833.000000,184773.000000
1327.367917,0.641455,809608.000000,184850.000000
1331.904131,0.642898,811327.000000,184628.000000
1335.301473,0.644652,812775.000000,184212.000000
1338.694685,0.647062,813544.000000,183366.000000
1342.083767,0.649260,812602.000000,182229.000000
1345.468718,0.651777,811826.000000,181003.000000
1348.849539,0.656833,811585.000000,178855.000000
1352.226229,0.661183,810158.000000,176761.000000
1355.598789,0.665726,807876.000000,174429.000000
1358.967219,0.672334,805252.000000,171237.000000
1363.452034,0.681059,804229.000000,167618.000000
1366.810826,0.688169,803029.000000,164650.000000
1370.165488,0.694619,801212.000000,161856.000000
1373.516020,0.700954,799981.000000,159267.000000
1376.862422,0.705912,798624.000000,157192.000000
1380.204693,0.710595,795747.000000,154946.000000
1383.542834,0.717375,792504.000000,151924.000000
1386.876844,0.724071,790222.000000,149169.000000
1390.206724,0.730824,788607.000000,146567.000000
1393.532474,0.735631,785518.000000,144386.000000
1397.960382,0.743136,779920.000000,140901.000000
1401.276494,0.750438,776342.000000,137916.000000
1404.588477,0.759525,773563.000000,134577.000000
1407.896328,0.769778,769684.000000,130778.000000
1411.200050,0.781633,765635.000000,126587.000000
1414.499641,0.796356,762767.000000,121909.000000
1417.795101,0.813740,760810.000000,116825.000000
1421.086432,0.832153,758503.000000,111636.000000
1424.373632,0.851274,755935.000000,106466.000000
1428.750140,0.883327,753840.000000,98617.000000
1432.027703,0.904262,752941.000000,93864.000000
1435.301135,0.926316,751451.000000,89040.000000
1438.570437,0.942549,750582.000000,85674.000000
1441.835609,0.960425,749740.000000,82127.000000
1445.096650,0.975818,748245.000000,79109.000000
1448.353561,0.984086,747231.000000,77512.000000
1451.606342,0.990332,746115.000000,76291.000000
1454.854992,0.993477,743794.000000,75505.000000
1459.180101,0.996935,741747.000000,74700.000000
1462.419114,0.999396,739561.000000,74059.000000
1465.653997,1.001453,736862.000000,73440.000000
1468.884749,1.003390,734038.000000,72833.000000
1472.111371,1.003134,730885.000000,72563.000000
1475.333862,1.005082,727271.000000,71881.000000
1478.552224,1.006417,723938.000000,71332.000000
1481.766455,1.006383,721040.000000,71052.000000
1484.976555,1.004944,717684.000000,70956.000000
1488.182525,1.003342,713601.000000,70813.000000
1492.450728,1.001911,708541.000000,70543.000000
1495.647060,0.999940,704632.000000,70473.000000
1498.839263,0.997381,700712.000000,70495.000000
1502.027335,0.995986,695967.000000,70243.000000
1505.211277,0.992293,691038.000000,70341.000000
1508.391088,0.993062,686052.000000,69710.000000
1511.566770,0.988219,680877.000000,69960.000000
1514.738321,0.987537,675427.000000,69509.000000
1517.905741,0.984551,670152.000000,69442.000000
1522.122544,0.982633,662097.000000,68911.000000
1525.280327,0.979544,656403.000000,68806.000000
1528.433979,0.974611,650810.000000,68999.000000
1531.583502,0.971240,644842.000000,68899.000000
1534.728894,0.969682,638224.000000,68437.000000
1537.870156,0.971334,631155.000000,67422.000000
1541.007287,0.967504,625001.000000,67356.000000
1544.140289,0.964787,618097.000000,67030.000000
1547.269159,0.963364,610689.000000,66444.000000
1550.393900,0.963579,602954.000000,65570.000000
1554.553796,0.959775,592300.000000,64978.000000
1557.668899,0.958622,584592.000000,64303.000000
1560.779871,0.956963,576368.000000,63641.000000
1563.886714,0.957953,568025.000000,62577.000000
1566.989426,0.957844,559352.000000,61637.000000
1570.088008,0.955587,550305.000000,60956.000000
1573.182459,0.956896,541598.000000,59811.000000
1576.272780,0.954410,532727.000000,59169.000000
1579.358971,0.954235,523890.000000,58211.000000
1583.467467,0.952878,510646.000000,56917.000000
1586.544020,0.951097,501212.000000,56095.000000
1589.616443,0.949178,492392.000000,55352.000000
1592.684736,0.945603,482586.000000,54698.000000
1595.748898,0.940258,472996.000000,54275.000000
1598.808930,0.936315,462978.000000,53610.000000
1601.864832,0.931205,453381.000000,53120.000000
1604.916603,0.929014,443779.000000,52258.000000
1607.964244,0.918818,433789.000000,52295.000000
1612.021341,0.912687,420216.000000,51379.000000
1615.059344,0.911583,409971.000000,50254.000000
1618.093218,0.904261,400631.000000,49944.000000
1621.122961,0.897549,390490.000000,49438.000000
1624.148573,0.890766,380379.000000,48916.000000
1627.170055,0.892919,370204.000000,47372.000000
1630.187407,0.884791,360433.000000,46993.000000
1633.200629,0.880443,350418.000000,46147.000000
1636.209720,0.876258,340597.000000,45288.000000
1639.214681,0.870197,330782.000000,44601.000000
1643.214871,0.864368,317788.000000,43428.000000
1646.210195,0.862015,307687.000000,42276.000000
1649.201388,0.855807,297078.000000,41406.000000
1652.188451,0.847640,287199.000000,40789.000000
1655.171383,0.844388,276866.000000,39617.000000
1658.150185,0.837381,265166.000000,38560.000000
1661.124857,0.829268,252362.000000,37390.000000
1664.095399,0.823465,238503.000000,35812.000000
1667.061810,0.815945,222332.000000,33967.000000
1671.010600,0.792323,197141.000000,31802.000000
1673.967374,0.772876,175847.000000,29666.000000
1676.920017,0.747696,154167.000000,27561.000000
1679.868531,0.725527,132946.000000,25012.000000
1682.812913,0.711848,113053.000000,21950.000000
1685.753166,0.697014,95698.000000,19226.000000
1688.689288,0.679591,80645.000000,16865.000000
1691.621280,0.685181,68011.000000,14041.000000
1694.549141,0.712752,57785.000000,11196.000000
1697.472873,0.715339,49231.000000,9482.000000
1701.364756,0.731073,40194.000000,7466.000000
