Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:46:52,,
Header Version:,1,,
System Temp hundredths:,3522,,
Detector Temp hundredths:,3627,,
Humidity hundredths:,3780,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.864803,64701.000000,8833.000000
905.903443,0.774421,80807.000000,13584.000000
909.784033,0.727082,90252.000000,16919.000000
913.660493,0.686995,98832.000000,20319.000000
917.532823,0.682062,108214.000000,22502.000000
921.401023,0.686707,120081.000000,24704.000000
925.265092,0.694215,134618.000000,27220.000000
929.125031,0.701404,152080.000000,30246.000000
932.980840,0.710822,171754.000000,33426.000000
936.832518,0.712531,192235.000000,37265.000000
941.961664,0.699314,218303.000000,43626.000000
945.803705,0.684429,236285.000000,48866.000000
949.641615,0.670933,252581.000000,53885.000000
953.475395,0.661379,268843.000000,58630.000000
957.305045,0.656371,284409.000000,62744.000000
961.130565,0.651426,300415.000000,67034.000000
964.951954,0.647987,315812.000000,71030.000000
968.769213,0.651398,331706.000000,74021.000000
972.582341,0.650376,347597.000000,77750.000000
976.391340,0.649528,362603.000000,81265.000000
981.463579,0.651455,381663.000000,85158.000000
985.262940,0.652507,394207.000000,87744.000000
989.058170,0.652748,405268.000000,90156.000000
992.849270,0.651582,414919.000000,92551.000000
996.636240,0.653019,422744.000000,93985.000000
1000.419080,0.650631,429985.000000,96122.000000
1004.197789,0.649542,435731.000000,97651.000000
1007.972367,0.646298,439787.000000,99299.000000
1011.742816,0.645197,442999.000000,100278.000000
1016.763656,0.645023,446147.000000,101031.000000
1020.524467,0.642180,447570.000000,102019.000000
1024.281147,0.642423,448137.000000,102091.000000
1028.033698,0.641635,447447.000000,102119.000000
1031.782118,0.637201,447066.000000,103079.000000
1035.526408,0.638340,446139.000000,102596.000000
1039.266567,0.636428,445335.000000,102863.000000
1043.002596,0.635696,443993.000000,102726.000000
1046.734495,0.633148,441985.000000,102863.000000
1050.462263,0.633539,439703.000000,102240.000000
