Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:51:14,,
Header Version:,1,,
System Temp hundredths:,3542,,
Detector Temp hundredths:,3608,,
Humidity hundredths:,3698,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.532180,64701.000000,18999.000000
905.903443,0.459408,80807.000000,28057.000000
909.784033,0.407854,90252.000000,35286.000000
913.660493,0.378548,98832.000000,41338.000000
917.532823,0.368627,108214.000000,46308.000000
921.401023,0.374981,120081.000000,50640.000000
925.265092,0.379978,134618.000000,56121.000000
929.125031,0.385317,152080.000000,62626.000000
932.980840,0.385973,171754.000000,70621.000000
936.832518,0.381617,192235.000000,79839.000000
941.961664,0.366588,218303.000000,93858.000000
945.803705,0.354116,236285.000000,104549.000000
949.641615,0.341306,252581.000000,115105.000000
953.475395,0.330779,268843.000000,125522.000000
957.305045,0.323111,284409.000000,135155.000000
961.130565,0.315752,300415.000000,145201.000000
964.951954,0.312416,315812.000000,153820.000000
968.769213,0.309900,331706.000000,162500.000000
972.582341,0.308204,347597.000000,170951.000000
976.391340,0.307455,362603.000000,178639.000000
981.463579,0.308170,381663.000000,187720.000000
985.262940,0.307457,394207.000000,194208.000000
989.058170,0.306495,405268.000000,200100.000000
992.849270,0.305099,414919.000000,205525.000000
996.636240,0.303893,422744.000000,209983.000000
1000.419080,0.302198,429985.000000,214415.000000
1004.197789,0.300903,435731.000000,217929.000000
1007.972367,0.298532,439787.000000,221162.000000
1011.742816,0.297444,442999.000000,223336.000000
1016.763656,0.294857,446147.000000,226267.000000
1020.524467,0.293977,447570.000000,227449.000000
1024.281147,0.292502,448137.000000,228512.000000
1028.033698,0.290665,447447.000000,229127.000000
1031.782118,0.290129,447066.000000,229215.000000
1035.526408,0.289513,446139.000000,229064.000000
1039.266567,0.288789,445335.000000,229033.000000
1043.002596,0.287770,443993.000000,228879.000000
1046.734495,0.286077,441985.000000,228734.000000
1050.462263,0.285663,439703.000000,227770.000000
1055.426196,0.285668,438747.000000,227272.000000
1059.144327,0.285057,437920.000000,227163.000000
1062.858328,0.285818,436828.000000,226200.000000
1066.568198,0.285299,436218.000000,226154.000000
1070.273938,0.285919,437019.000000,226246.000000
1073.975548,0.286571,437923.000000,226374.000000
1077.673027,0.286081,438436.000000,226895.000000
1081.366376,0.286272,439593.000000,227394.000000
1085.055595,0.286053,441201.000000,228341.000000
1089.968128,0.286886,442941.000000,228802.000000
1093.647709,0.286769,445537.000000,230205.000000
1097.323160,0.287035,448116.000000,231396.000000
1100.994481,0.286439,449422.000000,232389.000000
1104.661671,0.285712,451109.000000,233652.000000
1108.324731,0.285531,453992.000000,235243.000000
1111.983661,0.285573,457203.000000,236884.000000
1115.638460,0.285039,459746.000000,238495.000000
1119.289129,0.284702,461686.000000,239687.000000
1124.150263,0.284545,463762.000000,240852.000000
1127.791294,0.284454,465594.000000,241854.000000
1131.428195,0.284907,467340.000000,242508.000000
1135.060966,0.285866,468769.000000,242713.000000
1138.689607,0.288085,470277.000000,242253.000000
1142.314117,0.290716,471885.000000,241613.000000
1145.934497,0.293703,474025.000000,241045.000000
1149.550746,0.296985,475849.000000,240151.000000
1153.162866,0.301777,477793.000000,238486.000000
1156.770855,0.306974,479500.000000,236491.000000
1161.575081,0.314811,482364.000000,233649.000000
1165.173433,0.319726,485131.000000,232345.000000
1168.767654,0.325957,488511.000000,230631.000000
1172.357745,0.333680,491250.000000,227836.000000
1175.943705,0.339052,494537.000000,226541.000000
1179.525536,0.344365,498615.000000,225632.000000
1183.103235,0.350952,504468.000000,224844.000000
1186.676805,0.357699,510422.000000,223991.000000
1190.246244,0.366381,516637.000000,222231.000000
1194.999071,0.377187,526142.000000,220758.000000
1198.558873,0.383898,533671.000000,220483.000000
1202.114544,0.390747,540939.000000,219989.000000
1205.666086,0.395849,548916.000000,220626.000000
1209.213496,0.401456,558110.000000,221444.000000
1212.756777,0.404363,566953.000000,223452.000000
1216.295927,0.406012,575650.000000,226020.000000
1219.830947,0.404032,584869.000000,230689.000000
1223.361836,0.398653,595021.000000,237618.000000
1226.888595,0.392718,604954.000000,244909.000000
1231.584516,0.379482,617050.000000,257536.000000
1235.101637,0.371276,626559.000000,266493.000000
1238.614629,0.363472,636932.000000,275817.000000
1242.123490,0.356669,647247.000000,284709.000000
1245.628220,0.350854,655372.000000,292169.000000
1249.128821,0.346535,664642.000000,299263.000000
1252.625291,0.342843,674555.000000,306319.000000
1256.117630,0.339868,684692.000000,313060.000000
1259.605840,0.337714,692978.000000,318424.000000
1264.250361,0.335651,706063.000000,325981.000000
1267.728933,0.334558,716021.000000,331412.000000
1271.203374,0.333086,725552.000000,336963.000000
1274.673686,0.331381,734127.000000,342287.000000
1278.139867,0.329959,742906.000000,347516.000000
1281.601917,0.328074,750480.000000,352586.000000
1285.059838,0.326465,757621.000000,357262.000000
1288.513627,0.324632,764167.000000,361873.000000
1291.963287,0.323455,771928.000000,366540.000000
1296.556408,0.321473,779372.000000,371768.000000
1299.996431,0.320189,783046.000000,374626.000000
1303.432322,0.319045,787236.000000,377624.000000
1306.864084,0.317438,792393.000000,381507.000000
1310.291715,0.316455,796376.000000,384294.000000
1313.715216,0.315821,798307.000000,385788.000000
1317.134587,0.315414,801175.000000,387537.000000
1320.549827,0.315226,804861.000000,389489.000000
1323.960937,0.315294,807833.000000,390866.000000
1327.367917,0.315387,809608.000000,391641.000000
1331.904131,0.317034,811327.000000,390987.000000
1335.301473,0.318186,812775.000000,390647.000000
1338.694685,0.319956,813544.000000,389426.000000
1342.083767,0.322621,812602.000000,386596.000000
1345.468718,0.325433,811826.000000,383734.000000
1348.849539,0.329419,811585.000000,380115.000000
1352.226229,0.333800,810158.000000,375638.000000
1355.598789,0.339225,807876.000000,369930.000000
1358.967219,0.345066,805252.000000,363803.000000
1363.452034,0.353382,804229.000000,356449.000000
1366.810826,0.360898,803029.000000,349811.000000
1370.165488,0.366856,801212.000000,344264.000000
1373.516020,0.372425,799981.000000,339355.000000
1376.862422,0.378067,798624.000000,334407.000000
1380.204693,0.383359,795747.000000,329167.000000
1383.542834,0.388466,792504.000000,323993.000000
1386.876844,0.393806,790222.000000,319112.000000
1390.206724,0.400493,788607.000000,313594.000000
1393.532474,0.406549,785518.000000,308040.000000
1397.960382,0.414109,779920.000000,300567.000000
1401.276494,0.421027,776342.000000,294460.000000
1404.588477,0.428240,773563.000000,288573.000000
1407.896328,0.437920,769684.000000,280797.000000
1411.200050,0.451073,765635.000000,270987.000000
1414.499641,0.465027,762767.000000,261436.000000
1417.795101,0.483369,760810.000000,249981.000000
1421.086432,0.503078,758503.000000,238166.000000
1424.373632,0.525315,755935.000000,225512.000000
1428.750140,0.554628,753840.000000,210209.000000
1432.027703,0.577389,752941.000000,199238.000000
1435.301135,0.597060,751451.000000,190038.000000
1438.570437,0.615613,750582.000000,181880.000000
1441.835609,0.630995,749740.000000,175354.000000
1445.096650,0.643026,748245.000000,170223.000000
1448.353561,0.653551,747231.000000,165922.000000
1451.606342,0.661205,746115.000000,162780.000000
1454.854992,0.666164,743794.000000,160431.000000
1459.180101,0.670780,741747.000000,158298.000000
1462.419114,0.673467,739561.000000,156858.000000
1465.653997,0.674735,736862.000000,155830.000000
1468.884749,0.674005,734038.000000,155494.000000
1472.111371,0.674246,730885.000000,154740.000000
1475.333862,0.674548,727271.000000,153868.000000
1478.552224,0.674341,723938.000000,153236.000000
1481.766455,0.672834,721040.000000,153153.000000
1484.976555,0.671055,717684.000000,153066.000000
1488.182525,0.669409,713601.000000,152773.000000
1492.450728,0.666350,708541.000000,152762.000000
1495.647060,0.664587,704632.000000,152537.000000
1498.839263,0.662948,700712.000000,152262.000000
1502.027335,0.659023,695967.000000,152604.000000
1505.211277,0.657293,691038.000000,152128.000000
1508.391088,0.652905,686052.000000,152564.000000
1511.566770,0.651377,680877.000000,151947.000000
1514.738321,0.646821,675427.000000,152320.000000
1517.905741,0.643759,670152.000000,152200.000000
1522.122544,0.641338,662097.000000,151211.000000
1525.280327,0.636569,656403.000000,151566.000000
1528.433979,0.635041,650810.000000,150804.000000
1531.583502,0.631824,644842.000000,150532.000000
1534.728894,0.630097,638224.000000,149581.000000
1537.870156,0.628220,631155.000000,148565.000000
1541.007287,0.626412,625001.000000,147730.000000
1544.140289,0.624254,618097.000000,146826.000000
1547.269159,0.624102,610689.000000,145117.000000
1550.393900,0.621735,602954.000000,144062.000000
1554.553796,0.620666,592300.000000,141865.000000
1557.668899,0.618997,584592.000000,140558.000000
1560.779871,0.618893,576368.000000,138614.000000
1563.886714,0.617713,568025.000000,136979.000000
1566.989426,0.617004,559352.000000,135108.000000
1570.088008,0.617399,550305.000000,132802.000000
1573.182459,0.614874,541598.000000,131463.000000
1576.272780,0.613525,532727.000000,129712.000000
1579.358971,0.612224,523890.000000,127943.000000
1583.467467,0.607967,510646.000000,125937.000000
1586.544020,0.604908,501212.000000,124484.000000
1589.616443,0.601478,492392.000000,123263.000000
1592.684736,0.597842,482586.000000,121824.000000
1595.748898,0.593679,472996.000000,120553.000000
1598.808930,0.588029,462978.000000,119545.000000
1601.864832,0.584603,453381.000000,117994.000000
1604.916603,0.577417,443779.000000,117422.000000
1607.964244,0.574103,433789.000000,115658.000000
1612.021341,0.566934,420216.000000,113904.000000
1615.059344,0.560402,409971.000000,112811.000000
1618.093218,0.553914,400631.000000,111900.000000
1621.122961,0.549464,390490.000000,110191.000000
1624.148573,0.541612,380379.000000,109296.000000
1627.170055,0.538396,370204.000000,107163.000000
1630.187407,0.533918,360433.000000,105416.000000
1633.200629,0.528192,350418.000000,103847.000000
1636.209720,0.523270,340597.000000,102087.000000
1639.214681,0.518648,330782.000000,100206.000000
1643.214871,0.512536,317788.000000,97634.000000
1646.210195,0.507883,307687.000000,95549.000000
1649.201388,0.501043,297078.000000,93719.000000
1652.188451,0.498360,287199.000000,91164.000000
1655.171383,0.491997,276866.000000,89181.000000
1658.150185,0.485188,265166.000000,86762.000000
1661.124857,0.475573,252362.000000,84421.000000
1664.095399,0.466955,238503.000000,81384.000000
1667.061810,0.453806,222332.000000,78198.000000
1671.010600,0.430949,197141.000000,73085.000000
1673.967374,0.407869,175847.000000,68749.000000
1676.920017,0.384801,154167.000000,63561.000000
1679.868531,0.364650,132946.000000,57415.000000
1682.812913,0.344632,113053.000000,51127.000000
1685.753166,0.329877,95698.000000,44774.000000
1688.689288,0.320136,80645.000000,38587.000000
1691.621280,0.322812,68011.000000,32342.000000
1694.549141,0.335353,57785.000000,26697.000000
1697.472873,0.341467,49231.000000,22427.000000
1701.364756,0.373917,40194.000000,16992.000000
