Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:52:30,,
Header Version:,1,,
System Temp hundredths:,3542,,
Detector Temp hundredths:,3607,,
Humidity hundredths:,3698,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.529559,64701.000000,19114.000000
905.903443,0.454666,80807.000000,28365.000000
909.784033,0.411836,90252.000000,34964.000000
913.660493,0.384269,98832.000000,40797.000000
917.532823,0.375604,108214.000000,45570.000000
921.401023,0.374861,120081.000000,50654.000000
925.265092,0.384740,134618.000000,55509.000000
929.125031,0.393628,152080.000000,61439.000000
932.980840,0.396763,171754.000000,68888.000000
936.832518,0.393132,192235.000000,77750.000000
941.961664,0.379403,218303.000000,91129.000000
945.803705,0.368556,236285.000000,101130.000000
949.641615,0.354674,252581.000000,111616.000000
953.475395,0.343356,268843.000000,121939.000000
957.305045,0.336699,284409.000000,130992.000000
961.130565,0.332454,300415.000000,139723.000000
964.951954,0.328135,315812.000000,148352.000000
968.769213,0.327938,331706.000000,155889.000000
972.582341,0.326680,347597.000000,163831.000000
976.391340,0.326006,362603.000000,171169.000000
981.463579,0.325776,381663.000000,180262.000000
985.262940,0.325843,394207.000000,186158.000000
989.058170,0.325043,405268.000000,191734.000000
992.849270,0.324475,414919.000000,196557.000000
996.636240,0.323463,422744.000000,200731.000000
1000.419080,0.322049,429985.000000,204835.000000
1004.197789,0.321226,435731.000000,207966.000000
1007.972367,0.319407,439787.000000,210783.000000
1011.742816,0.317216,442999.000000,213396.000000
1016.763656,0.316327,446147.000000,215353.000000
1020.524467,0.315048,447570.000000,216677.000000
1024.281147,0.313181,448137.000000,217886.000000
1028.033698,0.312094,447447.000000,218096.000000
1031.782118,0.311919,447066.000000,217998.000000
1035.526408,0.310635,446139.000000,218190.000000
1039.266567,0.310773,445335.000000,217728.000000
1043.002596,0.308766,443993.000000,218077.000000
1046.734495,0.308174,441985.000000,217387.000000
1050.462263,0.307307,439703.000000,216697.000000
1055.426196,0.307813,438747.000000,215974.000000
1059.144327,0.307205,437920.000000,215869.000000
1062.858328,0.306513,436828.000000,215674.000000
1066.568198,0.306988,436218.000000,215137.000000
1070.273938,0.308124,437019.000000,214969.000000
1073.975548,0.308432,437923.000000,215261.000000
1077.673027,0.308848,438436.000000,215307.000000
1081.366376,0.307751,439593.000000,216421.000000
1085.055595,0.308932,441201.000000,216623.000000
1089.968128,0.308049,442941.000000,217920.000000
1093.647709,0.307895,445537.000000,219275.000000
1097.323160,0.308311,448116.000000,220333.000000
1100.994481,0.307347,449422.000000,221466.000000
1104.661671,0.307213,451109.000000,222366.000000
1108.324731,0.306378,453992.000000,224218.000000
1111.983661,0.306129,457203.000000,225933.000000
1115.638460,0.306047,459746.000000,227233.000000
1119.289129,0.306357,461686.000000,228029.000000
1124.150263,0.305902,463762.000000,229294.000000
1127.791294,0.305655,465594.000000,230331.000000
1131.428195,0.306098,467340.000000,230959.000000
1135.060966,0.306455,468769.000000,231475.000000
1138.689607,0.308678,470277.000000,231034.000000
1142.314117,0.311088,471885.000000,230541.000000
1145.934497,0.314005,474025.000000,230036.000000
1149.550746,0.316070,475849.000000,229826.000000
1153.162866,0.322308,477793.000000,227474.000000
1156.770855,0.326373,479500.000000,226160.000000
1161.575081,0.333633,482364.000000,223739.000000
1165.173433,0.338632,485131.000000,222447.000000
1168.767654,0.345001,488511.000000,220736.000000
1172.357745,0.350991,491250.000000,218933.000000
1175.943705,0.356692,494537.000000,217524.000000
1179.525536,0.362309,498615.000000,216499.000000
1183.103235,0.367843,504468.000000,216267.000000
1186.676805,0.375596,510422.000000,214948.000000
1190.246244,0.383611,516637.000000,213587.000000
1194.999071,0.393777,526142.000000,212484.000000
1198.558873,0.400041,533671.000000,212438.000000
1202.114544,0.406917,540939.000000,211949.000000
1205.666086,0.412568,548916.000000,212294.000000
1209.213496,0.416704,558110.000000,213804.000000
1212.756777,0.420824,566953.000000,215141.000000
1216.295927,0.421511,575650.000000,218096.000000
1219.830947,0.420823,584869.000000,221940.000000
1223.361836,0.416942,595021.000000,227819.000000
1226.888595,0.410453,604954.000000,235109.000000
1231.584516,0.399887,617050.000000,245716.000000
1235.101637,0.391776,626559.000000,254206.000000
1238.614629,0.385346,636932.000000,262269.000000
1242.123490,0.378912,647247.000000,270494.000000
1245.628220,0.373764,655372.000000,277156.000000
1249.128821,0.369589,664642.000000,283791.000000
1252.625291,0.366206,674555.000000,290276.000000
1256.117630,0.364184,684692.000000,296013.000000
1259.605840,0.361114,692978.000000,301721.000000
1264.250361,0.360163,706063.000000,308092.000000
1267.728933,0.358374,716021.000000,313727.000000
1271.203374,0.357811,725552.000000,318315.000000
1274.673686,0.355749,734127.000000,323610.000000
1278.139867,0.354358,742906.000000,328531.000000
1281.601917,0.353115,750480.000000,332831.000000
1285.059838,0.351316,757621.000000,337393.000000
1288.513627,0.349527,764167.000000,341713.000000
1291.963287,0.348343,771928.000000,346126.000000
1296.556408,0.346184,779372.000000,351205.000000
1299.996431,0.345071,783046.000000,353766.000000
1303.432322,0.344014,787236.000000,356526.000000
1306.864084,0.342322,792393.000000,360262.000000
1310.291715,0.341215,796376.000000,362997.000000
1313.715216,0.340792,798307.000000,364232.000000
1317.134587,0.340078,801175.000000,366142.000000
1320.549827,0.339621,804861.000000,368214.000000
1323.960937,0.339539,807833.000000,369643.000000
1327.367917,0.340326,809608.000000,369785.000000
1331.904131,0.341478,811327.000000,369588.000000
1335.301473,0.342324,812775.000000,369527.000000
1338.694685,0.344337,813544.000000,368166.000000
1342.083767,0.345902,812602.000000,366417.000000
1345.468718,0.348674,811826.000000,363738.000000
1348.849539,0.352577,811585.000000,360377.000000
1352.226229,0.355739,810158.000000,357134.000000
1355.598789,0.360717,807876.000000,352069.000000
1358.967219,0.366251,805252.000000,346482.000000
1363.452034,0.373404,804229.000000,340389.000000
1366.810826,0.380273,803029.000000,334548.000000
1370.165488,0.385611,801212.000000,329713.000000
1373.516020,0.391387,799981.000000,324857.000000
1376.862422,0.396808,798624.000000,320283.000000
1380.204693,0.401417,795747.000000,315761.000000
1383.542834,0.406121,792504.000000,311086.000000
1386.876844,0.411689,790222.000000,306239.000000
1390.206724,0.417519,788607.000000,301538.000000
1393.532474,0.422496,785518.000000,296934.000000
1397.960382,0.429423,779920.000000,290153.000000
1401.276494,0.436043,776342.000000,284453.000000
1404.588477,0.442809,773563.000000,279053.000000
1407.896328,0.451319,769684.000000,272266.000000
1411.200050,0.461907,765635.000000,264311.000000
1414.499641,0.476235,762767.000000,254775.000000
1417.795101,0.491480,760810.000000,245356.000000
1421.086432,0.509367,758503.000000,234742.000000
1424.373632,0.528428,755935.000000,223901.000000
1428.750140,0.556124,753840.000000,209486.000000
1432.027703,0.575518,752941.000000,200098.000000
1435.301135,0.593383,751451.000000,191654.000000
1438.570437,0.610975,750582.000000,183833.000000
1441.835609,0.625045,749740.000000,177773.000000
1445.096650,0.635471,748245.000000,173210.000000
1448.353561,0.645152,747231.000000,169162.000000
1451.606342,0.652381,746115.000000,166121.000000
1454.854992,0.657412,743794.000000,163697.000000
1459.180101,0.662592,741747.000000,161311.000000
1462.419114,0.664057,739561.000000,160294.000000
1465.653997,0.665768,736862.000000,159081.000000
1468.884749,0.665876,734038.000000,158432.000000
1472.111371,0.666191,730885.000000,157637.000000
1475.333862,0.664865,727271.000000,157337.000000
1478.552224,0.664558,723938.000000,156727.000000
1481.766455,0.663212,721040.000000,156584.000000
1484.976555,0.661960,717684.000000,156305.000000
1488.182525,0.660398,713601.000000,155976.000000
1492.450728,0.657639,708541.000000,155857.000000
1495.647060,0.655367,704632.000000,155810.000000
1498.839263,0.652919,700712.000000,155819.000000
1502.027335,0.650772,695967.000000,155531.000000
1505.211277,0.648585,691038.000000,155209.000000
1508.391088,0.644856,686052.000000,155418.000000
1511.566770,0.641615,680877.000000,155401.000000
1514.738321,0.639362,675427.000000,154959.000000
1517.905741,0.634784,670152.000000,155378.000000
1522.122544,0.632404,662097.000000,154354.000000
1525.280327,0.630045,656403.000000,153860.000000
1528.433979,0.626868,650810.000000,153669.000000
1531.583502,0.625114,644842.000000,152876.000000
1534.728894,0.622764,638224.000000,152128.000000
1537.870156,0.620547,631155.000000,151213.000000
1541.007287,0.619298,625001.000000,150170.000000
1544.140289,0.616636,618097.000000,149424.000000
1547.269159,0.615676,610689.000000,147960.000000
1550.393900,0.615952,602954.000000,145993.000000
1554.553796,0.614415,592300.000000,143922.000000
1557.668899,0.613453,584592.000000,142364.000000
1560.779871,0.612338,576368.000000,140722.000000
1563.886714,0.611418,568025.000000,138979.000000
1566.989426,0.610968,559352.000000,136999.000000
1570.088008,0.608937,550305.000000,135415.000000
1573.182459,0.608043,541598.000000,133547.000000
1576.272780,0.608171,532727.000000,131321.000000
1579.358971,0.605484,523890.000000,129944.000000
1583.467467,0.603373,510646.000000,127276.000000
1586.544020,0.600344,501212.000000,125799.000000
1589.616443,0.596943,492392.000000,124557.000000
1592.684736,0.593415,482586.000000,123072.000000
1595.748898,0.589599,472996.000000,121691.000000
1598.808930,0.585140,462978.000000,120343.000000
1601.864832,0.582276,453381.000000,118628.000000
1604.916603,0.576291,443779.000000,117727.000000
1607.964244,0.573008,433789.000000,115950.000000
1612.021341,0.565704,420216.000000,114227.000000
1615.059344,0.560841,409971.000000,112697.000000
1618.093218,0.555310,400631.000000,111541.000000
1621.122961,0.549673,390490.000000,110138.000000
1624.148573,0.547771,380379.000000,107757.000000
1627.170055,0.543131,370204.000000,106001.000000
1630.187407,0.537363,360433.000000,104583.000000
1633.200629,0.533837,350418.000000,102506.000000
1636.209720,0.532093,340597.000000,100034.000000
1639.214681,0.527439,330782.000000,98198.000000
1643.214871,0.518471,317788.000000,96309.000000
1646.210195,0.516138,307687.000000,93750.000000
1649.201388,0.513252,297078.000000,91121.000000
1652.188451,0.507400,287199.000000,89286.000000
1655.171383,0.501221,276866.000000,87307.000000
