Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:39:0,,
Header Version:,1,,
System Temp hundredths:,3521,,
Detector Temp hundredths:,3639,,
Humidity hundredths:,3755,,
Lamp PD:,3765,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.761383,64701.000000,11208.000000
905.903443,0.718520,80807.000000,15450.000000
909.784033,0.692200,90252.000000,18334.000000
913.660493,0.679431,98832.000000,20676.000000
917.532823,0.661795,108214.000000,23577.000000
921.401023,0.673599,120081.000000,25461.000000
925.265092,0.677578,134618.000000,28283.000000
929.125031,0.676447,152080.000000,32035.000000
932.980840,0.676726,171754.000000,36156.000000
936.832518,0.664395,192235.000000,41633.000000
941.961664,0.640307,218303.000000,49975.000000
945.803705,0.622095,236285.000000,56408.000000
949.641615,0.608059,252581.000000,62279.000000
953.475395,0.591324,268843.000000,68893.000000
957.305045,0.580762,284409.000000,74676.000000
961.130565,0.569483,300415.000000,80954.000000
964.951954,0.562307,315812.000000,86521.000000
968.769213,0.556376,331706.000000,92125.000000
972.582341,0.548911,347597.000000,98212.000000
976.391340,0.547227,362603.000000,102850.000000
981.463579,0.544600,381663.000000,108913.000000
985.262940,0.542204,394207.000000,113115.000000
989.058170,0.540099,405268.000000,116854.000000
992.849270,0.538728,414919.000000,120015.000000
996.636240,0.536268,422744.000000,122973.000000
1000.419080,0.536491,429985.000000,125015.000000
1004.197789,0.534080,435731.000000,127391.000000
1007.972367,0.532659,439787.000000,128998.000000
1011.742816,0.531909,442999.000000,130165.000000
1016.763656,0.529734,446147.000000,131748.000000
1020.524467,0.528789,447570.000000,132456.000000
1024.281147,0.527073,448137.000000,133149.000000
1028.033698,0.526812,447447.000000,133024.000000
1031.782118,0.527265,447066.000000,132772.000000
1035.526408,0.525782,446139.000000,132950.000000
1039.266567,0.524956,445335.000000,132963.000000
1043.002596,0.524240,443993.000000,132781.000000
1046.734495,0.523733,441985.000000,132335.000000
1050.462263,0.523544,439703.000000,131709.000000
1055.426196,0.524257,438747.000000,131207.000000
1059.144327,0.524097,437920.000000,131008.000000
1062.858328,0.525389,436828.000000,130293.000000
1066.568198,0.525390,436218.000000,130111.000000
1070.273938,0.526841,437019.000000,129915.000000
1073.975548,0.527458,437923.000000,129999.000000
1077.673027,0.528913,438436.000000,129716.000000
1081.366376,0.530784,439593.000000,129499.000000
1085.055595,0.531215,441201.000000,129844.000000
1089.968128,0.533121,442941.000000,129785.000000
1093.647709,0.534570,445537.000000,130111.000000
1097.323160,0.535201,448116.000000,130674.000000
1100.994481,0.537360,449422.000000,130405.000000
1104.661671,0.539587,451109.000000,130225.000000
1108.324731,0.540925,453992.000000,130654.000000
1111.983661,0.541739,457203.000000,131332.000000
1115.638460,0.542023,459746.000000,131976.000000
1119.289129,0.544059,461686.000000,131913.000000
1124.150263,0.548146,463762.000000,131265.000000
1127.791294,0.548926,465594.000000,131547.000000
1131.428195,0.552388,467340.000000,130992.000000
1135.060966,0.552529,468769.000000,131350.000000
1138.689607,0.558594,470277.000000,129945.000000
1142.314117,0.561436,471885.000000,129539.000000
1145.934497,0.569512,474025.000000,127729.000000
1149.550746,0.574148,475849.000000,126859.000000
1153.162866,0.583478,477793.000000,124670.000000
1156.770855,0.591382,479500.000000,122859.000000
