Method:,Column 1,,
Host Date-Time:,21/4/16 @ 7:40:23,,
Header Version:,1,,
System Temp hundredths:,3543,,
Detector Temp hundredths:,3616,,
Humidity hundredths:,3698,,
Lamp PD:,3764,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.544891,64701.000000,18451.000000
905.903443,0.465267,80807.000000,27681.000000
909.784033,0.423761,90252.000000,34017.000000
913.660493,0.393783,98832.000000,39913.000000
917.532823,0.385719,108214.000000,44521.000000
921.401023,0.385554,120081.000000,49422.000000
925.265092,0.393632,134618.000000,54384.000000
929.125031,0.402389,152080.000000,60212.000000
932.980840,0.406176,171754.000000,67411.000000
936.832518,0.404209,192235.000000,75792.000000
941.961664,0.391650,218303.000000,88595.000000
945.803705,0.378170,236285.000000,98916.000000
949.641615,0.365736,252581.000000,108809.000000
953.475395,0.355172,268843.000000,118666.000000
957.305045,0.347110,284409.000000,127889.000000
961.130565,0.343452,300415.000000,136229.000000
964.951954,0.340132,315812.000000,144310.000000
968.769213,0.339401,331706.000000,151828.000000
972.582341,0.338157,347597.000000,159558.000000
976.391340,0.338064,362603.000000,166482.000000
981.463579,0.337074,381663.000000,175633.000000
985.262940,0.338036,394207.000000,181004.000000
989.058170,0.336652,405268.000000,186677.000000
992.849270,0.336248,414919.000000,191300.000000
996.636240,0.334587,422744.000000,195655.000000
1000.419080,0.333358,429985.000000,199570.000000
1004.197789,0.331902,435731.000000,202916.000000
1007.972367,0.329962,439787.000000,205722.000000
1011.742816,0.329134,442999.000000,207620.000000
1016.763656,0.327583,446147.000000,209843.000000
1020.524467,0.326161,447570.000000,211203.000000
1024.281147,0.324565,448137.000000,212249.000000
1028.033698,0.322872,447447.000000,212750.000000
1031.782118,0.322780,447066.000000,212614.000000
1035.526408,0.321586,446139.000000,212757.000000
1039.266567,0.320827,445335.000000,212745.000000
1043.002596,0.319221,443993.000000,212890.000000
1046.734495,0.318601,441985.000000,212230.000000
1050.462263,0.318708,439703.000000,211082.000000
1055.426196,0.317905,438747.000000,211013.000000
1059.144327,0.318281,437920.000000,210433.000000
1062.858328,0.318124,436828.000000,209984.000000
1066.568198,0.319011,436218.000000,209263.000000
1070.273938,0.319057,437019.000000,209625.000000
1073.975548,0.319696,437923.000000,209750.000000
1077.673027,0.319249,438436.000000,210212.000000
1081.366376,0.319943,439593.000000,210430.000000
1085.055595,0.320869,441201.000000,210750.000000
1089.968128,0.319605,442941.000000,212198.000000
1093.647709,0.319331,445537.000000,213576.000000
1097.323160,0.320500,448116.000000,214235.000000
1100.994481,0.319917,449422.000000,215148.000000
1104.661671,0.319329,451109.000000,216248.000000
1108.324731,0.319515,453992.000000,217537.000000
1111.983661,0.319116,457203.000000,219277.000000
1115.638460,0.317680,459746.000000,221227.000000
1119.289129,0.317714,461686.000000,222143.000000
1124.150263,0.318162,463762.000000,222912.000000
1127.791294,0.317792,465594.000000,223983.000000
1131.428195,0.317852,467340.000000,224792.000000
1135.060966,0.318996,468769.000000,224886.000000
1138.689607,0.320944,470277.000000,224600.000000
1142.314117,0.323123,471885.000000,224240.000000
1145.934497,0.325654,474025.000000,223948.000000
1149.550746,0.328896,475849.000000,223138.000000
1153.162866,0.333253,477793.000000,221813.000000
1156.770855,0.337914,479500.000000,220229.000000
1161.575081,0.345467,482364.000000,217725.000000
1165.173433,0.350247,485131.000000,216577.000000
1168.767654,0.355917,488511.000000,215257.000000
1172.357745,0.362621,491250.000000,213148.000000
1175.943705,0.367976,494537.000000,211945.000000
1179.525536,0.372708,498615.000000,211377.000000
1183.103235,0.378068,504468.000000,211235.000000
1186.676805,0.386161,510422.000000,209782.000000
1190.246244,0.392541,516637.000000,209240.000000
1194.999071,0.403570,526142.000000,207746.000000
1198.558873,0.409116,533671.000000,208045.000000
1202.114544,0.415168,540939.000000,207960.000000
1205.666086,0.420462,548916.000000,208470.000000
1209.213496,0.425594,558110.000000,209472.000000
1212.756777,0.428547,566953.000000,211349.000000
1216.295927,0.430035,575650.000000,213857.000000
1219.830947,0.428037,584869.000000,218284.000000
1223.361836,0.424901,595021.000000,223682.000000
1226.888595,0.418487,604954.000000,230800.000000
1231.584516,0.408293,617050.000000,241006.000000
1235.101637,0.400571,626559.000000,249110.000000
1238.614629,0.393935,636932.000000,257133.000000
1242.123490,0.388057,647247.000000,264858.000000
1245.628220,0.383033,655372.000000,271303.000000
1249.128821,0.379411,664642.000000,277445.000000
1252.625291,0.376354,674555.000000,283572.000000
1256.117630,0.374365,684692.000000,289155.000000
1259.605840,0.372501,692978.000000,293913.000000
1264.250361,0.370696,706063.000000,300710.000000
1267.728933,0.369206,716021.000000,305999.000000
1271.203374,0.368249,725552.000000,310756.000000
1274.673686,0.366691,734127.000000,315559.000000
1278.139867,0.365461,742906.000000,320238.000000
1281.601917,0.364300,750480.000000,324369.000000
1285.059838,0.363208,757621.000000,328280.000000
1288.513627,0.361355,764167.000000,332532.000000
1291.963287,0.360240,771928.000000,336773.000000
1296.556408,0.358077,779372.000000,341718.000000
1299.996431,0.356332,783046.000000,344711.000000
1303.432322,0.355927,787236.000000,346879.000000
1306.864084,0.354580,792393.000000,350236.000000
1310.291715,0.354219,796376.000000,352289.000000
1313.715216,0.353896,798307.000000,353406.000000
1317.134587,0.352878,801175.000000,355508.000000
1320.549827,0.353244,804861.000000,356843.000000
1323.960937,0.353299,807833.000000,358115.000000
1327.367917,0.353732,809608.000000,358544.000000
1331.904131,0.354815,811327.000000,358411.000000
1335.301473,0.356159,812775.000000,357941.000000
1338.694685,0.358100,813544.000000,356682.000000
1342.083767,0.360385,812602.000000,354399.000000
1345.468718,0.363483,811826.000000,351544.000000
1348.849539,0.366362,811585.000000,349118.000000
1352.226229,0.370936,810158.000000,344853.000000
1355.598789,0.375834,807876.000000,340025.000000
1358.967219,0.381044,805252.000000,334879.000000
1363.452034,0.388909,804229.000000,328451.000000
1366.810826,0.395671,803029.000000,322894.000000
1370.165488,0.401126,801212.000000,318142.000000
1373.516020,0.407294,799981.000000,313174.000000
1376.862422,0.411706,798624.000000,309483.000000
1380.204693,0.416588,795747.000000,304921.000000
1383.542834,0.421599,792504.000000,300194.000000
1386.876844,0.426675,790222.000000,295852.000000
1390.206724,0.432945,788607.000000,291015.000000
1393.532474,0.438418,785518.000000,286245.000000
1397.960382,0.445392,779920.000000,279678.000000
1401.276494,0.451873,776342.000000,274271.000000
1404.588477,0.460108,773563.000000,268156.000000
1407.896328,0.469236,769684.000000,261262.000000
1411.200050,0.480246,765635.000000,253382.000000
1414.499641,0.494803,762767.000000,244112.000000
1417.795101,0.511015,760810.000000,234564.000000
1421.086432,0.529614,758503.000000,224049.000000
1424.373632,0.549089,755935.000000,213499.000000
1428.750140,0.577332,753840.000000,199502.000000
1432.027703,0.597770,752941.000000,190104.000000
1435.301135,0.619399,751451.000000,180510.000000
1438.570437,0.637586,750582.000000,172907.000000
1441.835609,0.654141,749740.000000,166253.000000
1445.096650,0.667329,748245.000000,160959.000000
1448.353561,0.675576,747231.000000,157717.000000
1451.606342,0.681587,746115.000000,155317.000000
1454.854992,0.685398,743794.000000,153481.000000
1459.180101,0.689227,741747.000000,151715.000000
1462.419114,0.692079,739561.000000,150278.000000
1465.653997,0.693597,736862.000000,149207.000000
1468.884749,0.695562,734038.000000,147964.000000
1472.111371,0.697158,730885.000000,146788.000000
1475.333862,0.696704,727271.000000,146215.000000
1478.552224,0.696779,723938.000000,145520.000000
1481.766455,0.697104,721040.000000,144829.000000
1484.976555,0.695309,717684.000000,144752.000000
1488.182525,0.693978,713601.000000,144370.000000
1492.450728,0.694601,708541.000000,143141.000000
1495.647060,0.691274,704632.000000,143446.000000
1498.839263,0.690234,700712.000000,142990.000000
1502.027335,0.687584,695967.000000,142891.000000
1505.211277,0.684844,691038.000000,142777.000000
1508.391088,0.682225,686052.000000,142604.000000
1511.566770,0.679797,680877.000000,142322.000000
1514.738321,0.677070,675427.000000,142072.000000
1517.905741,0.674834,670152.000000,141690.000000
1522.122544,0.672544,662097.000000,140727.000000
1525.280327,0.669059,656403.000000,140641.000000
1528.433979,0.666527,650810.000000,140258.000000
