Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:47:26,,
Header Version:,1,,
System Temp hundredths:,3263,,
Detector Temp hundredths:,3030,,
Humidity hundredths:,1341,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.352032,64701.000000,28766.000000
905.903443,0.270801,80807.000000,43316.000000
909.784033,0.225766,90252.000000,53665.000000
913.660493,0.194222,98832.000000,63194.000000
917.532823,0.184078,108214.000000,70828.000000
921.401023,0.184903,120081.000000,78446.000000
925.265092,0.191565,134618.000000,86604.000000
929.125031,0.197810,152080.000000,96441.000000
932.980840,0.197596,171754.000000,108971.000000
936.832518,0.191364,192235.000000,123728.000000
941.961664,0.178141,218303.000000,144850.000000
945.803705,0.166570,236285.000000,161015.000000
949.641615,0.154742,252581.000000,176872.000000
953.475395,0.145456,268843.000000,192328.000000
957.305045,0.138964,284409.000000,206528.000000
961.130565,0.134731,300415.000000,220288.000000
964.951954,0.131927,315812.000000,233078.000000
968.769213,0.128160,331706.000000,246941.000000
972.582341,0.126904,347597.000000,259521.000000
976.391340,0.125526,362603.000000,271585.000000
981.463579,0.122487,381663.000000,287868.000000
985.262940,0.120707,394207.000000,298550.000000
989.058170,0.118718,405268.000000,308336.000000
992.849270,0.116333,414919.000000,317417.000000
996.636240,0.114256,422744.000000,324954.000000
1000.419080,0.111750,429985.000000,332432.000000
1004.197789,0.110312,435731.000000,337992.000000
1007.972367,0.107158,439787.000000,343625.000000
1011.742816,0.105039,442999.000000,347827.000000
1016.763656,0.103017,446147.000000,351934.000000
1020.524467,0.101495,447570.000000,354296.000000
1024.281147,0.100404,448137.000000,355637.000000
1028.033698,0.099214,447447.000000,356064.000000
1031.782118,0.098485,447066.000000,356358.000000
1035.526408,0.096504,446139.000000,357245.000000
1039.266567,0.095858,445335.000000,357132.000000
1043.002596,0.094753,443993.000000,356963.000000
1046.734495,0.093775,441985.000000,356150.000000
1050.462263,0.092638,439703.000000,355240.000000
1055.426196,0.092705,438747.000000,354413.000000
1059.144327,0.093018,437920.000000,353490.000000
1062.858328,0.093138,436828.000000,352511.000000
1066.568198,0.093125,436218.000000,352029.000000
1070.273938,0.093108,437019.000000,352689.000000
1073.975548,0.094404,437923.000000,352366.000000
1077.673027,0.093506,438436.000000,353509.000000
1081.366376,0.094455,439593.000000,353668.000000
1085.055595,0.094428,441201.000000,354984.000000
1089.968128,0.093945,442941.000000,356780.000000
1093.647709,0.093586,445537.000000,359168.000000
1097.323160,0.094052,448116.000000,360860.000000
1100.994481,0.093735,449422.000000,362176.000000
1104.661671,0.093068,451109.000000,364094.000000
1108.324731,0.093441,453992.000000,366106.000000
1111.983661,0.092585,457203.000000,369423.000000
1115.638460,0.092557,459746.000000,371502.000000
1119.289129,0.092842,461686.000000,372825.000000
1124.150263,0.092600,463762.000000,374710.000000
1127.791294,0.092394,465594.000000,376369.000000
1131.428195,0.093483,467340.000000,376834.000000
1135.060966,0.093518,468769.000000,377956.000000
1138.689607,0.094838,470277.000000,378021.000000
1142.314117,0.097408,471885.000000,377075.000000
1145.934497,0.099609,474025.000000,376871.000000
1149.550746,0.102136,475849.000000,376126.000000
1153.162866,0.105381,477793.000000,374851.000000
1156.770855,0.108749,479500.000000,373284.000000
1161.575081,0.113258,482364.000000,371635.000000
1165.173433,0.117793,485131.000000,369884.000000
1168.767654,0.121731,488511.000000,369099.000000
1172.357745,0.125418,491250.000000,368031.000000
1175.943705,0.128176,494537.000000,368148.000000
1179.525536,0.131010,498615.000000,368770.000000
1183.103235,0.134199,504468.000000,370369.000000
1186.676805,0.138737,510422.000000,370845.000000
1190.246244,0.142559,516637.000000,372072.000000
1194.999071,0.148719,526142.000000,373580.000000
1198.558873,0.152604,533671.000000,375552.000000
1202.114544,0.156930,540939.000000,376893.000000
1205.666086,0.159515,548916.000000,380181.000000
1209.213496,0.163252,558110.000000,383237.000000
1212.756777,0.165618,566953.000000,387194.000000
1216.295927,0.167060,575650.000000,391831.000000
1219.830947,0.166577,584869.000000,398549.000000
1223.361836,0.163891,595021.000000,407982.000000
1226.888595,0.159390,604954.000000,419114.000000
1231.584516,0.152317,617050.000000,434514.000000
1235.101637,0.146299,626559.000000,447366.000000
1238.614629,0.140734,636932.000000,460637.000000
1242.123490,0.137036,647247.000000,472100.000000
1245.628220,0.132952,655372.000000,482543.000000
1249.128821,0.129920,664642.000000,492797.000000
1252.625291,0.127244,674555.000000,503238.000000
1256.117630,0.125308,684692.000000,513082.000000
1259.605840,0.123071,692978.000000,521973.000000
1264.250361,0.121380,706063.000000,533904.000000
