Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:35:58,,
Header Version:,1,,
System Temp hundredths:,2976,,
Detector Temp hundredths:,2736,,
Humidity hundredths:,1861,,
Lamp PD:,3772,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.652006,64701.000000,14418.000000
905.903443,0.584011,80807.000000,21059.000000
909.784033,0.535815,90252.000000,26281.000000
913.660493,0.511953,98832.000000,30405.000000
917.532823,0.493666,108214.000000,34723.000000
921.401023,0.488878,120081.000000,38958.000000
925.265092,0.490245,134618.000000,43537.000000
929.125031,0.490540,152080.000000,49151.000000
932.980840,0.486037,171754.000000,56088.000000
936.832518,0.477232,192235.000000,64062.000000
941.961664,0.458155,218303.000000,76016.000000
945.803705,0.444114,236285.000000,84981.000000
949.641615,0.428806,252581.000000,94101.000000
953.475395,0.416733,268843.000000,102983.000000
957.305045,0.405976,284409.000000,111678.000000
961.130565,0.398048,300415.000000,120136.000000
964.951954,0.390417,315812.000000,128532.000000
968.769213,0.383748,331706.000000,137090.000000
972.582341,0.377015,347597.000000,145902.000000
976.391340,0.370666,362603.000000,154442.000000
981.463579,0.363286,381663.000000,165346.000000
985.262940,0.357967,394207.000000,172885.000000
989.058170,0.350544,405268.000000,180800.000000
992.849270,0.345078,414919.000000,187450.000000
996.636240,0.338065,422744.000000,194094.000000
1000.419080,0.331155,429985.000000,200585.000000
1004.197789,0.326878,435731.000000,205277.000000
1007.972367,0.319858,439787.000000,210564.000000
1011.742816,0.314391,442999.000000,214789.000000
1016.763656,0.307626,446147.000000,219711.000000
1020.524467,0.303550,447570.000000,222490.000000
1024.281147,0.298278,448137.000000,225493.000000
1028.033698,0.294114,447447.000000,227315.000000
1031.782118,0.289576,447066.000000,229507.000000
1035.526408,0.285682,446139.000000,231094.000000
1039.266567,0.281588,445335.000000,232862.000000
1043.002596,0.277370,443993.000000,234426.000000
1046.734495,0.274033,441985.000000,235166.000000
1050.462263,0.270201,439703.000000,236025.000000
1055.426196,0.265838,438747.000000,237890.000000
1059.144327,0.263852,437920.000000,238530.000000
1062.858328,0.260396,436828.000000,239836.000000
1066.568198,0.259228,436218.000000,240146.000000
1070.273938,0.257290,437019.000000,241663.000000
1073.975548,0.254266,437923.000000,243855.000000
1077.673027,0.252563,438436.000000,245100.000000
1081.366376,0.249409,439593.000000,247538.000000
1085.055595,0.247380,441201.000000,249607.000000
1089.968128,0.245159,442941.000000,251876.000000
1093.647709,0.242287,445537.000000,255033.000000
1097.323160,0.239665,448116.000000,258063.000000
1100.994481,0.237723,449422.000000,259975.000000
1104.661671,0.234663,451109.000000,262796.000000
1108.324731,0.232614,453992.000000,265726.000000
1111.983661,0.229665,457203.000000,269429.000000
1115.638460,0.227107,459746.000000,272528.000000
1119.289129,0.225005,461686.000000,275006.000000
1124.150263,0.221567,463762.000000,278438.000000
1127.791294,0.219717,465594.000000,280731.000000
1131.428195,0.217075,467340.000000,283503.000000
1135.060966,0.215000,468769.000000,285732.000000
1138.689607,0.213699,470277.000000,287511.000000
1142.314117,0.211778,471885.000000,289773.000000
1145.934497,0.211327,474025.000000,291390.000000
1149.550746,0.210111,475849.000000,293331.000000
1153.162866,0.208850,477793.000000,295386.000000
1156.770855,0.209368,479500.000000,296088.000000
1161.575081,0.208649,482364.000000,298350.000000
1165.173433,0.207434,485131.000000,300902.000000
1168.767654,0.208558,488511.000000,302215.000000
1172.357745,0.208782,491250.000000,303753.000000
1175.943705,0.209397,494537.000000,305353.000000
1179.525536,0.209607,498615.000000,307722.000000
1183.103235,0.209974,504468.000000,311071.000000
1186.676805,0.211708,510422.000000,313488.000000
1190.246244,0.212566,516637.000000,316679.000000
1194.999071,0.214233,526142.000000,321270.000000
1198.558873,0.216387,533671.000000,324255.000000
1202.114544,0.216746,540939.000000,328399.000000
1205.666086,0.217739,548916.000000,332481.000000
1209.213496,0.218617,558110.000000,337367.000000
1212.756777,0.220107,566953.000000,341539.000000
1216.295927,0.219686,575650.000000,347114.000000
1219.830947,0.218959,584869.000000,353264.000000
1223.361836,0.216654,595021.000000,361309.000000
1226.888595,0.213110,604954.000000,370350.000000
1231.584516,0.207233,617050.000000,382902.000000
1235.101637,0.202779,626559.000000,392810.000000
1238.614629,0.198567,636932.000000,403205.000000
1242.123490,0.194504,647247.000000,413586.000000
1245.628220,0.191047,655372.000000,422125.000000
1249.128821,0.188349,664642.000000,430763.000000
1252.625291,0.185396,674555.000000,440171.000000
1256.117630,0.182703,684692.000000,449565.000000
1259.605840,0.179986,692978.000000,457861.000000
1264.250361,0.178561,706063.000000,468039.000000
1267.728933,0.177052,716021.000000,476293.000000
1271.203374,0.174680,725552.000000,485276.000000
1274.673686,0.172595,734127.000000,493374.000000
1278.139867,0.170619,742906.000000,501551.000000
1281.601917,0.168949,750480.000000,508616.000000
1285.059838,0.167082,757621.000000,515668.000000
1288.513627,0.164713,764167.000000,522968.000000
1291.963287,0.163437,771928.000000,529834.000000
1296.556408,0.161305,779372.000000,537576.000000
1299.996431,0.159597,783046.000000,542239.000000
1303.432322,0.157858,787236.000000,547327.000000
1306.864084,0.156832,792393.000000,552215.000000
1310.291715,0.155337,796376.000000,556905.000000
1313.715216,0.153811,798307.000000,560221.000000
1317.134587,0.152726,801175.000000,563639.000000
1320.549827,0.152339,804861.000000,566737.000000
1323.960937,0.151507,807833.000000,569921.000000
1327.367917,0.150700,809608.000000,572235.000000
1331.904131,0.149558,811327.000000,574961.000000
1335.301473,0.149825,812775.000000,575633.000000
1338.694685,0.149645,813544.000000,576416.000000
1342.083767,0.149559,812602.000000,575863.000000
1345.468718,0.149800,811826.000000,574994.000000
1348.849539,0.150025,811585.000000,574525.000000
1352.226229,0.150692,810158.000000,572635.000000
1355.598789,0.152212,807876.000000,569027.000000
1358.967219,0.153154,805252.000000,565950.000000
1363.452034,0.155546,804229.000000,562126.000000
1366.810826,0.157460,803029.000000,558819.000000
1370.165488,0.159906,801212.000000,554423.000000
1373.516020,0.161924,799981.000000,551005.000000
1376.862422,0.163321,798624.000000,548304.000000
1380.204693,0.164495,795747.000000,544854.000000
1383.542834,0.165950,792504.000000,540818.000000
1386.876844,0.168697,790222.000000,535861.000000
1390.206724,0.171743,788607.000000,531028.000000
1393.532474,0.174785,785518.000000,525256.000000
1397.960382,0.178989,779920.000000,516489.000000
1401.276494,0.182647,776342.000000,509807.000000
1404.588477,0.187748,773563.000000,502051.000000
1407.896328,0.193527,769684.000000,492930.000000
1411.200050,0.200026,765635.000000,483054.000000
1414.499641,0.208299,762767.000000,472164.000000
1417.795101,0.217331,760810.000000,461259.000000
1421.086432,0.227690,758503.000000,449022.000000
1424.373632,0.238260,755935.000000,436741.000000
1428.750140,0.252113,753840.000000,421858.000000
1432.027703,0.261911,752941.000000,411955.000000
1435.301135,0.271744,751451.000000,401936.000000
1438.570437,0.280606,750582.000000,393362.000000
1441.835609,0.287986,749740.000000,386300.000000
1445.096650,0.294162,748245.000000,380086.000000
1448.353561,0.298920,747231.000000,375435.000000
1451.606342,0.303378,746115.000000,371046.000000
1454.854992,0.305904,743794.000000,367747.000000
1459.180101,0.309565,741747.000000,363656.000000
1462.419114,0.310908,739561.000000,361465.000000
1465.653997,0.310732,736862.000000,360292.000000
1468.884749,0.310577,734038.000000,359039.000000
1472.111371,0.311046,730885.000000,357111.000000
1475.333862,0.310800,727271.000000,355546.000000
1478.552224,0.310139,723938.000000,354456.000000
1481.766455,0.309055,721040.000000,353919.000000
1484.976555,0.307883,717684.000000,353224.000000
1488.182525,0.305796,713601.000000,352906.000000
1492.450728,0.304007,708541.000000,351850.000000
1495.647060,0.302737,704632.000000,350934.000000
1498.839263,0.300886,700712.000000,350472.000000
1502.027335,0.298662,695967.000000,349886.000000
1505.211277,0.296063,691038.000000,349493.000000
1508.391088,0.293644,686052.000000,348910.000000
1511.566770,0.291975,680877.000000,347611.000000
1514.738321,0.289623,675427.000000,346701.000000
1517.905741,0.287191,670152.000000,345925.000000
1522.122544,0.283633,662097.000000,344579.000000
1525.280327,0.281265,656403.000000,343483.000000
1528.433979,0.279424,650810.000000,342003.000000
1531.583502,0.277880,644842.000000,340074.000000
1534.728894,0.275466,638224.000000,338460.000000
1537.870156,0.273727,631155.000000,336054.000000
1541.007287,0.272720,625001.000000,333550.000000
1544.140289,0.270844,618097.000000,331293.000000
