Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:38:29,,
Header Version:,1,,
System Temp hundredths:,3059,,
Detector Temp hundredths:,2815,,
Humidity hundredths:,1678,,
Lamp PD:,3766,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.530446,64701.000000,19075.000000
905.903443,0.452299,80807.000000,28520.000000
909.784033,0.403470,90252.000000,35644.000000
913.660493,0.369987,98832.000000,42161.000000
917.532823,0.355929,108214.000000,47682.000000
921.401023,0.361854,120081.000000,52194.000000
925.265092,0.368108,134618.000000,57676.000000
929.125031,0.371833,152080.000000,64601.000000
932.980840,0.372298,171754.000000,72880.000000
936.832518,0.366879,192235.000000,82595.000000
941.961664,0.354087,218303.000000,96599.000000
945.803705,0.343278,236285.000000,107191.000000
949.641615,0.333129,252581.000000,117293.000000
953.475395,0.324500,268843.000000,127350.000000
957.305045,0.319310,284409.000000,136343.000000
961.130565,0.316345,300415.000000,145003.000000
964.951954,0.313966,315812.000000,153272.000000
968.769213,0.312559,331706.000000,161508.000000
972.582341,0.312381,347597.000000,169315.000000
976.391340,0.310732,362603.000000,177296.000000
981.463579,0.309899,381663.000000,186974.000000
985.262940,0.309407,394207.000000,193338.000000
989.058170,0.307821,405268.000000,199490.000000
992.849270,0.306947,414919.000000,204652.000000
996.636240,0.304661,422744.000000,209612.000000
1000.419080,0.302591,429985.000000,214221.000000
1004.197789,0.301446,435731.000000,217657.000000
1007.972367,0.298862,439787.000000,220994.000000
1011.742816,0.297392,442999.000000,223363.000000
1016.763656,0.295270,446147.000000,226052.000000
1020.524467,0.293370,447570.000000,227767.000000
1024.281147,0.291499,448137.000000,229040.000000
1028.033698,0.290135,447447.000000,229407.000000
1031.782118,0.288927,447066.000000,229850.000000
1035.526408,0.288041,446139.000000,229842.000000
1039.266567,0.287120,445335.000000,229915.000000
