Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:44:36,,
Header Version:,1,,
System Temp hundredths:,3217,,
Detector Temp hundredths:,2973,,
Humidity hundredths:,1413,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.478493,64701.000000,21499.000000
905.903443,0.384301,80807.000000,33354.000000
909.784033,0.333087,90252.000000,41915.000000
913.660493,0.303383,98832.000000,49149.000000
917.532823,0.293858,108214.000000,55008.000000
921.401023,0.298495,120081.000000,60392.000000
925.265092,0.306491,134618.000000,66468.000000
929.125031,0.311522,152080.000000,74225.000000
932.980840,0.317895,171754.000000,82606.000000
936.832518,0.314654,192235.000000,93149.000000
941.961664,0.305596,218303.000000,108010.000000
945.803705,0.296308,236285.000000,119434.000000
949.641615,0.288397,252581.000000,130018.000000
953.475395,0.284072,268843.000000,139774.000000
957.305045,0.282852,284409.000000,148283.000000
961.130565,0.284828,300415.000000,155917.000000
964.951954,0.286187,315812.000000,163396.000000
968.769213,0.288695,331706.000000,170631.000000
972.582341,0.293719,347597.000000,176749.000000
976.391340,0.296288,362603.000000,183292.000000
981.463579,0.300378,381663.000000,191118.000000
985.262940,0.303721,394207.000000,195886.000000
989.058170,0.304771,405268.000000,200896.000000
992.849270,0.306366,414919.000000,204926.000000
996.636240,0.305836,422744.000000,209046.000000
1000.419080,0.306599,429985.000000,212253.000000
1004.197789,0.305614,435731.000000,215578.000000
1007.972367,0.303819,439787.000000,218486.000000
1011.742816,0.304102,442999.000000,219938.000000
1016.763656,0.303334,446147.000000,221893.000000
1020.524467,0.302509,447570.000000,223024.000000
1024.281147,0.300851,448137.000000,224161.000000
1028.033698,0.300705,447447.000000,223891.000000
1031.782118,0.301481,447066.000000,223301.000000
1035.526408,0.299631,446139.000000,223789.000000
1039.266567,0.298998,445335.000000,223712.000000
1043.002596,0.298398,443993.000000,223346.000000
1046.734495,0.297555,441985.000000,222768.000000
1050.462263,0.296730,439703.000000,222039.000000
1055.426196,0.296807,438747.000000,221517.000000
1059.144327,0.296959,437920.000000,221022.000000
1062.858328,0.297389,436828.000000,220253.000000
1066.568198,0.297646,436218.000000,219815.000000
1070.273938,0.296633,437019.000000,220733.000000
1073.975548,0.298450,437923.000000,220266.000000
1077.673027,0.297270,438436.000000,221124.000000
1081.366376,0.297422,439593.000000,221630.000000
1085.055595,0.296963,441201.000000,222676.000000
1089.968128,0.295672,442941.000000,224220.000000
1093.647709,0.295102,445537.000000,225830.000000
1097.323160,0.294403,448116.000000,227503.000000
1100.994481,0.293365,449422.000000,228712.000000
1104.661671,0.291001,451109.000000,230824.000000
1108.324731,0.290593,453992.000000,232517.000000
1111.983661,0.287904,457203.000000,235616.000000
1115.638460,0.286350,459746.000000,237776.000000
1119.289129,0.284865,461686.000000,239597.000000
1124.150263,0.282046,463762.000000,242242.000000
1127.791294,0.280541,465594.000000,244043.000000
1131.428195,0.278899,467340.000000,245886.000000
1135.060966,0.277984,468769.000000,247158.000000
1138.689607,0.278440,470277.000000,247693.000000
1142.314117,0.280654,471885.000000,247276.000000
1145.934497,0.281807,474025.000000,247739.000000
1149.550746,0.283996,475849.000000,247442.000000
1153.162866,0.287358,477793.000000,246537.000000
1156.770855,0.289809,479500.000000,246025.000000
1161.575081,0.294592,482364.000000,244784.000000
1165.173433,0.297685,485131.000000,244441.000000
1168.767654,0.301874,488511.000000,243781.000000
1172.357745,0.306015,491250.000000,242822.000000
1175.943705,0.309790,494537.000000,242331.000000
1179.525536,0.313902,498615.000000,242027.000000
1183.103235,0.318022,504468.000000,242556.000000
1186.676805,0.321914,510422.000000,243229.000000
1190.246244,0.328105,516637.000000,242706.000000
1194.999071,0.334340,526142.000000,243648.000000
1198.558873,0.337295,533671.000000,245459.000000
1202.114544,0.342291,540939.000000,245956.000000
1205.666086,0.345661,548916.000000,247654.000000
1209.213496,0.347069,558110.000000,250987.000000
1212.756777,0.348840,566953.000000,253926.000000
1216.295927,0.351075,575650.000000,256498.000000
1219.830947,0.351771,584869.000000,260188.000000
1223.361836,0.349584,595021.000000,266041.000000
1226.888595,0.348149,604954.000000,271377.000000
1231.584516,0.345534,617050.000000,278475.000000
1235.101637,0.342425,626559.000000,284798.000000
1238.614629,0.339987,636932.000000,291143.000000
1242.123490,0.338137,647247.000000,297121.000000
1245.628220,0.337492,655372.000000,301298.000000
1249.128821,0.336205,664642.000000,306466.000000
1252.625291,0.334381,674555.000000,312346.000000
1256.117630,0.334040,684692.000000,317289.000000
1259.605840,0.334955,692978.000000,320453.000000
1264.250361,0.335188,706063.000000,326329.000000
1267.728933,0.335869,716021.000000,330413.000000
1271.203374,0.336498,725552.000000,334326.000000
1274.673686,0.336557,734127.000000,338232.000000
1278.139867,0.335741,742906.000000,342920.000000
1281.601917,0.335463,750480.000000,346638.000000
1285.059838,0.335576,757621.000000,349845.000000
1288.513627,0.335575,764167.000000,352869.000000
1291.963287,0.334606,771928.000000,357249.000000
1296.556408,0.333126,779372.000000,361925.000000
1299.996431,0.332410,783046.000000,364231.000000
1303.432322,0.332074,787236.000000,366464.000000
1306.864084,0.331175,792393.000000,369629.000000
1310.291715,0.330226,796376.000000,372299.000000
1313.715216,0.329897,798307.000000,373485.000000
1317.134587,0.329935,801175.000000,374794.000000
1320.549827,0.330296,804861.000000,376205.000000
1323.960937,0.330426,807833.000000,377481.000000
1327.367917,0.330951,809608.000000,377854.000000
1331.904131,0.332258,811327.000000,377518.000000
1335.301473,0.333727,812775.000000,376915.000000
1338.694685,0.335249,813544.000000,375952.000000
1342.083767,0.337000,812602.000000,374005.000000
1345.468718,0.339282,811826.000000,371690.000000
1348.849539,0.341604,811585.000000,369598.000000
1352.226229,0.344924,810158.000000,366139.000000
1355.598789,0.348460,807876.000000,362147.000000
1358.967219,0.351175,805252.000000,358721.000000
1363.452034,0.355942,804229.000000,354354.000000
1366.810826,0.360333,803029.000000,350266.000000
1370.165488,0.364843,801212.000000,345863.000000
1373.516020,0.369084,799981.000000,341976.000000
1376.862422,0.371523,798624.000000,339484.000000
1380.204693,0.374339,795747.000000,336075.000000
1383.542834,0.377801,792504.000000,332048.000000
1386.876844,0.381953,790222.000000,327941.000000
1390.206724,0.386033,788607.000000,324211.000000
1393.532474,0.390443,785518.000000,319678.000000
1397.960382,0.395939,779920.000000,313409.000000
1401.276494,0.402404,776342.000000,307361.000000
1404.588477,0.409004,773563.000000,301642.000000
1407.896328,0.415900,769684.000000,295401.000000
1411.200050,0.422714,765635.000000,289273.000000
1414.499641,0.431769,762767.000000,282243.000000
1417.795101,0.441513,760810.000000,275273.000000
1421.086432,0.453257,758503.000000,267116.000000
1424.373632,0.463029,755935.000000,260289.000000
1428.750140,0.477120,753840.000000,251281.000000
1432.027703,0.486428,752941.000000,245659.000000
1435.301135,0.495525,751451.000000,240091.000000
1438.570437,0.505170,750582.000000,234546.000000
1441.835609,0.511739,749740.000000,230766.000000
1445.096650,0.517446,748245.000000,227299.000000
1448.353561,0.522451,747231.000000,224390.000000
1451.606342,0.526459,746115.000000,221997.000000
1454.854992,0.529761,743794.000000,219630.000000
1459.180101,0.534357,741747.000000,216720.000000
1462.419114,0.535849,739561.000000,215340.000000
1465.653997,0.536338,736862.000000,214313.000000
1468.884749,0.536852,734038.000000,213239.000000
1472.111371,0.538116,730885.000000,211706.000000
1475.333862,0.540150,727271.000000,209675.000000
1478.552224,0.541087,723938.000000,208264.000000
1481.766455,0.540115,721040.000000,207895.000000
1484.976555,0.540385,717684.000000,206799.000000
1488.182525,0.540574,713601.000000,205533.000000
1492.450728,0.540684,708541.000000,204024.000000
1495.647060,0.541016,704632.000000,202743.000000
1498.839263,0.542205,700712.000000,201064.000000
1502.027335,0.542037,695967.000000,199780.000000
1505.211277,0.539809,691038.000000,199385.000000
1508.391088,0.539514,686052.000000,198081.000000
1511.566770,0.538993,680877.000000,196823.000000
1514.738321,0.538061,675427.000000,195667.000000
1517.905741,0.538018,670152.000000,194158.000000
1522.122544,0.536866,662097.000000,192334.000000
1525.280327,0.534947,656403.000000,191524.000000
1528.433979,0.531183,650810.000000,191545.000000
1531.583502,0.531191,644842.000000,189785.000000
1534.728894,0.530785,638224.000000,188013.000000
1537.870156,0.529895,631155.000000,186312.000000
1541.007287,0.528725,625001.000000,184993.000000
1544.140289,0.526628,618097.000000,183835.000000
1547.269159,0.524933,610689.000000,182342.000000
1550.393900,0.521587,602954.000000,181425.000000
1554.553796,0.520697,592300.000000,178585.000000
1557.668899,0.521047,584592.000000,176119.000000
1560.779871,0.519679,576368.000000,174189.000000
1563.886714,0.517926,568025.000000,172362.000000
1566.989426,0.516274,559352.000000,170377.000000
1570.088008,0.513908,550305.000000,168537.000000
1573.182459,0.513496,541598.000000,166028.000000
1576.272780,0.513258,532727.000000,163398.000000
1579.358971,0.512846,523890.000000,160840.000000
1583.467467,0.511847,510646.000000,157135.000000
1586.544020,0.509197,501212.000000,155176.000000
1589.616443,0.506922,492392.000000,153246.000000
1592.684736,0.504417,482586.000000,151063.000000
1595.748898,0.502071,472996.000000,148863.000000
1598.808930,0.501815,462978.000000,145796.000000
1601.864832,0.500347,453381.000000,143257.000000
1604.916603,0.498904,443779.000000,140690.000000
1607.964244,0.496560,433789.000000,138267.000000
1612.021341,0.492743,420216.000000,135123.000000
1615.059344,0.487604,409971.000000,133398.000000
1618.093218,0.486562,400631.000000,130672.000000
1621.122961,0.484051,390490.000000,128103.000000
1624.148573,0.482796,380379.000000,125147.000000
1627.170055,0.482576,370204.000000,121861.000000
1630.187407,0.481931,360433.000000,118821.000000
1633.200629,0.479044,350418.000000,116290.000000
1636.209720,0.475214,340597.000000,114032.000000
1639.214681,0.473371,330782.000000,111217.000000
1643.214871,0.471153,317788.000000,107395.000000
1646.210195,0.469771,307687.000000,104313.000000
1649.201388,0.469763,297078.000000,100718.000000
1652.188451,0.467498,287199.000000,97878.000000
1655.171383,0.463797,276866.000000,95164.000000
1658.150185,0.459820,265166.000000,91981.000000
1661.124857,0.453958,252362.000000,88729.000000
1664.095399,0.444599,238503.000000,85683.000000
1667.061810,0.437981,222332.000000,81100.000000
1671.010600,0.421968,197141.000000,74612.000000
1673.967374,0.404126,175847.000000,69344.000000
1676.920017,0.388052,154167.000000,63087.000000
1679.868531,0.378382,132946.000000,55628.000000
1682.812913,0.358510,113053.000000,49519.000000
1685.753166,0.355117,95698.000000,42246.000000
1688.689288,0.352476,80645.000000,35818.000000
1691.621280,0.355429,68011.000000,30002.000000
1694.549141,0.371304,57785.000000,24576.000000
1697.472873,0.385363,49231.000000,20271.000000
1701.364756,0.409314,40194.000000,15662.000000
