Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:52:39,,
Header Version:,1,,
System Temp hundredths:,3339,,
Detector Temp hundredths:,3151,,
Humidity hundredths:,1234,,
Lamp PD:,3766,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.433532,64701.000000,23844.000000
905.903443,0.356402,80807.000000,35567.000000
909.784033,0.313834,90252.000000,43815.000000
913.660493,0.285051,98832.000000,51268.000000
917.532823,0.272859,108214.000000,57733.000000
921.401023,0.269921,120081.000000,64499.000000
925.265092,0.276861,134618.000000,71161.000000
929.125031,0.282088,152080.000000,79430.000000
932.980840,0.285185,171754.000000,89068.000000
936.832518,0.276379,192235.000000,101731.000000
941.961664,0.262121,218303.000000,119382.000000
945.803705,0.249767,236285.000000,132944.000000
949.641615,0.237029,252581.000000,146343.000000
953.475395,0.226284,268843.000000,159667.000000
957.305045,0.218918,284409.000000,171801.000000
961.130565,0.211921,300415.000000,184417.000000
964.951954,0.207594,315812.000000,195810.000000
968.769213,0.203589,331706.000000,207570.000000
972.582341,0.200152,347597.000000,219242.000000
976.391340,0.196943,362603.000000,230403.000000
981.463579,0.192388,381663.000000,245071.000000
985.262940,0.188837,394207.000000,255204.000000
989.058170,0.185527,405268.000000,264372.000000
992.849270,0.182450,414919.000000,272592.000000
996.636240,0.178423,422744.000000,280320.000000
1000.419080,0.174533,429985.000000,287687.000000
1004.197789,0.171301,435731.000000,293709.000000
1007.972367,0.168365,439787.000000,298454.000000
1011.742816,0.165423,442999.000000,302677.000000
1016.763656,0.162362,446147.000000,306984.000000
1020.524467,0.159609,447570.000000,309922.000000
1024.281147,0.158279,448137.000000,311266.000000
1028.033698,0.155604,447447.000000,312707.000000
1031.782118,0.154317,447066.000000,313368.000000
1035.526408,0.152547,446139.000000,313995.000000
1039.266567,0.150527,445335.000000,314891.000000
1043.002596,0.149355,443993.000000,314790.000000
1046.734495,0.147394,441985.000000,314785.000000
1050.462263,0.146289,439703.000000,313957.000000
1055.426196,0.145283,438747.000000,314001.000000
1059.144327,0.144767,437920.000000,313782.000000
1062.858328,0.144234,436828.000000,313384.000000
1066.568198,0.144247,436218.000000,312937.000000
1070.273938,0.143792,437019.000000,313840.000000
1073.975548,0.143646,437923.000000,314595.000000
1077.673027,0.143025,438436.000000,315414.000000
1081.366376,0.142834,439593.000000,316386.000000
1085.055595,0.143224,441201.000000,317258.000000
1089.968128,0.142101,442941.000000,319334.000000
1093.647709,0.141870,445537.000000,321376.000000
1097.323160,0.140815,448116.000000,324023.000000
1100.994481,0.140250,449422.000000,325390.000000
1104.661671,0.139614,451109.000000,327090.000000
1108.324731,0.138313,453992.000000,330168.000000
1111.983661,0.137772,457203.000000,332918.000000
1115.638460,0.137035,459746.000000,335338.000000
1119.289129,0.136628,461686.000000,337069.000000
1124.150263,0.135042,463762.000000,339823.000000
1127.791294,0.134102,465594.000000,341905.000000
1131.428195,0.134372,467340.000000,342974.000000
1135.060966,0.133780,468769.000000,344492.000000
1138.689607,0.134547,470277.000000,344990.000000
1142.314117,0.135171,471885.000000,345673.000000
1145.934497,0.136097,474025.000000,346501.000000
1149.550746,0.137641,475849.000000,346600.000000
1153.162866,0.139283,477793.000000,346702.000000
1156.770855,0.141385,479500.000000,346261.000000
1161.575081,0.144309,482364.000000,345992.000000
1165.173433,0.146356,485131.000000,346340.000000
1168.767654,0.149669,488511.000000,346103.000000
1172.357745,0.151952,491250.000000,346219.000000
1175.943705,0.154270,494537.000000,346680.000000
1179.525536,0.156280,498615.000000,347925.000000
1183.103235,0.158356,504468.000000,350330.000000
1186.676805,0.161263,510422.000000,352100.000000
1190.246244,0.165616,516637.000000,352833.000000
1194.999071,0.170015,526142.000000,355703.000000
1198.558873,0.173579,533671.000000,357845.000000
1202.114544,0.176696,540939.000000,360124.000000
1205.666086,0.180047,548916.000000,362626.000000
1209.213496,0.182453,558110.000000,366663.000000
1212.756777,0.185237,566953.000000,370092.000000
1216.295927,0.186636,575650.000000,374561.000000
1219.830947,0.185659,584869.000000,381417.000000
1223.361836,0.183390,595021.000000,390070.000000
1226.888595,0.178888,604954.000000,400714.000000
