Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:43:53,,
Header Version:,1,,
System Temp hundredths:,3178,,
Detector Temp hundredths:,2962,,
Humidity hundredths:,1466,,
Lamp PD:,3769,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.764377,64701.000000,11131.000000
905.903443,0.675597,80807.000000,17055.000000
909.784033,0.621566,90252.000000,21572.000000
913.660493,0.580258,98832.000000,25980.000000
917.532823,0.568128,108214.000000,29252.000000
921.401023,0.569332,120081.000000,32370.000000
925.265092,0.573634,134618.000000,35931.000000
929.125031,0.585244,152080.000000,39521.000000
932.980840,0.593254,171754.000000,43818.000000
936.832518,0.594071,192235.000000,48951.000000
941.961664,0.579196,218303.000000,57526.000000
945.803705,0.572204,236285.000000,63275.000000
949.641615,0.560610,252581.000000,69469.000000
953.475395,0.554559,268843.000000,74979.000000
957.305045,0.553866,284409.000000,79447.000000
961.130565,0.550921,300415.000000,84489.000000
964.951954,0.555237,315812.000000,87941.000000
968.769213,0.557920,331706.000000,91798.000000
972.582341,0.562243,347597.000000,95243.000000
976.391340,0.566436,362603.000000,98400.000000
981.463579,0.572093,381663.000000,102232.000000
985.262940,0.575065,394207.000000,104872.000000
989.058170,0.575797,405268.000000,107633.000000
992.849270,0.577796,414919.000000,109690.000000
996.636240,0.577581,422744.000000,111814.000000
1000.419080,0.579668,429985.000000,113184.000000
1004.197789,0.578453,435731.000000,115018.000000
1007.972367,0.577681,439787.000000,116295.000000
1011.742816,0.577801,442999.000000,117112.000000
1016.763656,0.576016,446147.000000,118430.000000
1020.524467,0.575537,447570.000000,118939.000000
1024.281147,0.573948,448137.000000,119526.000000
1028.033698,0.573686,447447.000000,119414.000000
1031.782118,0.571190,447066.000000,120000.000000
1035.526408,0.570582,446139.000000,119919.000000
1039.266567,0.568891,445335.000000,120170.000000
1043.002596,0.566739,443993.000000,120403.000000
1046.734495,0.565922,441985.000000,120084.000000
1050.462263,0.564065,439703.000000,119976.000000
1055.426196,0.563424,438747.000000,119892.000000
1059.144327,0.562105,437920.000000,120030.000000
1062.858328,0.561647,436828.000000,119857.000000
1066.568198,0.561729,436218.000000,119667.000000
1070.273938,0.559953,437019.000000,120378.000000
1073.975548,0.560104,437923.000000,120585.000000
1077.673027,0.559207,438436.000000,120976.000000
1081.366376,0.558078,439593.000000,121611.000000
