Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:49:41,,
Header Version:,1,,
System Temp hundredths:,3301,,
Detector Temp hundredths:,3100,,
Humidity hundredths:,1297,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.222852,64701.000000,38731.000000
905.903443,0.149075,80807.000000,57329.000000
909.784033,0.099556,90252.000000,71763.000000
913.660493,0.070680,98832.000000,83988.000000
917.532823,0.060154,108214.000000,94217.000000
921.401023,0.062612,120081.000000,103959.000000
925.265092,0.070142,134618.000000,114541.000000
929.125031,0.074791,152080.000000,128021.000000
932.980840,0.079665,171754.000000,142969.000000
936.832518,0.075378,192235.000000,161605.000000
941.961664,0.061760,218303.000000,189365.000000
945.803705,0.050392,236285.000000,210399.000000
949.641615,0.040735,252581.000000,229967.000000
953.475395,0.031486,268843.000000,250042.000000
957.305045,0.026608,284409.000000,267507.000000
961.130565,0.022683,300415.000000,285127.000000
964.951954,0.020718,315812.000000,301100.000000
968.769213,0.019749,331706.000000,316960.000000
972.582341,0.018753,347597.000000,332907.000000
976.391340,0.018068,362603.000000,347827.000000
981.463579,0.017567,381663.000000,366533.000000
985.262940,0.016657,394207.000000,379374.000000
989.058170,0.015080,405268.000000,391437.000000
992.849270,0.014119,414919.000000,401647.000000
996.636240,0.012425,422744.000000,410821.000000
1000.419080,0.010701,429985.000000,419520.000000
1004.197789,0.009579,435731.000000,426226.000000
1007.972367,0.007275,439787.000000,432481.000000
1011.742816,0.005640,442999.000000,437283.000000
1016.763656,0.003694,446147.000000,442368.000000
1020.524467,0.002684,447570.000000,444812.000000
1024.281147,0.001893,448137.000000,446188.000000
