Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:54:13,,
Header Version:,1,,
System Temp hundredths:,3344,,
Detector Temp hundredths:,3180,,
Humidity hundredths:,1205,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.842195,64701.000000,9305.000000
905.903443,0.751172,80807.000000,14331.000000
909.784033,0.715882,90252.000000,17361.000000
913.660493,0.683907,98832.000000,20464.000000
917.532823,0.669076,108214.000000,23185.000000
921.401023,0.675017,120081.000000,25378.000000
925.265092,0.679733,134618.000000,28143.000000
929.125031,0.689591,152080.000000,31080.000000
932.980840,0.691224,171754.000000,34969.000000
936.832518,0.688645,192235.000000,39372.000000
941.961664,0.674249,218303.000000,46218.000000
945.803705,0.659299,236285.000000,51777.000000
949.641615,0.649392,252581.000000,56625.000000
953.475395,0.637850,268843.000000,61894.000000
957.305045,0.637430,284409.000000,65541.000000
961.130565,0.635256,300415.000000,69577.000000
964.951954,0.633224,315812.000000,73486.000000
968.769213,0.636100,331706.000000,76675.000000
972.582341,0.636436,347597.000000,80286.000000
976.391340,0.638625,362603.000000,83331.000000
981.463579,0.639558,381663.000000,87523.000000
985.262940,0.642052,394207.000000,89882.000000
989.058170,0.642898,405268.000000,92224.000000
992.849270,0.641705,414919.000000,94680.000000
996.636240,0.642316,422744.000000,96330.000000
1000.419080,0.642981,429985.000000,97830.000000
1004.197789,0.642856,435731.000000,99166.000000
1007.972367,0.640839,439787.000000,100555.000000
1011.742816,0.638548,442999.000000,101825.000000
