Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:46:57,,
Header Version:,1,,
System Temp hundredths:,3266,,
Detector Temp hundredths:,3036,,
Humidity hundredths:,1336,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.744361,64701.000000,11656.000000
905.903443,0.669754,80807.000000,17286.000000
909.784033,0.613093,90252.000000,21997.000000
913.660493,0.590013,98832.000000,25403.000000
917.532823,0.573731,108214.000000,28877.000000
921.401023,0.580916,120081.000000,31518.000000
925.265092,0.586104,134618.000000,34914.000000
929.125031,0.597809,152080.000000,38394.000000
932.980840,0.599775,171754.000000,43165.000000
936.832518,0.602248,192235.000000,48038.000000
941.961664,0.587858,218303.000000,56390.000000
945.803705,0.577292,236285.000000,62538.000000
949.641615,0.566412,252581.000000,68547.000000
953.475395,0.559270,268843.000000,74170.000000
957.305045,0.554572,284409.000000,79318.000000
961.130565,0.553716,300415.000000,83947.000000
964.951954,0.551882,315812.000000,88623.000000
968.769213,0.554424,331706.000000,92540.000000
972.582341,0.557698,347597.000000,96245.000000
976.391340,0.559418,362603.000000,100003.000000
981.463579,0.562634,381663.000000,104483.000000
985.262940,0.563973,394207.000000,107585.000000
989.058170,0.563917,405268.000000,110618.000000
992.849270,0.566707,414919.000000,112527.000000
996.636240,0.563345,422744.000000,115540.000000
1000.419080,0.563216,429985.000000,117554.000000
1004.197789,0.562094,435731.000000,119433.000000
1007.972367,0.562944,439787.000000,120309.000000
1011.742816,0.558628,442999.000000,122398.000000
1016.763656,0.557667,446147.000000,123541.000000
1020.524467,0.555291,447570.000000,124615.000000
1024.281147,0.554112,448137.000000,125112.000000
1028.033698,0.552302,447447.000000,125441.000000
1031.782118,0.551199,447066.000000,125653.000000
1035.526408,0.548790,446139.000000,126090.000000
1039.266567,0.545948,445335.000000,126689.000000
1043.002596,0.544548,443993.000000,126715.000000
1046.734495,0.543066,441985.000000,126573.000000
1050.462263,0.542286,439703.000000,126146.000000
1055.426196,0.539561,438747.000000,126664.000000
1059.144327,0.538920,437920.000000,126612.000000
1062.858328,0.538141,436828.000000,126523.000000
1066.568198,0.539481,436218.000000,125957.000000
1070.273938,0.537494,437019.000000,126767.000000
