Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:48:35,,
Header Version:,1,,
System Temp hundredths:,3296,,
Detector Temp hundredths:,3071,,
Humidity hundredths:,1303,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.548436,64701.000000,18301.000000
905.903443,0.467280,80807.000000,27553.000000
909.784033,0.421113,90252.000000,34225.000000
913.660493,0.387421,98832.000000,40502.000000
917.532823,0.378281,108214.000000,45290.000000
921.401023,0.373936,120081.000000,50762.000000
925.265092,0.384255,134618.000000,55571.000000
929.125031,0.384908,152080.000000,62685.000000
932.980840,0.389858,171754.000000,69992.000000
936.832518,0.383607,192235.000000,79474.000000
941.961664,0.368606,218303.000000,93423.000000
945.803705,0.357377,236285.000000,103767.000000
949.641615,0.344165,252581.000000,114350.000000
953.475395,0.333866,268843.000000,124633.000000
957.305045,0.326881,284409.000000,133987.000000
961.130565,0.321309,300415.000000,143355.000000
964.951954,0.317539,315812.000000,152016.000000
968.769213,0.314824,331706.000000,160668.000000
972.582341,0.312332,347597.000000,169334.000000
976.391340,0.309326,362603.000000,177871.000000
981.463579,0.306279,381663.000000,188539.000000
985.262940,0.304360,394207.000000,195598.000000
989.058170,0.300520,405268.000000,202872.000000
992.849270,0.298279,414919.000000,208778.000000
996.636240,0.294853,422744.000000,214400.000000
1000.419080,0.292488,429985.000000,219263.000000
1004.197789,0.289098,435731.000000,223934.000000
1007.972367,0.286206,439787.000000,227529.000000
1011.742816,0.284513,442999.000000,230086.000000
1016.763656,0.282323,446147.000000,232892.000000
1020.524467,0.280152,447570.000000,234806.000000
1024.281147,0.277883,448137.000000,236335.000000
1028.033698,0.275642,447447.000000,237192.000000
1031.782118,0.275154,447066.000000,237256.000000
1035.526408,0.273702,446139.000000,237557.000000
1039.266567,0.271896,445335.000000,238117.000000
1043.002596,0.270407,443993.000000,238215.000000
1046.734495,0.268913,441985.000000,237955.000000
1050.462263,0.267145,439703.000000,237692.000000
1055.426196,0.267429,438747.000000,237020.000000
1059.144327,0.266174,437920.000000,237258.000000
1062.858328,0.265692,436828.000000,236929.000000
1066.568198,0.266058,436218.000000,236399.000000
