Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:43:4,,
Header Version:,1,,
System Temp hundredths:,3158,,
Detector Temp hundredths:,2976,,
Humidity hundredths:,1524,,
Lamp PD:,3770,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.582793,64701.000000,16909.000000
905.903443,0.512840,80807.000000,24809.000000
909.784033,0.464207,90252.000000,30992.000000
913.660493,0.433856,98832.000000,36395.000000
917.532823,0.422953,108214.000000,40863.000000
921.401023,0.422887,120081.000000,45351.000000
925.265092,0.424189,134618.000000,50689.000000
929.125031,0.423380,152080.000000,57371.000000
932.980840,0.424842,171754.000000,64575.000000
936.832518,0.416153,192235.000000,73736.000000
941.961664,0.400725,218303.000000,86763.000000
945.803705,0.387238,236285.000000,96872.000000
949.641615,0.374904,252581.000000,106536.000000
953.475395,0.367346,268843.000000,115386.000000
957.305045,0.358736,284409.000000,124511.000000
961.130565,0.354556,300415.000000,132790.000000
964.951954,0.349831,315812.000000,141123.000000
968.769213,0.348358,331706.000000,148729.000000
972.582341,0.345475,347597.000000,156892.000000
976.391340,0.343530,362603.000000,164400.000000
981.463579,0.342433,381663.000000,173479.000000
985.262940,0.339753,394207.000000,180290.000000
989.058170,0.338395,405268.000000,185929.000000
992.849270,0.336846,414919.000000,191037.000000
996.636240,0.336386,422744.000000,194846.000000
1000.419080,0.333685,429985.000000,199420.000000
1004.197789,0.331804,435731.000000,202962.000000
1007.972367,0.329748,439787.000000,205823.000000
1011.742816,0.328471,442999.000000,207937.000000
1016.763656,0.325609,446147.000000,210799.000000
1020.524467,0.324435,447570.000000,212044.000000
1024.281147,0.323641,448137.000000,212701.000000
1028.033698,0.322213,447447.000000,213073.000000
1031.782118,0.321100,447066.000000,213438.000000
1035.526408,0.319965,446139.000000,213553.000000
1039.266567,0.319079,445335.000000,213603.000000
1043.002596,0.318153,443993.000000,213414.000000
1046.734495,0.317377,441985.000000,212829.000000
1050.462263,0.315751,439703.000000,212524.000000
1055.426196,0.316670,438747.000000,211614.000000
1059.144327,0.316345,437920.000000,211373.000000
1062.858328,0.316784,436828.000000,210633.000000
1066.568198,0.317462,436218.000000,210011.000000
1070.273938,0.317242,437019.000000,210503.000000
1073.975548,0.317954,437923.000000,210593.000000
1077.673027,0.319389,438436.000000,210144.000000
1081.366376,0.319432,439593.000000,210678.000000
1085.055595,0.320099,441201.000000,211124.000000
1089.968128,0.321652,442941.000000,211200.000000
1093.647709,0.321707,445537.000000,212411.000000
1097.323160,0.323413,448116.000000,212803.000000
1100.994481,0.323775,449422.000000,213245.000000
1104.661671,0.324922,451109.000000,213481.000000
1108.324731,0.325694,453992.000000,214464.000000
1111.983661,0.327594,457203.000000,215038.000000
