Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:39:15,,
Header Version:,1,,
System Temp hundredths:,3089,,
Detector Temp hundredths:,2848,,
Humidity hundredths:,1635,,
Lamp PD:,3771,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.529628,64701.000000,19111.000000
905.903443,0.444482,80807.000000,29038.000000
909.784033,0.393057,90252.000000,36509.000000
913.660493,0.366529,98832.000000,42498.000000
917.532823,0.364790,108214.000000,46719.000000
921.401023,0.364207,120081.000000,51912.000000
925.265092,0.370214,134618.000000,57397.000000
929.125031,0.377558,152080.000000,63755.000000
932.980840,0.376310,171754.000000,72210.000000
936.832518,0.370814,192235.000000,81850.000000
941.961664,0.359830,218303.000000,95330.000000
945.803705,0.348889,236285.000000,105815.000000
949.641615,0.340266,252581.000000,115381.000000
953.475395,0.333235,268843.000000,124814.000000
957.305045,0.327082,284409.000000,133925.000000
961.130565,0.325966,300415.000000,141826.000000
964.951954,0.325497,315812.000000,149256.000000
968.769213,0.325648,331706.000000,156713.000000
972.582341,0.326248,347597.000000,163994.000000
976.391340,0.327211,362603.000000,170695.000000
981.463579,0.329628,381663.000000,178670.000000
985.262940,0.330751,394207.000000,184066.000000
989.058170,0.330014,405268.000000,189552.000000
992.849270,0.330513,414919.000000,193843.000000
996.636240,0.329561,422744.000000,197932.000000
1000.419080,0.329025,429985.000000,201571.000000
1004.197789,0.328226,435731.000000,204641.000000
1007.972367,0.326561,439787.000000,207339.000000
1011.742816,0.324345,442999.000000,209922.000000
1016.763656,0.324344,446147.000000,211414.000000
1020.524467,0.321394,447570.000000,213534.000000
1024.281147,0.321054,448137.000000,213972.000000
1028.033698,0.319572,447447.000000,214373.000000
1031.782118,0.318246,447066.000000,214845.000000
1035.526408,0.317466,446139.000000,214785.000000
1039.266567,0.315681,445335.000000,215281.000000
1043.002596,0.314554,443993.000000,215190.000000
1046.734495,0.313770,441985.000000,214604.000000
1050.462263,0.312764,439703.000000,213991.000000
1055.426196,0.312137,438747.000000,213834.000000
1059.144327,0.311946,437920.000000,213525.000000
1062.858328,0.312384,436828.000000,212778.000000
1066.568198,0.312263,436218.000000,212540.000000
1070.273938,0.312427,437019.000000,212850.000000
1073.975548,0.312472,437923.000000,213268.000000
1077.673027,0.312191,438436.000000,213656.000000
1081.366376,0.312418,439593.000000,214108.000000
1085.055595,0.312875,441201.000000,214665.000000
1089.968128,0.311922,442941.000000,215985.000000
1093.647709,0.312370,445537.000000,217027.000000
1097.323160,0.312402,448116.000000,218267.000000
1100.994481,0.312480,449422.000000,218864.000000
1104.661671,0.312568,451109.000000,219641.000000
1108.324731,0.313016,453992.000000,220817.000000
1111.983661,0.312605,457203.000000,222589.000000
1115.638460,0.312125,459746.000000,224075.000000
1119.289129,0.313628,461686.000000,224243.000000
1124.150263,0.313343,463762.000000,225399.000000
1127.791294,0.313668,465594.000000,226120.000000
1131.428195,0.314806,467340.000000,226374.000000
1135.060966,0.317606,468769.000000,225607.000000
1138.689607,0.321037,470277.000000,224552.000000
1142.314117,0.325448,471885.000000,223043.000000
1145.934497,0.331582,474025.000000,220912.000000
1149.550746,0.337922,475849.000000,218548.000000
1153.162866,0.345617,477793.000000,215587.000000
1156.770855,0.353890,479500.000000,212275.000000
1161.575081,0.364892,482364.000000,208201.000000
1165.173433,0.372293,485131.000000,205857.000000
1168.767654,0.380722,488511.000000,203307.000000
1172.357745,0.388751,491250.000000,200702.000000
1175.943705,0.396200,494537.000000,198609.000000
1179.525536,0.403703,498615.000000,196817.000000
1183.103235,0.411340,504468.000000,195656.000000
1186.676805,0.419568,510422.000000,194250.000000
1190.246244,0.426814,516637.000000,193362.000000
1194.999071,0.434411,526142.000000,193505.000000
1198.558873,0.440712,533671.000000,193447.000000
1202.114544,0.443876,540939.000000,194658.000000
1205.666086,0.448635,548916.000000,195376.000000
1209.213496,0.450404,558110.000000,197841.000000
1212.756777,0.451385,566953.000000,200522.000000
1216.295927,0.449682,575650.000000,204398.000000
1219.830947,0.448353,584869.000000,208308.000000
1223.361836,0.444072,595021.000000,214023.000000
1226.888595,0.438735,604954.000000,220286.000000
1231.584516,0.431419,617050.000000,228508.000000
1235.101637,0.426199,626559.000000,234835.000000
1238.614629,0.421462,636932.000000,241341.000000
1242.123490,0.417137,647247.000000,247704.000000
1245.628220,0.414202,655372.000000,252514.000000
1249.128821,0.410685,664642.000000,258168.000000
1252.625291,0.408130,674555.000000,263565.000000
1256.117630,0.404801,684692.000000,269584.000000
1259.605840,0.404275,692978.000000,273177.000000
1264.250361,0.402575,706063.000000,279427.000000
1267.728933,0.402580,716021.000000,283365.000000
1271.203374,0.401694,725552.000000,287723.000000
1274.673686,0.400391,734127.000000,291998.000000
1278.139867,0.399575,742906.000000,296046.000000
1281.601917,0.398381,750480.000000,299887.000000
1285.059838,0.397515,757621.000000,303345.000000
1288.513627,0.396198,764167.000000,306895.000000
1291.963287,0.396111,771928.000000,310074.000000
1296.556408,0.395095,779372.000000,313798.000000
1299.996431,0.393728,783046.000000,316271.000000
1303.432322,0.393154,787236.000000,318384.000000
