Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:37:42,,
Header Version:,1,,
System Temp hundredths:,3043,,
Detector Temp hundredths:,2815,,
Humidity hundredths:,1731,,
Lamp PD:,3771,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.622855,64701.000000,15419.000000
905.903443,0.554148,80807.000000,22558.000000
909.784033,0.490937,90252.000000,29142.000000
913.660493,0.459009,98832.000000,34347.000000
917.532823,0.450054,108214.000000,38391.000000
921.401023,0.450565,120081.000000,42551.000000
925.265092,0.451660,134618.000000,47582.000000
929.125031,0.450701,152080.000000,53873.000000
932.980840,0.450482,171754.000000,60873.000000
936.832518,0.441773,192235.000000,69512.000000
941.961664,0.424156,218303.000000,82206.000000
945.803705,0.409096,236285.000000,92117.000000
949.641615,0.394892,252581.000000,101744.000000
953.475395,0.384156,268843.000000,111005.000000
957.305045,0.375146,284409.000000,119894.000000
961.130565,0.368886,300415.000000,128480.000000
964.951954,0.363181,315812.000000,136851.000000
968.769213,0.359400,331706.000000,144995.000000
972.582341,0.354866,347597.000000,153536.000000
976.391340,0.351697,362603.000000,161337.000000
981.463579,0.348455,381663.000000,171090.000000
985.262940,0.344410,394207.000000,178367.000000
989.058170,0.340242,405268.000000,185140.000000
992.849270,0.337458,414919.000000,190768.000000
996.636240,0.334036,422744.000000,195903.000000
1000.419080,0.329187,429985.000000,201496.000000
1004.197789,0.327111,435731.000000,205167.000000
1007.972367,0.324357,439787.000000,208394.000000
1011.742816,0.322400,442999.000000,210864.000000
1016.763656,0.318652,446147.000000,214203.000000
1020.524467,0.316950,447570.000000,215730.000000
1024.281147,0.314967,448137.000000,216992.000000
1028.033698,0.312913,447447.000000,217685.000000
1031.782118,0.312174,447066.000000,217870.000000
1035.526408,0.310725,446139.000000,218145.000000
1039.266567,0.308896,445335.000000,218671.000000
1043.002596,0.308492,443993.000000,218215.000000
1046.734495,0.306228,441985.000000,218363.000000
1050.462263,0.304237,439703.000000,218234.000000
1055.426196,0.303069,438747.000000,218346.000000
1059.144327,0.302669,437920.000000,218135.000000
1062.858328,0.302709,436828.000000,217571.000000
1066.568198,0.301550,436218.000000,217848.000000
1070.273938,0.300701,437019.000000,218675.000000
1073.975548,0.300472,437923.000000,219243.000000
1077.673027,0.300224,438436.000000,219625.000000
1081.366376,0.299091,439593.000000,220780.000000
1085.055595,0.298837,441201.000000,221717.000000
1089.968128,0.298516,442941.000000,222756.000000
1093.647709,0.297698,445537.000000,224484.000000
1097.323160,0.297042,448116.000000,226125.000000
1100.994481,0.295984,449422.000000,227337.000000
1104.661671,0.295156,451109.000000,228626.000000
1108.324731,0.294907,453992.000000,230219.000000
1111.983661,0.294771,457203.000000,231920.000000
1115.638460,0.294417,459746.000000,233400.000000
1119.289129,0.295123,461686.000000,234004.000000
1124.150263,0.293875,463762.000000,235733.000000
1127.791294,0.295337,465594.000000,235869.000000
1131.428195,0.295136,467340.000000,236863.000000
1135.060966,0.296805,468769.000000,236676.000000
1138.689607,0.299534,470277.000000,235950.000000
1142.314117,0.302384,471885.000000,235208.000000
1145.934497,0.307003,474025.000000,233775.000000
1149.550746,0.312262,475849.000000,231850.000000
1153.162866,0.318408,477793.000000,229526.000000
1156.770855,0.324977,479500.000000,226888.000000
1161.575081,0.335353,482364.000000,222855.000000
1165.173433,0.343249,485131.000000,220095.000000
1168.767654,0.352093,488511.000000,217161.000000
1172.357745,0.358985,491250.000000,214940.000000
1175.943705,0.365605,494537.000000,213105.000000
1179.525536,0.370676,498615.000000,212368.000000
1183.103235,0.376297,504468.000000,212098.000000
1186.676805,0.383299,510422.000000,211169.000000
1190.246244,0.389999,516637.000000,210468.000000
1194.999071,0.400508,526142.000000,209216.000000
1198.558873,0.408893,533671.000000,208152.000000
1202.114544,0.415687,540939.000000,207712.000000
1205.666086,0.421881,548916.000000,207790.000000
1209.213496,0.427283,558110.000000,208659.000000
1212.756777,0.432083,566953.000000,209635.000000
1216.295927,0.433479,575650.000000,212168.000000
1219.830947,0.431876,584869.000000,216363.000000
1223.361836,0.425789,595021.000000,223225.000000
1226.888595,0.414730,604954.000000,232805.000000
1231.584516,0.398470,617050.000000,246519.000000
1235.101637,0.385341,626559.000000,258001.000000
1238.614629,0.374131,636932.000000,269130.000000
1242.123490,0.364364,647247.000000,279709.000000
1245.628220,0.356548,655372.000000,288363.000000
1249.128821,0.350260,664642.000000,296707.000000
1252.625291,0.344413,674555.000000,305214.000000
1256.117630,0.340134,684692.000000,312868.000000
1259.605840,0.336825,692978.000000,319076.000000
1264.250361,0.333729,706063.000000,327427.000000
1267.728933,0.331387,716021.000000,333840.000000
1271.203374,0.329966,725552.000000,339393.000000
1274.673686,0.328230,734127.000000,344779.000000
1278.139867,0.326189,742906.000000,350546.000000
