Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:51:22,,
Header Version:,1,,
System Temp hundredths:,3306,,
Detector Temp hundredths:,3101,,
Humidity hundredths:,1239,,
Lamp PD:,3767,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.269194,64701.000000,34811.000000
905.903443,0.188416,80807.000000,52364.000000
909.784033,0.141089,90252.000000,65218.000000
913.660493,0.110091,98832.000000,76702.000000
917.532823,0.100644,108214.000000,85830.000000
921.401023,0.100577,120081.000000,95257.000000
925.265092,0.108464,134618.000000,104867.000000
929.125031,0.111934,152080.000000,117527.000000
932.980840,0.114616,171754.000000,131914.000000
936.832518,0.111632,192235.000000,148662.000000
941.961664,0.096799,218303.000000,174687.000000
945.803705,0.085829,236285.000000,193913.000000
949.641615,0.074764,252581.000000,212636.000000
953.475395,0.065939,268843.000000,230972.000000
957.305045,0.058923,284409.000000,248325.000000
961.130565,0.055381,300415.000000,264448.000000
964.951954,0.052260,315812.000000,280007.000000
968.769213,0.050917,331706.000000,295010.000000
972.582341,0.049538,347597.000000,310126.000000
976.391340,0.048135,362603.000000,324561.000000
981.463579,0.046711,381663.000000,342743.000000
985.262940,0.044677,394207.000000,355670.000000
989.058170,0.043264,405268.000000,366841.000000
992.849270,0.041173,414919.000000,377390.000000
996.636240,0.038895,422744.000000,386529.000000
1000.419080,0.036788,429985.000000,395062.000000
1004.197789,0.034919,435731.000000,402068.000000
1007.972367,0.033031,439787.000000,407579.000000
1011.742816,0.030468,442999.000000,412985.000000
1016.763656,0.028143,446147.000000,418153.000000
1020.524467,0.026349,447570.000000,421223.000000
1024.281147,0.025035,448137.000000,423035.000000
1028.033698,0.022714,447447.000000,424647.000000
1031.782118,0.022326,447066.000000,424664.000000
1035.526408,0.020997,446139.000000,425082.000000
1039.266567,0.019941,445335.000000,425349.000000
1043.002596,0.018521,443993.000000,425456.000000
1046.734495,0.017498,441985.000000,424531.000000
1050.462263,0.016680,439703.000000,423135.000000
1055.426196,0.016496,438747.000000,422394.000000
1059.144327,0.016480,437920.000000,421614.000000
1062.858328,0.017226,436828.000000,419841.000000
1066.568198,0.016890,436218.000000,419579.000000
1070.273938,0.017177,437019.000000,420072.000000
1073.975548,0.017765,437923.000000,420371.000000
1077.673027,0.017992,438436.000000,420644.000000
1081.366376,0.018218,439593.000000,421534.000000
1085.055595,0.018179,441201.000000,423114.000000
1089.968128,0.018462,442941.000000,424506.000000
1093.647709,0.018564,445537.000000,426894.000000
1097.323160,0.018627,448116.000000,429303.000000
1100.994481,0.018486,449422.000000,430694.000000
1104.661671,0.018240,451109.000000,432555.000000
1108.324731,0.017784,453992.000000,435777.000000
1111.983661,0.018033,457203.000000,438608.000000
1115.638460,0.017726,459746.000000,441359.000000
1119.289129,0.017359,461686.000000,443596.000000
1124.150263,0.017415,463762.000000,445533.000000
1127.791294,0.017123,465594.000000,447594.000000
1131.428195,0.017024,467340.000000,449375.000000
1135.060966,0.017439,468769.000000,450319.000000
1138.689607,0.018068,470277.000000,451113.000000
1142.314117,0.019919,471885.000000,450731.000000
1145.934497,0.021070,474025.000000,451576.000000
1149.550746,0.023476,475849.000000,450810.000000
1153.162866,0.025967,477793.000000,450062.000000
1156.770855,0.028622,479500.000000,448918.000000
1161.575081,0.032033,482364.000000,448066.000000
1165.173433,0.034953,485131.000000,447616.000000
1168.767654,0.037671,488511.000000,447923.000000
1172.357745,0.040654,491250.000000,447351.000000
1175.943705,0.042847,494537.000000,448076.000000
1179.525536,0.045556,498615.000000,448962.000000
1183.103235,0.048650,504468.000000,451007.000000
1186.676805,0.051604,510422.000000,453237.000000
1190.246244,0.055220,516637.000000,454952.000000
1194.999071,0.060272,526142.000000,457964.000000
1198.558873,0.063087,533671.000000,461516.000000
1202.114544,0.066076,540939.000000,464593.000000
1205.666086,0.068302,548916.000000,469034.000000
1209.213496,0.070445,558110.000000,474542.000000
1212.756777,0.072879,566953.000000,479367.000000
1216.295927,0.073451,575650.000000,486080.000000
1219.830947,0.073041,584869.000000,494331.000000
1223.361836,0.071593,595021.000000,504591.000000
1226.888595,0.069484,604954.000000,515512.000000
1231.584516,0.065154,617050.000000,531088.000000
1235.101637,0.061353,626559.000000,544013.000000
1238.614629,0.058570,636932.000000,556574.000000
1242.123490,0.055707,647247.000000,569329.000000
1245.628220,0.053116,655372.000000,579925.000000
1249.128821,0.051628,664642.000000,590147.000000
1252.625291,0.049969,674555.000000,601240.000000
1256.117630,0.048333,684692.000000,612579.000000
1259.605840,0.047514,692978.000000,621163.000000
1264.250361,0.046942,706063.000000,633726.000000
1267.728933,0.046801,716021.000000,642872.000000
1271.203374,0.046008,725552.000000,652620.000000
1274.673686,0.044216,734127.000000,663063.000000
1278.139867,0.043592,742906.000000,671958.000000
1281.601917,0.042808,750480.000000,680035.000000
1285.059838,0.042027,757621.000000,687741.000000
1288.513627,0.040713,764167.000000,695786.000000
1291.963287,0.039780,771928.000000,704364.000000
1296.556408,0.039209,779372.000000,712092.000000
1299.996431,0.038348,783046.000000,716868.000000
1303.432322,0.037250,787236.000000,722528.000000
1306.864084,0.036790,792393.000000,728033.000000
1310.291715,0.037153,796376.000000,731080.000000
1313.715216,0.036826,798307.000000,733405.000000
1317.134587,0.036369,801175.000000,736815.000000
1320.549827,0.036242,804861.000000,740421.000000
1323.960937,0.037286,807833.000000,741371.000000
1327.367917,0.038240,809608.000000,741369.000000
1331.904131,0.038985,811327.000000,741671.000000
1335.301473,0.040167,812775.000000,740974.000000
1338.694685,0.042021,813544.000000,738516.000000
1342.083767,0.043655,812602.000000,734891.000000
1345.468718,0.044812,811826.000000,732236.000000
1348.849539,0.046194,811585.000000,729693.000000
1352.226229,0.048446,810158.000000,724642.000000
1355.598789,0.050764,807876.000000,718754.000000
1358.967219,0.052755,805252.000000,713143.000000
1363.452034,0.055804,804229.000000,707254.000000
1366.810826,0.057928,803029.000000,702754.000000
1370.165488,0.061571,801212.000000,695306.000000
1373.516020,0.064873,799981.000000,688980.000000
1376.862422,0.066812,798624.000000,684747.000000
1380.204693,0.068968,795747.000000,678902.000000
1383.542834,0.071763,792504.000000,671797.000000
1386.876844,0.076093,790222.000000,663217.000000
1390.206724,0.081179,788607.000000,654157.000000
1393.532474,0.085960,785518.000000,644460.000000
1397.960382,0.092690,779920.000000,630028.000000
1401.276494,0.099726,776342.000000,617060.000000
1404.588477,0.108366,773563.000000,602739.000000
1407.896328,0.116977,769684.000000,587943.000000
1411.200050,0.126214,765635.000000,572542.000000
1414.499641,0.136082,762767.000000,557584.000000
1417.795101,0.147821,760810.000000,541321.000000
1421.086432,0.159815,758503.000000,524979.000000
1424.373632,0.172281,755935.000000,508398.000000
1428.750140,0.187135,753840.000000,489942.000000
1432.027703,0.197016,752941.000000,478349.000000
1435.301135,0.206101,751451.000000,467519.000000
1438.570437,0.215375,750582.000000,457113.000000
1441.835609,0.222915,749740.000000,448741.000000
1445.096650,0.228757,748245.000000,441862.000000
1448.353561,0.232739,747231.000000,437236.000000
1451.606342,0.235312,746115.000000,434004.000000
1454.854992,0.237934,743794.000000,430050.000000
1459.180101,0.241543,741747.000000,425317.000000
1462.419114,0.242832,739561.000000,422807.000000
1465.653997,0.242632,736862.000000,421458.000000
1468.884749,0.241979,734038.000000,420474.000000
1472.111371,0.241862,730885.000000,418781.000000
1475.333862,0.242571,727271.000000,416031.000000
1478.552224,0.242562,723938.000000,414133.000000
1481.766455,0.241895,721040.000000,413109.000000
1484.976555,0.240079,717684.000000,412909.000000
1488.182525,0.238069,713601.000000,412464.000000
1492.450728,0.235992,708541.000000,411503.000000
1495.647060,0.234910,704632.000000,410254.000000
1498.839263,0.233502,700712.000000,409296.000000
1502.027335,0.231620,695967.000000,408290.000000
1505.211277,0.228038,691038.000000,408756.000000
1508.391088,0.225694,686052.000000,408003.000000
1511.566770,0.223590,680877.000000,406892.000000
1514.738321,0.222618,675427.000000,404539.000000
1517.905741,0.221685,670152.000000,402243.000000
1522.122544,0.218553,662097.000000,400284.000000
1525.280327,0.215827,656403.000000,399341.000000
1528.433979,0.213014,650810.000000,398511.000000
1531.583502,0.212075,644842.000000,395711.000000
1534.728894,0.211480,638224.000000,392187.000000
1537.870156,0.211312,631155.000000,387993.000000
1541.007287,0.210358,625001.000000,385055.000000
1544.140289,0.208029,618097.000000,382849.000000
1547.269159,0.205786,610689.000000,380219.000000
1550.393900,0.204240,602954.000000,376742.000000
1554.553796,0.203756,592300.000000,370498.000000
1557.668899,0.203872,584592.000000,365579.000000
1560.779871,0.203537,576368.000000,360714.000000
1563.886714,0.202387,568025.000000,356435.000000
1566.989426,0.199872,559352.000000,353031.000000
1570.088008,0.198299,550305.000000,348582.000000
1573.182459,0.197448,541598.000000,343739.000000
1576.272780,0.197406,532727.000000,338142.000000
1579.358971,0.196810,523890.000000,332989.000000
1583.467467,0.195553,510646.000000,325512.000000
1586.544020,0.193791,501212.000000,320797.000000
1589.616443,0.191287,492392.000000,316974.000000
1592.684736,0.188254,482586.000000,312839.000000
1595.748898,0.187096,472996.000000,307441.000000
1598.808930,0.185492,462978.000000,302043.000000
1601.864832,0.184588,453381.000000,296398.000000
1604.916603,0.182460,443779.000000,291546.000000
1607.964244,0.178817,433789.000000,287383.000000
1612.021341,0.173980,420216.000000,281509.000000
1615.059344,0.170703,409971.000000,276726.000000
1618.093218,0.168056,400631.000000,272075.000000
1621.122961,0.166379,390490.000000,266214.000000
1624.148573,0.164931,380379.000000,260187.000000
1627.170055,0.162281,370204.000000,254777.000000
1630.187407,0.159902,360433.000000,249415.000000
1633.200629,0.156370,350418.000000,244465.000000
1636.209720,0.153293,340597.000000,239303.000000
1639.214681,0.150781,330782.000000,233755.000000
1643.214871,0.147228,317788.000000,226417.000000
1646.210195,0.146977,307687.000000,219347.000000
1649.201388,0.144470,297078.000000,213010.000000
1652.188451,0.141460,287199.000000,207359.000000
1655.171383,0.137512,276866.000000,201724.000000
1658.150185,0.132209,265166.000000,195573.000000
1661.124857,0.124188,252362.000000,189599.000000
1664.095399,0.116424,238503.000000,182419.000000
1667.061810,0.107805,222332.000000,173459.000000
1671.010600,0.090109,197141.000000,160202.000000
1673.967374,0.075267,175847.000000,147866.000000
1676.920017,0.055985,154167.000000,135521.000000
1679.868531,0.037244,132946.000000,122020.000000
1682.812913,0.020402,113053.000000,107865.000000
1685.753166,0.009901,95698.000000,93541.000000
1688.689288,0.006872,80645.000000,79379.000000
1691.621280,0.003726,68011.000000,67430.000000
1694.549141,0.008692,57785.000000,56640.000000
1697.472873,0.019910,49231.000000,47025.000000
1701.364756,0.034401,40194.000000,37133.000000
