Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:45:46,,
Header Version:,1,,
System Temp hundredths:,3220,,
Detector Temp hundredths:,2988,,
Humidity hundredths:,1389,,
Lamp PD:,3769,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.846086,64701.000000,9222.000000
905.903443,0.779405,80807.000000,13429.000000
909.784033,0.723147,90252.000000,17073.000000
913.660493,0.683865,98832.000000,20466.000000
917.532823,0.679177,108214.000000,22652.000000
921.401023,0.692441,120081.000000,24380.000000
925.265092,0.692352,134618.000000,27337.000000
929.125031,0.699356,152080.000000,30389.000000
932.980840,0.705605,171754.000000,33830.000000
936.832518,0.701940,192235.000000,38185.000000
941.961664,0.688733,218303.000000,44702.000000
945.803705,0.684910,236285.000000,48812.000000
949.641615,0.673763,252581.000000,53535.000000
953.475395,0.666056,268843.000000,58002.000000
957.305045,0.659379,284409.000000,62311.000000
961.130565,0.657882,300415.000000,66045.000000
964.951954,0.660932,315812.000000,68944.000000
968.769213,0.663330,331706.000000,72015.000000
972.582341,0.666548,347597.000000,74908.000000
976.391340,0.669950,362603.000000,77532.000000
981.463579,0.674737,381663.000000,80713.000000
985.262940,0.677411,394207.000000,82854.000000
989.058170,0.679992,405268.000000,84674.000000
992.849270,0.680746,414919.000000,86540.000000
996.636240,0.681718,422744.000000,87975.000000
1000.419080,0.681591,429985.000000,89508.000000
1004.197789,0.679300,435731.000000,91184.000000
1007.972367,0.679497,439787.000000,91991.000000
1011.742816,0.678074,442999.000000,92967.000000
1016.763656,0.675819,446147.000000,94115.000000
1020.524467,0.673851,447570.000000,94844.000000
1024.281147,0.672614,448137.000000,95235.000000
1028.033698,0.670465,447447.000000,95560.000000
1031.782118,0.669996,447066.000000,95582.000000
1035.526408,0.666557,446139.000000,96142.000000
1039.266567,0.664317,445335.000000,96465.000000
1043.002596,0.662993,443993.000000,96468.000000
1046.734495,0.663979,441985.000000,95814.000000
1050.462263,0.660870,439703.000000,96004.000000
1055.426196,0.659441,438747.000000,96111.000000
1059.144327,0.656971,437920.000000,96477.000000
1062.858328,0.658084,436828.000000,95990.000000
1066.568198,0.657310,436218.000000,96027.000000
1070.273938,0.657140,437019.000000,96241.000000
1073.975548,0.657343,437923.000000,96395.000000
1077.673027,0.656480,438436.000000,96700.000000
1081.366376,0.656978,439593.000000,96844.000000
1085.055595,0.656483,441201.000000,97309.000000
1089.968128,0.655302,442941.000000,97959.000000
1093.647709,0.654496,445537.000000,98716.000000
1097.323160,0.655817,448116.000000,98986.000000
1100.994481,0.654910,449422.000000,99482.000000
1104.661671,0.653336,451109.000000,100218.000000
1108.324731,0.654463,453992.000000,100597.000000
1111.983661,0.652874,457203.000000,101680.000000
1115.638460,0.653684,459746.000000,102055.000000
1119.289129,0.653343,461686.000000,102566.000000
1124.150263,0.654070,463762.000000,102855.000000
1127.791294,0.654475,465594.000000,103165.000000
1131.428195,0.655936,467340.000000,103204.000000
1135.060966,0.657048,468769.000000,103255.000000
1138.689607,0.661795,470277.000000,102461.000000
1142.314117,0.666622,471885.000000,101675.000000
1145.934497,0.674669,474025.000000,100261.000000
1149.550746,0.681615,475849.000000,99050.000000
1153.162866,0.691140,477793.000000,97297.000000
1156.770855,0.701787,479500.000000,95280.000000
1161.575081,0.715897,482364.000000,92785.000000
1165.173433,0.725298,485131.000000,91319.000000
1168.767654,0.734593,488511.000000,90008.000000
1172.357745,0.744963,491250.000000,88377.000000
1175.943705,0.758168,494537.000000,86304.000000
1179.525536,0.766063,498615.000000,85448.000000
1183.103235,0.775900,504468.000000,84515.000000
1186.676805,0.784411,510422.000000,83853.000000
1190.246244,0.794673,516637.000000,82892.000000
1194.999071,0.806395,526142.000000,82169.000000
1198.558873,0.815121,533671.000000,81687.000000
1202.114544,0.821602,540939.000000,81573.000000
1205.666086,0.827406,548916.000000,81677.000000
1209.213496,0.830745,558110.000000,82409.000000
1212.756777,0.831881,566953.000000,83496.000000
1216.295927,0.830632,575650.000000,85021.000000
1219.830947,0.828139,584869.000000,86880.000000
1223.361836,0.825504,595021.000000,88926.000000
1226.888595,0.819860,604954.000000,91593.000000
1231.584516,0.812428,617050.000000,95037.000000
1235.101637,0.803279,626559.000000,98556.000000
1238.614629,0.799016,636932.000000,101176.000000
1242.123490,0.795488,647247.000000,103653.000000
1245.628220,0.789265,655372.000000,106469.000000
1249.128821,0.785544,664642.000000,108904.000000
1252.625291,0.780995,674555.000000,111692.000000
1256.117630,0.781039,684692.000000,113359.000000
