Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:35:36,,
Header Version:,1,,
System Temp hundredths:,2953,,
Detector Temp hundredths:,2727,,
Humidity hundredths:,1904,,
Lamp PD:,3772,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.606872,64701.000000,15997.000000
905.903443,0.536825,80807.000000,23476.000000
909.784033,0.480251,90252.000000,29868.000000
913.660493,0.442290,98832.000000,35695.000000
917.532823,0.429593,108214.000000,40243.000000
921.401023,0.426532,120081.000000,44972.000000
925.265092,0.428988,134618.000000,50132.000000
929.125031,0.427823,152080.000000,56787.000000
932.980840,0.427270,171754.000000,64215.000000
936.832518,0.418065,192235.000000,73412.000000
941.961664,0.401823,218303.000000,86544.000000
945.803705,0.388028,236285.000000,96696.000000
949.641615,0.373439,252581.000000,106896.000000
953.475395,0.363180,268843.000000,116498.000000
957.305045,0.355303,284409.000000,125499.000000
961.130565,0.349061,300415.000000,134481.000000
964.951954,0.343722,315812.000000,143122.000000
968.769213,0.341302,331706.000000,151165.000000
972.582341,0.336790,347597.000000,160061.000000
976.391340,0.332182,362603.000000,168752.000000
981.463579,0.327403,381663.000000,179588.000000
985.262940,0.323713,394207.000000,187073.000000
989.058170,0.318736,405268.000000,194539.000000
992.849270,0.315654,414919.000000,200590.000000
996.636240,0.310411,422744.000000,206855.000000
1000.419080,0.306546,429985.000000,212279.000000
1004.197789,0.303025,435731.000000,216867.000000
1007.972367,0.298854,439787.000000,220998.000000
1011.742816,0.296339,442999.000000,223905.000000
1016.763656,0.290303,446147.000000,228652.000000
1020.524467,0.287134,447570.000000,231061.000000
1024.281147,0.284197,448137.000000,232924.000000
1028.033698,0.281537,447447.000000,233994.000000
1031.782118,0.279272,447066.000000,235017.000000
1035.526408,0.276586,446139.000000,235985.000000
1039.266567,0.275105,445335.000000,236364.000000
1043.002596,0.271963,443993.000000,237363.000000
1046.734495,0.269530,441985.000000,237617.000000
1050.462263,0.267560,439703.000000,237465.000000
1055.426196,0.265993,438747.000000,237805.000000
1059.144327,0.264613,437920.000000,238112.000000
1062.858328,0.264449,436828.000000,237608.000000
1066.568198,0.262671,436218.000000,238250.000000
1070.273938,0.262593,437019.000000,238730.000000
1073.975548,0.261893,437923.000000,239610.000000
1077.673027,0.260658,438436.000000,240574.000000
1081.366376,0.259643,439593.000000,241773.000000
1085.055595,0.258500,441201.000000,243297.000000
1089.968128,0.257435,442941.000000,244856.000000
1093.647709,0.256275,445537.000000,246950.000000
1097.323160,0.255943,448116.000000,248569.000000
1100.994481,0.254334,449422.000000,250219.000000
1104.661671,0.253920,451109.000000,251398.000000
1108.324731,0.251943,453992.000000,254159.000000
1111.983661,0.250607,457203.000000,256745.000000
1115.638460,0.249663,459746.000000,258735.000000
1119.289129,0.248381,461686.000000,260595.000000
1124.150263,0.247734,463762.000000,262157.000000
1127.791294,0.246407,465594.000000,263998.000000
1131.428195,0.245449,467340.000000,265573.000000
1135.060966,0.245439,468769.000000,266391.000000
1138.689607,0.244980,470277.000000,267531.000000
1142.314117,0.245658,471885.000000,268027.000000
1145.934497,0.245849,474025.000000,269124.000000
1149.550746,0.245896,475849.000000,270130.000000
1153.162866,0.246506,477793.000000,270853.000000
1156.770855,0.247526,479500.000000,271183.000000
1161.575081,0.248693,482364.000000,272071.000000
1165.173433,0.249887,485131.000000,272880.000000
1168.767654,0.251834,488511.000000,273552.000000
1172.357745,0.253356,491250.000000,274124.000000
1175.943705,0.255546,494537.000000,274570.000000
1179.525536,0.256586,498615.000000,276172.000000
1183.103235,0.258729,504468.000000,278038.000000
1186.676805,0.261173,510422.000000,279741.000000
1190.246244,0.263357,516637.000000,281727.000000
1194.999071,0.266295,526142.000000,284976.000000
1198.558873,0.268390,533671.000000,287663.000000
1202.114544,0.270170,540939.000000,290388.000000
1205.666086,0.271775,548916.000000,293583.000000
1209.213496,0.273131,558110.000000,297570.000000
1212.756777,0.274378,566953.000000,301418.000000
1216.295927,0.275379,575650.000000,305337.000000
1219.830947,0.274818,584869.000000,310628.000000
1223.361836,0.274112,595021.000000,316534.000000
1226.888595,0.271941,604954.000000,323431.000000
1231.584516,0.267416,617050.000000,333353.000000
1235.101637,0.263849,626559.000000,341282.000000
1238.614629,0.260810,636932.000000,349368.000000
1242.123490,0.257551,647247.000000,357700.000000
1245.628220,0.255279,655372.000000,364090.000000
1249.128821,0.253123,664642.000000,371078.000000
1252.625291,0.251867,674555.000000,377703.000000
1256.117630,0.249980,684692.000000,385048.000000
1259.605840,0.248925,692978.000000,390656.000000
1264.250361,0.248624,706063.000000,398308.000000
1267.728933,0.247838,716021.000000,404658.000000
1271.203374,0.247500,725552.000000,410363.000000
1274.673686,0.246512,734127.000000,416159.000000
1278.139867,0.244671,742906.000000,422925.000000
1281.601917,0.243918,750480.000000,427978.000000
1285.059838,0.242727,757621.000000,433236.000000
1288.513627,0.241973,764167.000000,437739.000000
1291.963287,0.240668,771928.000000,443516.000000
1296.556408,0.239615,779372.000000,448880.000000
1299.996431,0.238216,783046.000000,452451.000000
1303.432322,0.237537,787236.000000,455583.000000
1306.864084,0.237100,792393.000000,459030.000000
1310.291715,0.236181,796376.000000,462314.000000
1313.715216,0.235435,798307.000000,464232.000000
1317.134587,0.234933,801175.000000,466438.000000
1320.549827,0.234869,804861.000000,468653.000000
1323.960937,0.234947,807833.000000,470300.000000
1327.367917,0.234699,809608.000000,471602.000000
1331.904131,0.235305,811327.000000,471944.000000
1335.301473,0.236433,812775.000000,471560.000000
1338.694685,0.237167,813544.000000,471209.000000
1342.083767,0.238374,812602.000000,469358.000000
1345.468718,0.239531,811826.000000,467662.000000
1348.849539,0.241384,811585.000000,465533.000000
1352.226229,0.243487,810158.000000,462469.000000
1355.598789,0.245088,807876.000000,459470.000000
1358.967219,0.246956,805252.000000,456011.000000
1363.452034,0.251051,804229.000000,451158.000000
1366.810826,0.254251,803029.000000,447178.000000
1370.165488,0.256595,801212.000000,443764.000000
1373.516020,0.259489,799981.000000,440140.000000
1376.862422,0.262493,798624.000000,436364.000000
1380.204693,0.264428,795747.000000,432860.000000
1383.542834,0.267839,792504.000000,427723.000000
1386.876844,0.271181,790222.000000,423222.000000
1390.206724,0.275647,788607.000000,418036.000000
1393.532474,0.280874,785518.000000,411417.000000
1397.960382,0.288313,779920.000000,401548.000000
1401.276494,0.295337,776342.000000,393293.000000
1404.588477,0.303516,773563.000000,384574.000000
1407.896328,0.312431,769684.000000,374871.000000
1411.200050,0.322590,765635.000000,364277.000000
1414.499641,0.335140,762767.000000,352575.000000
1417.795101,0.348321,760810.000000,341158.000000
1421.086432,0.361703,758503.000000,329803.000000
1424.373632,0.375344,755935.000000,318523.000000
1428.750140,0.393246,753840.000000,304813.000000
1432.027703,0.405918,752941.000000,295694.000000
1435.301135,0.416570,751451.000000,287959.000000
1438.570437,0.426372,750582.000000,281207.000000
1441.835609,0.434537,749740.000000,275660.000000
1445.096650,0.442453,748245.000000,270141.000000
1448.353561,0.447955,747231.000000,266379.000000
1451.606342,0.452888,746115.000000,262977.000000
1454.854992,0.456082,743794.000000,260238.000000
