Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:32:52,,
Header Version:,1,,
System Temp hundredths:,2688,,
Detector Temp hundredths:,2594,,
Humidity hundredths:,2494,,
Lamp PD:,3781,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.518943,64701.000000,19587.000000
905.903443,0.437583,80807.000000,29503.000000
909.784033,0.392771,90252.000000,36533.000000
913.660493,0.362623,98832.000000,42882.000000
917.532823,0.352599,108214.000000,48049.000000
921.401023,0.351583,120081.000000,53443.000000
925.265092,0.359563,134618.000000,58822.000000
929.125031,0.361450,152080.000000,66164.000000
932.980840,0.362570,171754.000000,74531.000000
936.832518,0.356221,192235.000000,84647.000000
941.961664,0.343574,218303.000000,98966.000000
945.803705,0.333257,236285.000000,109693.000000
949.641615,0.323864,252581.000000,119822.000000
953.475395,0.316090,268843.000000,129840.000000
957.305045,0.311623,284409.000000,138778.000000
961.130565,0.309740,300415.000000,147225.000000
964.951954,0.308453,315812.000000,155230.000000
968.769213,0.308763,331706.000000,162926.000000
972.582341,0.310101,347597.000000,170206.000000
976.391340,0.310150,362603.000000,177534.000000
981.463579,0.311451,381663.000000,186307.000000
985.262940,0.312792,394207.000000,191837.000000
989.058170,0.312668,405268.000000,197276.000000
992.849270,0.313395,414919.000000,201636.000000
996.636240,0.313082,422744.000000,205587.000000
1000.419080,0.312070,429985.000000,209596.000000
1004.197789,0.310869,435731.000000,212985.000000
1007.972367,0.309086,439787.000000,215852.000000
1011.742816,0.308044,442999.000000,217951.000000
1016.763656,0.306536,446147.000000,220263.000000
1020.524467,0.306033,447570.000000,221222.000000
1024.281147,0.303521,448137.000000,222787.000000
1028.033698,0.302887,447447.000000,222769.000000
1031.782118,0.302490,447066.000000,222783.000000
1035.526408,0.300914,446139.000000,223129.000000
1039.266567,0.299567,445335.000000,223419.000000
1043.002596,0.298034,443993.000000,223533.000000
1046.734495,0.297814,441985.000000,222635.000000
1050.462263,0.296754,439703.000000,222027.000000
1055.426196,0.296382,438747.000000,221734.000000
1059.144327,0.295731,437920.000000,221648.000000
1062.858328,0.295975,436828.000000,220971.000000
1066.568198,0.295907,436218.000000,220697.000000
1070.273938,0.296055,437019.000000,221027.000000
1073.975548,0.296446,437923.000000,221285.000000
1077.673027,0.296397,438436.000000,221569.000000
1081.366376,0.296565,439593.000000,222068.000000
1085.055595,0.296622,441201.000000,222851.000000
1089.968128,0.296713,442941.000000,223683.000000
1093.647709,0.296447,445537.000000,225132.000000
