Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:34:42,,
Header Version:,1,,
System Temp hundredths:,2895,,
Detector Temp hundredths:,2686,,
Humidity hundredths:,2030,,
Lamp PD:,3774,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.302826,64701.000000,32217.000000
905.903443,0.220822,80807.000000,48599.000000
909.784033,0.170184,90252.000000,60992.000000
913.660493,0.141589,98832.000000,71336.000000
917.532823,0.126340,108214.000000,80899.000000
921.401023,0.127797,120081.000000,89470.000000
925.265092,0.131236,134618.000000,99510.000000
929.125031,0.137062,152080.000000,110920.000000
932.980840,0.137792,171754.000000,125059.000000
936.832518,0.131663,192235.000000,141961.000000
941.961664,0.119756,218303.000000,165693.000000
945.803705,0.107908,236285.000000,184301.000000
949.641615,0.097370,252581.000000,201851.000000
953.475395,0.090000,268843.000000,218524.000000
957.305045,0.083915,284409.000000,234438.000000
961.130565,0.079792,300415.000000,249994.000000
964.951954,0.077752,315812.000000,264044.000000
968.769213,0.075394,331706.000000,278843.000000
972.582341,0.073699,347597.000000,293344.000000
976.391340,0.072224,362603.000000,307049.000000
981.463579,0.070087,381663.000000,324783.000000
985.262940,0.068138,394207.000000,336966.000000
989.058170,0.065909,405268.000000,348204.000000
992.849270,0.063640,414919.000000,358363.000000
996.636240,0.062047,422744.000000,366463.000000
1000.419080,0.059439,429985.000000,374985.000000
1004.197789,0.057124,435731.000000,382027.000000
1007.972367,0.054987,439787.000000,387485.000000
1011.742816,0.052803,442999.000000,392283.000000
1016.763656,0.049865,446147.000000,397753.000000
1020.524467,0.048877,447570.000000,399930.000000
1024.281147,0.046182,448137.000000,402929.000000
1028.033698,0.045452,447447.000000,402986.000000
1031.782118,0.044385,447066.000000,403633.000000
1035.526408,0.042784,446139.000000,404284.000000
1039.266567,0.041286,445335.000000,404949.000000
1043.002596,0.040561,443993.000000,404404.000000
1046.734495,0.038998,441985.000000,404026.000000
1050.462263,0.038230,439703.000000,402652.000000
1055.426196,0.037463,438747.000000,402486.000000
1059.144327,0.037591,437920.000000,401609.000000
1062.858328,0.037847,436828.000000,400372.000000
1066.568198,0.037874,436218.000000,399788.000000
1070.273938,0.038791,437019.000000,399677.000000
1073.975548,0.038665,437923.000000,400620.000000
1077.673027,0.038483,438436.000000,401258.000000
1081.366376,0.038927,439593.000000,401905.000000
1085.055595,0.039101,441201.000000,403214.000000
1089.968128,0.038099,442941.000000,405739.000000
1093.647709,0.038705,445537.000000,407548.000000
1097.323160,0.038701,448116.000000,409911.000000
1100.994481,0.038402,449422.000000,411389.000000
1104.661671,0.037946,451109.000000,413367.000000
1108.324731,0.037495,453992.000000,416441.000000
1111.983661,0.037473,457203.000000,419407.000000
1115.638460,0.036634,459746.000000,422556.000000
1119.289129,0.036701,461686.000000,424273.000000
1124.150263,0.036137,463762.000000,426735.000000
1127.791294,0.036470,465594.000000,428092.000000
1131.428195,0.036600,467340.000000,429569.000000
1135.060966,0.036932,468769.000000,430553.000000
1138.689607,0.037934,470277.000000,430943.000000
1142.314117,0.039223,471885.000000,431135.000000
1145.934497,0.040412,474025.000000,431906.000000
1149.550746,0.042484,475849.000000,431504.000000
1153.162866,0.044365,477793.000000,431395.000000
1156.770855,0.045917,479500.000000,431392.000000
1161.575081,0.048812,482364.000000,431085.000000
1165.173433,0.050719,485131.000000,431658.000000
1168.767654,0.053019,488511.000000,432370.000000
1172.357745,0.054726,491250.000000,433088.000000
1175.943705,0.056682,494537.000000,434027.000000
1179.525536,0.058927,498615.000000,435350.000000
1183.103235,0.061214,504468.000000,438147.000000
1186.676805,0.064362,510422.000000,440116.000000
1190.246244,0.067963,516637.000000,441797.000000
1194.999071,0.071977,526142.000000,445786.000000
1198.558873,0.075148,533671.000000,448875.000000
1202.114544,0.076971,540939.000000,453082.000000
1205.666086,0.078937,548916.000000,457687.000000
1209.213496,0.080693,558110.000000,463476.000000
1212.756777,0.082476,566953.000000,468890.000000
1216.295927,0.083024,575650.000000,475482.000000
1219.830947,0.082981,584869.000000,483145.000000
1223.361836,0.081785,595021.000000,492887.000000
1226.888595,0.078913,604954.000000,504440.000000
1231.584516,0.075399,617050.000000,518706.000000
1235.101637,0.072326,626559.000000,530440.000000
1238.614629,0.068886,636932.000000,543509.000000
1242.123490,0.066502,647247.000000,555351.000000
1245.628220,0.064530,655372.000000,564882.000000
1249.128821,0.062297,664642.000000,575825.000000
1252.625291,0.060444,674555.000000,586913.000000
1256.117630,0.059351,684692.000000,597233.000000
1259.605840,0.058363,692978.000000,605838.000000
1264.250361,0.057476,706063.000000,618540.000000
1267.728933,0.057306,716021.000000,627508.000000
1271.203374,0.056365,725552.000000,637241.000000
1274.673686,0.054931,734127.000000,646904.000000
1278.139867,0.054241,742906.000000,655682.000000
1281.601917,0.052911,750480.000000,664397.000000
1285.059838,0.052082,757621.000000,672001.000000
1288.513627,0.051001,764167.000000,679497.000000
1291.963287,0.050158,771928.000000,687731.000000
1296.556408,0.049047,779372.000000,696142.000000
1299.996431,0.048257,783046.000000,700697.000000
1303.432322,0.047314,787236.000000,705978.000000
1306.864084,0.046920,792393.000000,711248.000000
1310.291715,0.046573,796376.000000,715393.000000
1313.715216,0.046139,798307.000000,717845.000000
1317.134587,0.046288,801175.000000,720177.000000
1320.549827,0.046199,804861.000000,723639.000000
1323.960937,0.046361,807833.000000,726040.000000
1327.367917,0.047160,809608.000000,726298.000000
1331.904131,0.047941,811327.000000,726532.000000
1335.301473,0.048832,812775.000000,726338.000000
1338.694685,0.049994,813544.000000,725082.000000
1342.083767,0.050735,812602.000000,723008.000000
1345.468718,0.052343,811826.000000,719648.000000
1348.849539,0.053787,811585.000000,717046.000000
1352.226229,0.055260,810158.000000,713361.000000
1355.598789,0.057251,807876.000000,708098.000000
1358.967219,0.059548,805252.000000,702075.000000
1363.452034,0.062727,804229.000000,696070.000000
1366.810826,0.065068,803029.000000,691294.000000
1370.165488,0.067462,801212.000000,685939.000000
1373.516020,0.070548,799981.000000,680035.000000
1376.862422,0.073160,798624.000000,674812.000000
1380.204693,0.075065,795747.000000,669437.000000
1383.542834,0.077591,792504.000000,662842.000000
1386.876844,0.080761,790222.000000,656128.000000
1390.206724,0.085093,788607.000000,648287.000000
1393.532474,0.089540,785518.000000,639170.000000
1397.960382,0.096630,779920.000000,624339.000000
1401.276494,0.102551,776342.000000,613059.000000
1404.588477,0.109686,773563.000000,600911.000000
1407.896328,0.117166,769684.000000,587687.000000
1411.200050,0.125702,765635.000000,573218.000000
1414.499641,0.135183,762767.000000,558739.000000
1417.795101,0.146062,760810.000000,543518.000000
1421.086432,0.156818,758503.000000,528615.000000
