Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:33:52,,
Header Version:,1,,
System Temp hundredths:,2812,,
Detector Temp hundredths:,2643,,
Humidity hundredths:,2177,,
Lamp PD:,3773,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.539906,64701.000000,18664.000000
905.903443,0.460384,80807.000000,27994.000000
909.784033,0.412569,90252.000000,34905.000000
913.660493,0.376588,98832.000000,41525.000000
917.532823,0.367756,108214.000000,46401.000000
921.401023,0.370790,120081.000000,51131.000000
925.265092,0.377339,134618.000000,56463.000000
929.125031,0.383573,152080.000000,62878.000000
932.980840,0.388452,171754.000000,70219.000000
936.832518,0.381911,192235.000000,79785.000000
941.961664,0.368950,218303.000000,93349.000000
945.803705,0.359613,236285.000000,103234.000000
949.641615,0.350115,252581.000000,112794.000000
953.475395,0.345259,268843.000000,121406.000000
957.305045,0.341044,284409.000000,129688.000000
961.130565,0.337349,300415.000000,138157.000000
964.951954,0.337794,315812.000000,145089.000000
968.769213,0.339124,331706.000000,151925.000000
972.582341,0.339280,347597.000000,159146.000000
976.391340,0.341629,362603.000000,165121.000000
981.463579,0.342887,381663.000000,173298.000000
985.262940,0.343405,394207.000000,178780.000000
989.058170,0.344426,405268.000000,183365.000000
992.849270,0.343745,414919.000000,188026.000000
996.636240,0.343587,422744.000000,191642.000000
1000.419080,0.342671,429985.000000,195336.000000
1004.197789,0.341489,435731.000000,198486.000000
1007.972367,0.339593,439787.000000,201210.000000
1011.742816,0.339262,442999.000000,202834.000000
1016.763656,0.336282,446147.000000,205682.000000
1020.524467,0.334515,447570.000000,207179.000000
1024.281147,0.334336,448137.000000,207527.000000
1028.033698,0.332810,447447.000000,207937.000000
1031.782118,0.331997,447066.000000,208149.000000
1035.526408,0.329862,446139.000000,208741.000000
1039.266567,0.328659,445335.000000,208943.000000
1043.002596,0.328241,443993.000000,208514.000000
1046.734495,0.326981,441985.000000,208174.000000
1050.462263,0.325386,439703.000000,207861.000000
1055.426196,0.325037,438747.000000,207576.000000
1059.144327,0.323902,437920.000000,207727.000000
1062.858328,0.324894,436828.000000,206736.000000
