Method:,Column 1,,
Host Date-Time:,18/4/16 @ 16:50:40,,
Header Version:,1,,
System Temp hundredths:,3312,,
Detector Temp hundredths:,3094,,
Humidity hundredths:,1283,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-4.47974,0.0448891,-0.000109265,,
Pixel to Wavelength Coefficients:,1792.1,-0.928226,-0.000229463,,
Serial Number:,5490239,,
Scan Config Name:,Column 1,,
Scan Config Type:,2,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,6,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.722897,0.527927,64701.000000,19186.000000
905.903443,0.441026,80807.000000,29270.000000
909.784033,0.393081,90252.000000,36507.000000
913.660493,0.366979,98832.000000,42454.000000
917.532823,0.355647,108214.000000,47713.000000
921.401023,0.359174,120081.000000,52517.000000
925.265092,0.369194,134618.000000,57532.000000
929.125031,0.373416,152080.000000,64366.000000
932.980840,0.377979,171754.000000,71933.000000
936.832518,0.370973,192235.000000,81820.000000
941.961664,0.359994,218303.000000,95294.000000
945.803705,0.348470,236285.000000,105917.000000
949.641615,0.338343,252581.000000,115893.000000
953.475395,0.332895,268843.000000,124912.000000
957.305045,0.327857,284409.000000,133686.000000
961.130565,0.325455,300415.000000,141993.000000
964.951954,0.326006,315812.000000,149081.000000
968.769213,0.326514,331706.000000,156401.000000
972.582341,0.326677,347597.000000,163832.000000
976.391340,0.328332,362603.000000,170255.000000
981.463579,0.330146,381663.000000,178457.000000
985.262940,0.330935,394207.000000,183988.000000
989.058170,0.331888,405268.000000,188736.000000
992.849270,0.332118,414919.000000,193128.000000
996.636240,0.330913,422744.000000,197317.000000
1000.419080,0.330097,429985.000000,201074.000000
1004.197789,0.329678,435731.000000,203958.000000
1007.972367,0.328308,439787.000000,206507.000000
1011.742816,0.326943,442999.000000,208670.000000
1016.763656,0.325235,446147.000000,210981.000000
1020.524467,0.325070,447570.000000,211734.000000
1024.281147,0.323641,448137.000000,212701.000000
1028.033698,0.322852,447447.000000,212760.000000
1031.782118,0.321696,447066.000000,213145.000000
1035.526408,0.320290,446139.000000,213393.000000
1039.266567,0.319606,445335.000000,213344.000000
1043.002596,0.318803,443993.000000,213095.000000
1046.734495,0.318077,441985.000000,212486.000000
1050.462263,0.317736,439703.000000,211555.000000
1055.426196,0.316752,438747.000000,211574.000000
1059.144327,0.317409,437920.000000,210856.000000
1062.858328,0.317700,436828.000000,210189.000000
1066.568198,0.316833,436218.000000,210315.000000
1070.273938,0.317543,437019.000000,210357.000000
1073.975548,0.317620,437923.000000,210755.000000
1077.673027,0.317186,438436.000000,211213.000000
1081.366376,0.317443,439593.000000,211645.000000
1085.055595,0.318807,441201.000000,211753.000000
1089.968128,0.317192,442941.000000,213380.000000
1093.647709,0.316783,445537.000000,214833.000000
1097.323160,0.317472,448116.000000,215734.000000
1100.994481,0.317255,449422.000000,216471.000000
1104.661671,0.316543,451109.000000,217640.000000
1108.324731,0.316212,453992.000000,219198.000000
1111.983661,0.316578,457203.000000,220562.000000
1115.638460,0.316989,459746.000000,221579.000000
1119.289129,0.315542,461686.000000,223257.000000
1124.150263,0.316759,463762.000000,223633.000000
1127.791294,0.316323,465594.000000,224742.000000
1131.428195,0.317887,467340.000000,224774.000000
1135.060966,0.319313,468769.000000,224722.000000
1138.689607,0.321621,470277.000000,224250.000000
1142.314117,0.325323,471885.000000,223107.000000
1145.934497,0.330206,474025.000000,221613.000000
1149.550746,0.334045,475849.000000,220508.000000
1153.162866,0.340258,477793.000000,218264.000000
1156.770855,0.346047,479500.000000,216143.000000
1161.575081,0.353814,482364.000000,213580.000000
